meta_feature,primary_feature,abs_rho
taker_buy_imbalance_20,hurst_100,0.0319
taker_buy_imbalance_20,btc_ret_14d,0.2552
taker_buy_imbalance_20,ret_skew_50,0.0
taker_buy_imbalance_20,vwap_dev_20,0.1553
taker_buy_imbalance_20,ret_autocorr_lag1_50,0.0048
taker_buy_imbalance_20,sym_vs_btc_ret_7d,0.1385
taker_buy_imbalance_20,regime_momentum_signed_5d,0.0785
obv_slope_50,max_dd_window_50,0.1226
obv_slope_50,ema_spread_atr_20,0.344
obv_slope_50,ret_kurt_50,0.0104
obv_slope_50,ret_skew_200,0.0123
obv_slope_50,range_realized_vol_50,0.1013
obv_slope_50,hurst_diff_100_50,0.0106
obv_slope_50,ret_kurt_200,0.0115
obv_slope_50,hurst_100,0.0074
obv_slope_50,btc_ret_14d,0.2287
obv_slope_50,ret_skew_50,0.1152
obv_slope_50,vwap_dev_20,0.1244
obv_slope_50,ret_autocorr_lag1_50,0.0717
obv_slope_50,sym_vs_btc_ret_7d,0.255
obv_slope_50,regime_momentum_signed_5d,0.2207
funding_rate_zscore_30,max_dd_window_50,0.0312
funding_rate_zscore_30,ema_spread_atr_20,0.1578
funding_rate_zscore_30,ret_kurt_50,0.0412
funding_rate_zscore_30,ret_skew_200,0.0061
funding_rate_zscore_30,range_realized_vol_50,0.0284
funding_rate_zscore_30,hurst_diff_100_50,0.0123
funding_rate_zscore_30,ret_kurt_200,0.0254
funding_rate_zscore_30,hurst_100,0.0169
funding_rate_zscore_30,btc_ret_14d,0.1348
funding_rate_zscore_30,ret_skew_50,0.0575
funding_rate_zscore_30,vwap_dev_20,0.287
funding_rate_zscore_30,ret_autocorr_lag1_50,0.0046
funding_rate_zscore_30,sym_vs_btc_ret_7d,0.0774
funding_rate_zscore_30,regime_momentum_signed_5d,0.2338
funding_sign_persist_9,max_dd_window_50,0.0767
funding_sign_persist_9,ema_spread_atr_20,0.1945
funding_sign_persist_9,ret_kurt_50,0.026
funding_sign_persist_9,ret_skew_200,0.0002
funding_sign_persist_9,range_realized_vol_50,0.201
funding_sign_persist_9,hurst_diff_100_50,0.003
funding_sign_persist_9,ret_kurt_200,0.0444
funding_sign_persist_9,hurst_100,0.0365
funding_sign_persist_9,btc_ret_14d,0.2182
funding_sign_persist_9,ret_skew_50,0.0216
funding_sign_persist_9,vwap_dev_20,0.0713
funding_sign_persist_9,ret_autocorr_lag1_50,0.0016
funding_sign_persist_9,sym_vs_btc_ret_7d,0.0321
funding_sign_persist_9,regime_momentum_signed_5d,0.1102
basis_zscore_30,max_dd_window_50,0.0351
basis_zscore_30,ema_spread_atr_20,0.1239
basis_zscore_30,ret_kurt_50,0.0422
basis_zscore_30,ret_skew_200,0.0008
basis_zscore_30,range_realized_vol_50,0.0627
basis_zscore_30,hurst_diff_100_50,0.0283
basis_zscore_30,ret_kurt_200,0.0187
basis_zscore_30,hurst_100,0.001
basis_zscore_30,btc_ret_14d,0.115
basis_zscore_30,ret_skew_50,0.0561
basis_zscore_30,vwap_dev_20,0.2689
basis_zscore_30,ret_autocorr_lag1_50,0.0158
basis_zscore_30,sym_vs_btc_ret_7d,0.0698
basis_zscore_30,regime_momentum_signed_5d,0.227
candle_dow_sin,max_dd_window_50,0.004
candle_dow_sin,ema_spread_atr_20,0.0084
candle_dow_sin,ret_kurt_50,0.0136
candle_dow_sin,ret_skew_200,0.004
candle_dow_sin,range_realized_vol_50,0.0068
candle_dow_sin,hurst_diff_100_50,0.019
candle_dow_sin,ret_kurt_200,0.0026
candle_dow_sin,hurst_100,0.0158
candle_dow_sin,btc_ret_14d,0.0005
candle_dow_sin,ret_skew_50,0.0126
candle_dow_sin,vwap_dev_20,0.0302
candle_dow_sin,ret_autocorr_lag1_50,0.0048
candle_dow_sin,sym_vs_btc_ret_7d,0.0008
candle_dow_sin,regime_momentum_signed_5d,0.0133
candle_dow_cos,max_dd_window_50,0.0079
candle_dow_cos,ema_spread_atr_20,0.0078
candle_dow_cos,ret_kurt_50,0.0052
candle_dow_cos,ret_skew_200,0.004
candle_dow_cos,range_realized_vol_50,0.0153
candle_dow_cos,hurst_diff_100_50,0.0616
candle_dow_cos,ret_kurt_200,0.0052
candle_dow_cos,hurst_100,0.0139
candle_dow_cos,btc_ret_14d,0.001
candle_dow_cos,ret_skew_50,0.0039
candle_dow_cos,vwap_dev_20,0.0008
candle_dow_cos,ret_autocorr_lag1_50,0.0022
candle_dow_cos,sym_vs_btc_ret_7d,0.0005
candle_dow_cos,regime_momentum_signed_5d,0.0103
