symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,mean_path_sharpe,error
MKRUSDT,2025-07,50,1528,45,43,0.0008,24,-0.005469,
MKRUSDT,2025-08,50,1435,45,50,0.197,26,-0.110312,
MKRUSDT,2025-09,50,1342,45,46,0.0,25,-0.039908,
MKRUSDT,2025-10,50,1252,45,50,0.0352,26,-0.047377,
MKRUSDT,2025-11,50,1159,45,46,0.0008,23,-0.009969,
MKRUSDT,2025-12,50,1069,45,50,0.0014,22,-0.072581,
MKRUSDT,2026-01,50,976,45,45,0.0012,22,0.025171,
MKRUSDT,2026-02,50,883,45,50,0.0394,25,0.028289,
MKRUSDT,2026-03,50,799,45,47,0.0024,23,0.069948,
MKRUSDT,2026-04,50,706,45,50,0.0,26,-0.039132,
MKRUSDT,2026-05,50,616,45,50,0.0402,20,-0.012441,
TRXUSDT,2022-01,50,1790,45,50,0.005,26,-0.004183,
TRXUSDT,2022-02,50,1825,45,50,0.0202,28,0.034592,
TRXUSDT,2022-03,50,1815,45,50,0.0012,27,0.030027,
TRXUSDT,2022-04,50,1815,45,50,0.026,26,0.035947,
TRXUSDT,2022-05,50,1810,45,50,0.0966,24,0.031644,
TRXUSDT,2022-06,50,1810,45,50,0.0056,24,0.059237,
TRXUSDT,2022-07,50,1810,45,48,0.008,26,0.058061,
TRXUSDT,2022-08,50,1810,45,50,0.0166,22,0.020225,
TRXUSDT,2022-09,50,1810,45,50,0.042,26,-0.009307,
TRXUSDT,2022-10,50,1810,45,49,0.0128,22,0.015668,
TRXUSDT,2022-11,50,1810,45,50,0.0156,29,-0.028076,
TRXUSDT,2022-12,50,1810,45,50,0.0034,26,-0.005043,
TRXUSDT,2023-01,50,1810,45,48,0.021,25,0.036782,
TRXUSDT,2023-02,50,1810,45,50,0.0,25,0.063602,
TRXUSDT,2023-03,50,1810,45,50,0.0008,29,0.039341,
TRXUSDT,2023-04,50,1810,45,50,0.01,27,0.018451,
TRXUSDT,2023-05,50,1810,45,49,0.003,27,0.071277,
TRXUSDT,2023-06,50,1810,45,50,0.0,24,0.031481,
TRXUSDT,2023-07,50,1810,45,50,0.0054,31,0.034534,
TRXUSDT,2023-08,50,1810,45,50,0.0008,24,-0.01423,
TRXUSDT,2023-09,50,1810,45,49,0.0136,23,0.033428,
TRXUSDT,2023-10,50,1810,45,50,0.0074,23,-0.027177,
TRXUSDT,2023-11,50,1810,45,49,0.0,24,0.008153,
TRXUSDT,2023-12,50,1810,45,50,0.0004,26,-0.048036,
TRXUSDT,2024-01,50,1810,45,49,0.0506,24,0.007464,
TRXUSDT,2024-02,50,1810,45,50,0.0272,27,0.0283,
TRXUSDT,2024-03,50,1820,45,49,0.0,28,0.031086,
TRXUSDT,2024-04,50,1820,45,50,0.0036,26,-0.024214,
TRXUSDT,2024-05,50,1825,45,49,0.0012,28,-0.039482,
TRXUSDT,2024-06,50,1825,45,39,0.0008,20,-0.041839,
TRXUSDT,2024-07,50,1825,45,50,0.0,28,0.030624,
TRXUSDT,2024-08,50,1825,45,47,0.0,27,-0.03978,
TRXUSDT,2024-09,50,1825,45,49,0.0216,28,-0.019584,
TRXUSDT,2024-10,50,1825,45,50,0.0,26,-0.003205,
TRXUSDT,2024-11,50,1825,45,48,0.0068,29,0.00804,
TRXUSDT,2024-12,50,1825,45,46,0.0,26,-0.013679,
TRXUSDT,2025-01,50,1825,45,49,0.0348,25,-0.028337,
TRXUSDT,2025-02,50,1825,45,50,0.0568,26,0.019367,
TRXUSDT,2025-03,50,1825,45,46,0.0,26,0.002851,
TRXUSDT,2025-04,50,1801,45,50,0.0612,24,0.035504,
TRXUSDT,2025-05,50,1711,45,50,0.015,21,0.049765,
TRXUSDT,2025-06,50,1618,45,50,0.0028,24,0.065606,
TRXUSDT,2025-07,50,1528,45,50,0.0002,24,0.063579,
TRXUSDT,2025-08,50,1435,45,45,0.047,22,-0.014414,
TRXUSDT,2025-09,50,1342,45,50,0.0012,26,-0.021066,
TRXUSDT,2025-10,50,1252,45,45,0.0334,25,-0.063617,
TRXUSDT,2025-11,50,1159,45,50,0.0054,27,-0.04948,
TRXUSDT,2025-12,50,1069,45,50,0.0026,20,-0.071684,
TRXUSDT,2026-01,50,976,45,50,0.039,24,-0.038364,
TRXUSDT,2026-02,50,883,45,50,0.1344,25,-0.07845,
TRXUSDT,2026-03,50,799,45,50,0.001,23,-0.052448,
TRXUSDT,2026-04,50,706,45,49,0.0002,17,-0.09123,
TRXUSDT,2026-05,50,616,45,50,0.0,12,-0.18118,
