symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,mean_path_sharpe,error
TRXUSDT,2023-03,50,1810,45,50,0.0006,29,0.039341,
TRXUSDT,2023-04,50,1810,45,50,0.0064,27,0.018451,
TRXUSDT,2023-05,50,1810,45,49,0.0032,27,0.071277,
TRXUSDT,2023-06,50,1810,45,50,0.0,24,0.031481,
TRXUSDT,2023-07,50,1810,45,50,0.0036,31,0.034534,
TRXUSDT,2023-08,50,1810,45,50,0.001,24,-0.01423,
TRXUSDT,2023-09,50,1810,45,49,0.016,23,0.033428,
TRXUSDT,2023-10,50,1810,45,50,0.0064,23,-0.027177,
TRXUSDT,2023-11,50,1810,45,49,0.0,24,0.008153,
TRXUSDT,2023-12,50,1810,45,50,0.001,26,-0.048036,
TRXUSDT,2024-01,50,1810,45,49,0.0456,24,0.007464,
TRXUSDT,2024-02,50,1810,45,50,0.0252,27,0.0283,
TRXUSDT,2024-03,50,1820,45,49,0.0,28,0.031086,
TRXUSDT,2024-04,50,1820,45,50,0.0062,26,-0.024214,
TRXUSDT,2024-05,50,1825,45,49,0.003,28,-0.039482,
TRXUSDT,2024-06,50,1825,45,39,0.0006,20,-0.041839,
TRXUSDT,2024-07,50,1825,45,50,0.0,28,0.030624,
TRXUSDT,2024-08,50,1825,45,47,0.0,27,-0.03978,
TRXUSDT,2024-09,50,1825,45,49,0.0246,28,-0.019584,
TRXUSDT,2024-10,50,1825,45,50,0.0002,26,-0.003205,
TRXUSDT,2024-11,50,1825,45,48,0.0036,29,0.00804,
TRXUSDT,2024-12,50,1825,45,46,0.0,26,-0.013679,
TRXUSDT,2025-01,50,1825,45,49,0.0358,25,-0.028337,
TRXUSDT,2025-02,50,1825,45,50,0.068,26,0.019367,
TRXUSDT,2025-03,50,1825,45,46,0.0,26,0.002851,
TRXUSDT,2025-04,50,1801,45,50,0.0524,24,0.035504,
TRXUSDT,2025-05,50,1711,45,50,0.0124,21,0.049765,
TRXUSDT,2025-06,50,1618,45,50,0.0024,24,0.065606,
TRXUSDT,2025-07,50,1528,45,50,0.0002,24,0.063579,
TRXUSDT,2025-08,50,1435,45,45,0.0508,22,-0.014414,
TRXUSDT,2025-09,50,1342,45,50,0.0006,26,-0.021066,
TRXUSDT,2025-10,50,1252,45,45,0.0344,25,-0.063617,
TRXUSDT,2025-11,50,1159,45,50,0.0076,27,-0.04948,
TRXUSDT,2025-12,50,1069,45,50,0.0026,20,-0.071684,
TRXUSDT,2026-01,50,976,45,50,0.039,24,-0.038364,
TRXUSDT,2026-02,50,883,45,50,0.1314,25,-0.07845,
TRXUSDT,2026-03,50,799,45,50,0.0004,23,-0.052448,
TRXUSDT,2026-04,50,706,45,49,0.0004,17,-0.09123,
TRXUSDT,2026-05,50,616,45,50,0.0,12,-0.18118,
