observation_idx,open_time_ms,signed_weight_std
661,1670515200000,46.647615158762406
662,1670544000000,48.98979485566356
663,1670572800000,45.8257569495584
664,1670601600000,49.839743177508446
665,1670630400000,49.35585071701227
666,1670659200000,53.81449618829484
667,1670688000000,43.31281565541543
668,1670716800000,49.839743177508446
669,1670745600000,46.0
670,1670774400000,31.559467676119
671,1670860800000,31.559467676119
672,1670889600000,33.704599092705436
673,1671004800000,43.86342439892262
674,1671062400000,32.49615361854384
675,1671091200000,28.0
676,1671120000000,27.129319932501073
677,1671148800000,27.129319932501073
678,1671177600000,50.0
679,1671235200000,49.35585071701227
680,1671264000000,47.15930449020638
681,1671292800000,49.95998398718719
682,1671321600000,47.37087712930804
683,1671350400000,49.15282290977803
684,1671379200000,46.647615158762406
685,1671523200000,42.708313008125245
686,1671552000000,19.595917942265423
687,1671580800000,49.839743177508446
688,1671609600000,30.0
689,1671638400000,28.0
690,1671667200000,23.748684174075834
691,1671696000000,36.66060555964672
692,1671724800000,31.559467676119
693,1671753600000,34.40930106817051
694,1671782400000,40.0
695,1671811200000,44.8998886412873
696,1671840000000,43.86342439892262
697,1671868800000,41.42463035441596
698,1671897600000,46.647615158762406
699,1671926400000,51.22499389946279
700,1671955200000,40.0
701,1671984000000,38.41874542459709
702,1672012800000,44.8998886412873
703,1672214400000,48.53864439804639
704,1672243200000,48.98979485566356
705,1672329600000,53.0659966456864
706,1672358400000,53.25410782277739
707,1672387200000,44.721359549995796
708,1672416000000,48.53864439804639
709,1672444800000,49.95998398718719
710,1672502400000,45.8257569495584
711,1672531200000,34.698703145794944
712,1672560000000,36.66060555964672
713,1672588800000,34.698703145794944
714,1672675200000,49.03060268852505
715,1672704000000,43.86342439892262
716,1672732800000,42.708313008125245
717,1672761600000,48.53864439804639
718,1672790400000,45.8257569495584
719,1672876800000,38.41874542459709
720,1672934400000,14.0
721,1672963200000,23.748684174075834
722,1672992000000,28.0
723,1673020800000,49.95998398718719
724,1673049600000,48.0
725,1673078400000,49.839743177508446
726,1673107200000,48.53864439804639
727,1673136000000,19.595917942265423
728,1673164800000,14.0
729,1673193600000,49.63869458396343
730,1673280000000,49.839743177508446
731,1673308800000,49.839743177508446
732,1673337600000,49.95998398718719
733,1673366400000,48.0
734,1675468800000,50.0
735,1675497600000,44.54211490264017
736,1675526400000,42.0
737,1675555200000,44.0
738,1675699200000,31.559467676119
739,1675728000000,34.40930106817051
740,1675756800000,42.37924020083418
741,1675814400000,39.7994974842648
742,1675843200000,51.22499389946279
743,1675872000000,46.51881339845203
744,1675900800000,34.40930106817051
745,1675929600000,48.33218389437829
746,1675987200000,41.23105625617661
747,1676016000000,46.861498055439924
748,1676044800000,44.8998886412873
749,1676073600000,46.0
750,1676102400000,50.15974481593781
751,1676131200000,43.86342439892262
752,1676160000000,43.86342439892262
753,1676188800000,47.15930449020638
754,1676304000000,60.0
755,1676332800000,57.445626465380286
756,1676361600000,49.35585071701227
757,1676390400000,51.419840528729765
758,1676419200000,49.839743177508446
759,1676505600000,38.41874542459709
760,1676563200000,57.445626465380286
761,1676592000000,34.698703145794944
762,1676620800000,46.861498055439924
763,1676649600000,37.36308338453881
764,1676678400000,39.191835884530846
765,1676707200000,37.36308338453881
766,1676736000000,42.37924020083418
767,1676764800000,39.7994974842648
768,1676851200000,63.245553203367585
769,1677024000000,39.191835884530846
770,1677052800000,44.0
771,1677081600000,43.31281565541543
772,1677110400000,60.13318551349163
773,1677168000000,62.48199740725323
774,1677312000000,48.98979485566356
775,1677340800000,48.0
776,1677369600000,42.708313008125245
777,1677686400000,49.35585071701227
778,1677715200000,48.98979485566356
779,1677744000000,44.8998886412873
780,1677772800000,46.647615158762406
781,1677859200000,44.8998886412873
782,1677888000000,44.8998886412873
783,1677916800000,49.95998398718719
784,1677945600000,42.708313008125245
785,1677974400000,48.53864439804639
786,1678089600000,23.748684174075834
787,1678118400000,49.839743177508446
788,1678147200000,40.0
789,1678233600000,34.40930106817051
790,1678348800000,43.08131845707603
791,1678377600000,48.98979485566356
792,1678406400000,43.86342439892262
793,1678435200000,49.839743177508446
794,1678464000000,46.647615158762406
795,1678492800000,40.0
796,1678521600000,49.839743177508446
797,1678550400000,48.98979485566356
798,1678579200000,48.0
799,1678608000000,46.647615158762406
800,1678636800000,44.8998886412873
801,1678665600000,48.53864439804639
802,1678723200000,43.86342439892262
803,1678752000000,53.81449618829484
804,1678780800000,44.721359549995796
805,1678867200000,48.98979485566356
806,1678896000000,39.191835884530846
807,1678924800000,38.41874542459709
808,1678953600000,42.708313008125245
809,1678982400000,42.37924020083418
810,1679011200000,36.66060555964672
811,1680249600000,47.37087712930804
812,1680364800000,49.63869458396343
813,1680393600000,48.53864439804639
814,1680422400000,47.37087712930804
815,1680451200000,46.647615158762406
816,1680480000000,50.0
817,1680508800000,49.95998398718719
818,1680537600000,40.0
819,1680566400000,42.708313008125245
820,1680595200000,41.42463035441596
821,1680624000000,36.66060555964672
822,1680652800000,48.0
823,1680681600000,40.0
824,1680710400000,43.86342439892262
825,1680739200000,30.0
826,1680768000000,30.0
827,1680796800000,45.8257569495584
828,1680825600000,47.37087712930804
829,1680854400000,47.37087712930804
830,1680883200000,48.2078831727758
831,1680912000000,45.8257569495584
832,1680940800000,42.708313008125245
833,1680969600000,42.708313008125245
834,1680998400000,41.7612260356422
835,1681027200000,33.704599092705436
836,1681056000000,47.15930449020638
837,1681084800000,50.0
838,1681113600000,41.42463035441596
839,1681315200000,44.8998886412873
840,1681344000000,44.8998886412873
841,1681372800000,47.37087712930804
842,1681488000000,46.647615158762406
843,1681603200000,38.41874542459709
844,1681747200000,19.595917942265423
845,1681776000000,14.0
846,1681804800000,24.413111231467404
847,1681948800000,40.0
848,1681977600000,36.66060555964672
849,1682006400000,36.66060555964672
850,1682035200000,38.41874542459709
851,1682150400000,49.95998398718719
852,1682179200000,49.95998398718719
853,1682208000000,48.98979485566356
854,1682236800000,40.0
855,1682265600000,45.8257569495584
856,1682294400000,23.748684174075834
857,1682323200000,43.86342439892262
858,1682352000000,40.0
859,1682380800000,45.8257569495584
860,1682409600000,47.37087712930804
861,1682438400000,49.63869458396343
862,1682467200000,48.98979485566356
863,1682496000000,47.49736834815167
864,1682524800000,46.647615158762406
865,1682553600000,42.708313008125245
866,1682582400000,34.698703145794944
867,1682611200000,48.53864439804639
868,1682640000000,47.37087712930804
869,1682668800000,51.22499389946279
870,1682697600000,46.861498055439924
871,1682726400000,52.306787322488084
872,1682755200000,59.19459434779497
873,1682784000000,45.8257569495584
874,1682812800000,49.63869458396343
875,1682841600000,41.42463035441596
876,1682870400000,40.0
877,1682899200000,31.559467676119
878,1682956800000,36.932370625238775
879,1682985600000,41.23105625617661
880,1683014400000,51.22499389946279
881,1683043200000,46.3033476111609
882,1683072000000,42.37924020083418
883,1683129600000,31.04834939252005
884,1683158400000,34.40930106817051
885,1683187200000,47.49736834815167
886,1683216000000,47.49736834815167
887,1683244800000,56.178287620752556
888,1683273600000,47.70744176750625
889,1683302400000,48.98979485566356
890,1683388800000,53.0659966456864
891,1683417600000,53.85164807134504
892,1683446400000,28.0
893,1683475200000,30.0
894,1683648000000,49.95998398718719
895,1683763200000,27.129319932501073
896,1683849600000,48.98979485566356
897,1683878400000,48.53864439804639
898,1683907200000,48.98979485566356
899,1683936000000,49.95998398718719
900,1683964800000,44.8998886412873
901,1683993600000,41.7612260356422
902,1684022400000,49.15282290977803
903,1684051200000,36.05551275463989
904,1684080000000,40.0
905,1684108800000,46.0
906,1684137600000,53.85164807134504
907,1684166400000,53.85164807134504
908,1684195200000,52.0
909,1684339200000,33.704599092705436
910,1684368000000,34.40930106817051
911,1684396800000,48.53864439804639
912,1684483200000,45.8257569495584
913,1684540800000,49.839743177508446
914,1684569600000,46.0
915,1684713600000,48.53864439804639
916,1684742400000,50.0
917,1684771200000,53.70288632839021
918,1684800000000,44.721359549995796
919,1684828800000,49.15282290977803
920,1684857600000,53.81449618829484
921,1684886400000,33.704599092705436
922,1684944000000,28.0
923,1684972800000,14.0
924,1685001600000,24.413111231467404
925,1685030400000,40.049968789001575
926,1685059200000,53.51635264103861
927,1685088000000,38.157568056677825
928,1685116800000,41.7612260356422
929,1685174400000,43.31281565541543
930,1685232000000,31.04834939252005
931,1685260800000,43.31281565541543
932,1685289600000,36.05551275463989
933,1685318400000,23.748684174075834
934,1685347200000,27.129319932501073
935,1685577600000,50.0
936,1685606400000,48.98979485566356
937,1685635200000,49.63869458396343
938,1685664000000,32.49615361854384
939,1685692800000,32.49615361854384
940,1685779200000,36.05551275463989
941,1685808000000,32.49615361854384
942,1685836800000,32.49615361854384
943,1686009600000,44.8998886412873
944,1686038400000,48.53864439804639
945,1686067200000,55.17245689653489
946,1686096000000,43.86342439892262
947,1686153600000,46.647615158762406
948,1686182400000,45.8257569495584
949,1686211200000,50.0
950,1686240000000,49.63869458396343
951,1686268800000,49.35585071701227
952,1686297600000,14.0
953,1686412800000,41.42463035441596
954,1686441600000,47.37087712930804
955,1686470400000,43.86342439892262
956,1686499200000,34.40930106817051
957,1686528000000,42.0
958,1686556800000,39.191835884530846
959,1686585600000,37.36308338453881
960,1686614400000,36.05551275463989
961,1686672000000,39.191835884530846
962,1686700800000,27.129319932501073
963,1686729600000,36.66060555964672
964,1686787200000,44.8998886412873
965,1686816000000,47.37087712930804
966,1686844800000,45.8257569495584
967,1686873600000,47.37087712930804
968,1686931200000,49.15282290977803
969,1686960000000,51.419840528729765
970,1686988800000,53.85164807134504
971,1687017600000,52.0
972,1687046400000,53.51635264103861
973,1687104000000,57.30619512757761
974,1687132800000,63.245553203367585
975,1687161600000,59.36328831862332
976,1687190400000,62.0
977,1687219200000,36.932370625238775
978,1687248000000,38.41874542459709
979,1687276800000,36.66060555964672
980,1687305600000,38.41874542459709
981,1688572800000,38.41874542459709
982,1688601600000,36.05551275463989
983,1688630400000,41.42463035441596
984,1688659200000,47.37087712930804
985,1688688000000,42.708313008125245
986,1688716800000,36.66060555964672
987,1688745600000,40.0
988,1688774400000,30.0
989,1688803200000,36.66060555964672
990,1688832000000,49.63869458396343
991,1688860800000,44.8998886412873
992,1688889600000,48.53864439804639
993,1688918400000,49.63869458396343
994,1688947200000,49.839743177508446
995,1689033600000,43.86342439892262
996,1689062400000,32.49615361854384
997,1689091200000,30.0
998,1689120000000,34.698703145794944
999,1689148800000,48.53864439804639
1000,1689177600000,44.8998886412873
1001,1689206400000,48.0
1002,1689580800000,34.698703145794944
1003,1689638400000,38.41874542459709
1004,1689667200000,48.0
1005,1689840000000,42.708313008125245
1006,1689868800000,42.708313008125245
1007,1689897600000,40.049968789001575
1008,1689926400000,50.15974481593781
1009,1689955200000,43.08131845707603
1010,1689984000000,39.191835884530846
1011,1690012800000,48.98979485566356
1012,1690070400000,34.698703145794944
1013,1690099200000,49.95998398718719
1014,1690128000000,40.0
1015,1690156800000,49.95998398718719
1016,1690185600000,23.748684174075834
1017,1690214400000,40.0
1018,1690243200000,23.748684174075834
1019,1690272000000,19.595917942265423
1020,1690300800000,34.698703145794944
1021,1690329600000,27.129319932501073
1022,1690358400000,23.748684174075834
1023,1690387200000,41.42463035441596
