symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time
BCHUSDT,1,583.220000,564.669469,0.8300,1755273599999,1755503999999,stop_loss,-3.1807,0.1000,-3.2807,-2.7230,564.669469,620.321062,1755878399999
TRXUSDT,1,0.340880,0.335297,0.5700,1756454399999,1756483199999,stop_loss,-1.6379,0.1000,-1.7379,-0.9906,0.335297,0.352047,1757059199999
TRXUSDT,1,0.341740,0.336462,0.4700,1756627199999,1756713599999,stop_loss,-1.5444,0.1000,-1.6444,-0.7729,0.336462,0.352296,1757231999999
TRXUSDT,1,0.337850,0.333015,0.3800,1756857599999,1757087999999,stop_loss,-1.4311,0.1000,-1.5311,-0.5818,0.333015,0.347520,1757462399999
BCHUSDT,1,593.430000,576.472337,0.7000,1757174399999,1757433599999,stop_loss,-2.8576,0.1000,-2.9576,-2.0703,576.472337,627.345327,1757779199999
TRXUSDT,1,0.327890,0.340774,0.9900,1757231999999,1757433599999,take_profit,3.9292,0.1000,3.8292,3.7909,0.321448,0.340774,1757836799999
TRXUSDT,1,0.344620,0.339026,0.5100,1757606399999,1758095999999,stop_loss,-1.6233,0.1000,-1.7233,-0.8789,0.339026,0.355808,1758211199999
LDOUSDT,-1,1.243000,1.292122,0.5800,1759478399999,1759766399999,stop_loss,-3.9519,0.1000,-4.0519,-2.3501,1.292122,1.144756,1760083199999
BCHUSDT,1,590.440000,577.291049,0.3300,1759564799999,1759852799999,stop_loss,-2.2270,0.1000,-2.3270,-0.7679,577.291049,616.737902,1760169599999
TRXUSDT,1,0.319410,0.314279,0.8400,1760198399999,1760227199999,stop_loss,-1.6063,0.1000,-1.7063,-1.4333,0.314279,0.329671,1760803199999
TRXUSDT,1,0.320600,0.315421,0.6900,1760371199999,1760428799999,stop_loss,-1.6153,0.1000,-1.7153,-1.1836,0.315421,0.330957,1760975999999
TRXUSDT,1,0.319120,0.313378,0.9400,1760572799999,1760659199999,stop_loss,-1.7994,0.1000,-1.8994,-1.7854,0.313378,0.330604,1761177599999
BCHUSDT,1,478.790000,459.032722,0.9200,1760687999999,1760716799999,stop_loss,-4.1265,0.1000,-4.2265,-3.8884,459.032722,518.304556,1761292799999
TRXUSDT,1,0.313990,0.324741,0.5600,1760860799999,1761062399999,take_profit,3.4241,0.1000,3.3241,1.8615,0.308614,0.324741,1761465599999
BCHUSDT,1,475.840000,513.648106,0.8600,1760889599999,1761091199999,take_profit,7.9456,0.1000,7.8456,6.7472,456.935947,513.648106,1761494399999
TRXUSDT,-1,0.322730,0.312878,0.4900,1761206399999,1761263999999,take_profit,3.0526,0.1000,2.9526,1.4468,0.327656,0.312878,1761811199999
BCHUSDT,1,490.590000,525.884094,0.7900,1761292799999,1761494399999,take_profit,7.1942,0.1000,7.0942,5.6044,472.942953,525.884094,1761897599999
TRXUSDT,1,0.300010,0.294848,0.5900,1761494399999,1761695999999,stop_loss,-1.7207,0.1000,-1.8207,-1.0742,0.294848,0.310335,1762099199999
BCHUSDT,-1,554.250000,571.190940,0.6900,1761638399999,1761811199999,stop_loss,-3.0566,0.1000,-3.1566,-2.1780,571.190940,520.368120,1762243199999
BCHUSDT,-1,534.530000,553.475221,0.8700,1761955199999,1762012799999,stop_loss,-3.5443,0.1000,-3.6443,-3.1705,553.475221,496.639558,1762559999999
TRXUSDT,-1,0.296050,0.286638,0.3700,1761983999999,1762185599999,take_profit,3.1792,0.1000,3.0792,1.1393,0.300756,0.286638,1762588799999
BCHUSDT,-1,505.440000,467.907405,0.8400,1762214399999,1762300799999,take_profit,7.4257,0.1000,7.3257,6.1536,524.206297,467.907405,1762819199999
TRXUSDT,-1,0.285700,0.291168,0.8400,1762329599999,1762559999999,stop_loss,-1.9138,0.1000,-2.0138,-1.6916,0.291168,0.274765,1762934399999
BCHUSDT,1,470.450000,508.561901,0.8100,1762444799999,1762559999999,take_profit,8.1012,0.1000,8.0012,6.4809,451.394050,508.561901,1763049599999
TRXUSDT,-1,0.291420,0.296169,0.4500,1762703999999,1762819199999,stop_loss,-1.6294,0.1000,-1.7294,-0.7782,0.296169,0.281923,1763308799999
TRXUSDT,-1,0.276320,0.281216,0.6100,1763798399999,1764316799999,stop_loss,-1.7718,0.1000,-1.8718,-1.1418,0.281216,0.266528,1764403199999
TRXUSDT,1,0.298680,0.303917,0.3500,1768118399999,1768348799999,take_profit,1.7535,0.1000,1.6535,0.5787,0.296061,0.303917,1768723199999
TRXUSDT,-1,0.308590,0.312020,0.7800,1768550399999,1768636799999,stop_loss,-1.1114,0.1000,-1.2114,-0.9449,0.312020,0.301731,1769155199999
TRXUSDT,-1,0.316940,0.309091,0.8500,1768809599999,1768838399999,take_profit,2.4765,0.1000,2.3765,2.0200,0.320864,0.309091,1769414399999
TRXUSDT,-1,0.299000,0.303454,0.9100,1769011199999,1769126399999,stop_loss,-1.4895,0.1000,-1.5895,-1.4464,0.303454,0.290093,1769615999999
TRXUSDT,-1,0.295920,0.286528,0.9600,1769270399999,1769875199999,take_profit,3.1737,0.1000,3.0737,2.9508,0.300616,0.286528,1769875199999
BCHUSDT,1,529.960000,511.376285,0.8300,1770105599999,1770163199999,stop_loss,-3.5066,0.1000,-3.6066,-2.9935,511.376285,567.127430,1770710399999
TRXUSDT,-1,0.283480,0.275609,0.8400,1770019199999,1770335999999,take_profit,2.7764,0.1000,2.6764,2.2482,0.287415,0.275609,1770623999999
TRXUSDT,1,0.277550,0.273874,0.0000,1770595199999,1770825599999,stop_loss,-1.3244,0.1000,-1.4244,0.0000,0.273874,0.284902,1771199999999
TRXUSDT,1,0.277970,0.284538,0.0000,1770969599999,1771286399999,take_profit,2.3628,0.1000,2.2628,0.0000,0.274686,0.284538,1771574399999
TRXUSDT,1,0.298700,0.303982,0.3600,1773734399999,1773763199999,take_profit,1.7682,0.1000,1.6682,0.6006,0.296059,0.303982,1774339199999
TRXUSDT,1,0.299760,0.306319,0.6700,1773935999999,1774022399999,take_profit,2.1880,0.1000,2.0880,1.3990,0.296481,0.306319,1774540799999
TRXUSDT,-1,0.308460,0.312083,0.8100,1774166399999,1774195199999,stop_loss,-1.1745,0.1000,-1.2745,-1.0323,0.312083,0.301214,1774771199999
TRXUSDT,1,0.309960,0.305706,0.9200,1774339199999,1774396799999,stop_loss,-1.3723,0.1000,-1.4723,-1.3545,0.305706,0.318467,1774943999999
TRXUSDT,1,0.310850,0.319337,0.8700,1774540799999,1774799999999,take_profit,2.7302,0.1000,2.6302,2.2882,0.306607,0.319337,1775145599999
TRXUSDT,-1,0.320850,0.311712,0.9500,1774943999999,1774972799999,take_profit,2.8482,0.1000,2.7482,2.6108,0.325419,0.311712,1775548799999
TRXUSDT,1,0.328820,0.334703,0.7100,1776643199999,1776815999999,take_profit,1.7892,0.1000,1.6892,1.1994,0.325878,0.334703,1777247999999
TRXUSDT,1,0.325410,0.322146,0.7000,1777046399999,1777075199999,stop_loss,-1.0032,0.1000,-1.1032,-0.7722,0.322146,0.331939,1777651199999
TRXUSDT,1,0.323500,0.329685,0.6300,1777219199999,1777737599999,take_profit,1.9120,0.1000,1.8120,1.1415,0.320407,0.329685,1777823999999
TRXUSDT,1,0.338950,0.335689,0.7000,1777881599999,1777910399999,stop_loss,-0.9620,0.1000,-1.0620,-0.7434,0.335689,0.345471,1778486399999
TRXUSDT,1,0.342540,0.344640,0.7600,1778054399999,1778083199999,end_of_data,0.6131,0.1000,0.5131,0.3899,0.339095,0.349430,1778659199999
