iter,n_trials,n_eff,T_IS,raw_SR_IS,skew_IS,kurt_IS,E_max_SR,sr_std_IS,dsr_z_IS,dsr_p_IS,T_OOS,raw_SR_OOS,dsr_z_OOS,dsr_p_OOS,pbo,frac_positive_paths,psr_reported
012,40,7,286,1.0713724352102039,0.9348771358721667,3.9224670230594776,2.1894802275365657,0.05419356911001952,-20.631743040515886,7.121144366356392e-95,101,1.339240778183815,-9.536347713583387,7.397559224712045e-22,0.10769710982658959,0.6,1.0
013,30,7,209,1.4845541570840564,1.1194333802765994,5.032580051308878,2.0733923079493106,0.08660232857200048,-6.799333927559453,5.255197229118688e-12,85,2.0631070216159557,-0.07642523038185649,0.4695403986802961,0.10751023622047243,0.6444,1.0
014,30,7,153,1.1163815079279122,1.0134028798494732,4.479215539871786,2.0733923079493106,0.07916916511529447,-12.088175978964772,6.098222935118224e-34,60,0.7948185928594588,-12.935770117394298,1.413876291875622e-38,0.10751023622047243,0.6444,1.0
015,30,7,205,1.0855113725374959,1.1118639915569162,4.872757913463219,2.0733923079493106,0.06766086435303618,-14.600477615203346,1.3944236416700772e-48,85,1.4341623791609102,-5.487861041934899,2.0341494716814236e-08,0.1033732283464567,0.6444,1.0
016,30,6,217,1.0308578509321618,1.1846649816608115,5.371190488596788,2.0733923079493106,0.06597066431491168,-15.803000740459417,1.4832649399301565e-56,112,0.20119008689669735,-21.141101003795388,1.666067000352994e-99,0.08894173228346457,0.6444,0.9888
017,30,4,159,0.7452674696311282,1.1186737512706677,5.148127459677637,2.0733923079493106,0.06854181099995076,-19.37685653387735,6.050854146354227e-84,62,0.6543106554302172,-12.831175866959606,5.484334745416878e-38,,0.6444,1.0
018,1500,25,172,0.7521400597498752,1.4736577325250741,6.745684812172927,3.3687003036721452,0.06417299039799304,-40.77354394262576,0.0,102,0.23252228540760728,-33.407465343796694,5.340746844092932e-245,0.08917637795275589,0.6444,0.9936
019,30,7,209,1.8516206920638836,1.014786782144586,4.548810084511285,2.0733923079493106,0.10197032276568019,-2.174864312188565,0.014820142980270961,91,0.7682275889310938,-14.540595841768845,3.3503429181471326e-48,0.09710708661417325,0.6444,1.0
020,105,19,200,0.34686309054523246,1.4699346303504013,7.290938391504286,2.547721560943299,0.058428151440090385,-37.66777514182916,8.371849343017e-311,86,-0.3965690404164555,-23.07299340658256,4.323466780952548e-118,0.11898110236220474,0.6444,0.0009
021,175,19,311,0.5050740151453486,1.0529631481985295,4.384718560521203,2.721581816078186,0.04697411430980981,-47.1857284272405,0.0,144,-0.37264993152085735,-31.240687543759865,1.4936890488606898e-214,0.10740189573459716,0.6889,0.0001
022,105,19,196,1.0912750805698135,1.1669172658892912,5.0107061652086955,2.547721560943299,0.06871125056649928,-21.196623091060253,5.129972012560793e-100,82,-0.5898593811108677,-23.835525525280115,7.154310480612878e-126,0.11898110236220474,0.6444,0.0
023,105,19,195,0.7207375811065868,0.9633671158630528,4.596845851736081,2.547721560943299,0.06311386757487515,-28.947425503107844,1.511837553208075e-184,92,-1.2711931972490011,-19.08794427180679,1.590204711492117e-81,0.0922236220472441,0.6444,0.0
024,105,19,182,2.015293304074888,1.1312118466327112,4.679600158125914,2.547721560943299,0.1164949645170581,-4.570397176183942,2.4340036391322427e-06,85,-1.2245099584644203,-24.996129788901484,3.3677233160809467e-138,0.08431968503937008,0.6444,0.0
025,105,19,194,1.3003167134034084,1.2005636880942565,5.209988397897856,2.547721560943299,0.07945650416321239,-15.699216328188617,7.65609612180091e-56,95,1.0190741343185437,-15.666780585083046,1.2759085981150316e-55,0.1009496062992126,0.6444,1.0
026,105,19,196,0.08496408264829594,1.0711010922455475,4.640382981350931,2.547721560943299,0.06852155806036836,-35.941352590454564,3.454123105253078e-283,79,1.5313561109295433,-8.20877730306388,1.1172611678145214e-16,0.09135433070866142,0.6444,1.0
027,105,19,205,-0.5822155115874291,1.1866958155737173,5.723038272285728,2.547721560943299,0.10124617083430744,-30.914127879986385,3.857513344370683e-210,105,0.942709840176051,-18.526652422456838,6.293930464701715e-77,0.14475555555555555,0.6444,1.0
028,1050,19,182,0.9158784114741477,0.8578351054780918,4.509485889749099,3.268970703722646,0.07245862689882032,-32.47497769360584,1.2028743746967446e-231,96,0.5401790334602081,-28.432023661788666,4.065244644558672e-178,0.12425511811023623,0.6444,1.0
029,140,19,257,0.9991515398258811,1.0912209296918665,4.612452686455182,2.6467985023510274,0.056294643341195966,-29.26827251642629,1.3145611009614993e-188,120,1.499348465338612,-12.397502529411488,1.3479791071757434e-35,0.09738742857142857,0.5333,1.0
030,140,19,265,0.069917511047927,0.9631572817872601,4.2908188048094775,2.6467985023510274,0.05956535110435493,-43.26140857943671,0.0,124,0.8593284278546663,-21.883747930250276,1.855302941776676e-106,0.10096685714285715,0.5333,1.0
031,105,19,242,0.44250359922070387,1.0831166474287504,4.467503062341182,2.547721560943299,0.05352547922738467,-39.33113709789122,0.0,109,1.7620386293248131,-7.931332828710714,1.0840315100757526e-15,0.09571948051948052,0.6222,1.0
032,140,19,256,0.35559436377727416,1.0696226722895605,4.413975609627279,2.6467985023510274,0.053415509603778784,-42.89398632661676,0.0,129,1.6036614050973144,-12.621601007680336,8.026210608756834e-37,0.09674171428571429,0.5333,1.0
033,175,19,337,0.17842984104843082,1.1577161609020117,4.504701886155896,2.721581816078186,0.04944103842666811,-51.43807767714682,0.0,147,1.3443730524544601,-19.533005342868805,2.877540336465785e-85,0.09443214285714285,0.4667,1.0
034,140,19,263,-0.25975049631193087,0.8026282162946413,3.694163946285987,2.6467985023510274,0.06918078715709017,-42.013817970341975,0.0,119,1.2965213150060833,-15.974098126068231,9.681739553556299e-58,0.12475632183908046,0.5333,1.0
035,140,20,262,-0.14644901747495143,0.9955257594886149,4.543036745757163,2.6467985023510274,0.0668041950808726,-41.812456784255794,0.0,123,2.2455504578197276,-3.6465931221271894,0.0001328701007042451,0.1011782857142857,0.5333,1.0
036,140,20,263,-0.3308904871394464,1.0217314308722663,4.660440296691673,2.6467985023510274,0.07409183628560545,-40.18916440418927,0.0,127,1.9677231039222989,-7.120097686588815,5.392529814650232e-13,0.091,0.5333,1.0
037,140,20,263,-0.25678885424882586,0.9422690768038938,4.364421498485862,2.6467985023510274,0.0703705329215288,-41.26140922987873,0.0,122,1.6397526648514293,-10.864073936522862,8.547435259588708e-28,0.11478742857142855,0.5333,1.0
038,140,19,263,-0.5780681509581014,0.8287533744900405,3.925910935733657,2.6467985023510274,0.08110657791639235,-39.76085215472215,0.0,125,1.8423376868709755,-8.248385973296237,8.027405357259182e-17,0.11980914285714285,0.5333,1.0
039,1400,19,239,-0.13271638896763358,1.0872490235699808,5.028854307257308,3.349611997994273,0.0698749321360385,-49.83659061281392,0.0,125,1.573024183428245,-19.430003863700488,2.151648363918693e-84,0.10720914285714286,0.5333,1.0
040,140,19,257,0.9991515398258811,1.0912209296918665,4.612452686455182,2.6467985023510274,0.056294643341195966,-29.26827251642629,1.3145611009614993e-188,120,1.499348465338612,-12.397502529411488,1.3479791071757434e-35,0.09738742857142857,0.5333,1.0
041,140,19,258,0.014609339362364443,1.1633331983249282,4.979767504616333,2.6467985023510274,0.06185261834296396,-42.555824369367016,0.0,122,0.852747250917422,-21.975358318788214,2.478114301393845e-107,0.09008000000000001,0.5333,1.0
042,140,20,258,-0.7879466711107633,1.0239580863098767,4.560805515488288,2.6467985023510274,0.09581748934286917,-35.8467456934824,1.0334003709518408e-281,122,1.4554188211815864,-13.86498147152417,5.162638029249814e-44,0.10303999999999998,0.5333,1.0
043,140,19,241,-0.791419266467115,1.3064851996124247,5.862741804174106,2.6467985023510274,0.10792388135510853,-31.857803163186514,5.131822086310175e-223,112,-0.7413994245164931,-25.320444736605296,9.511655657216776e-142,0.08015771428571429,0.5333,0.0
044,140,19,247,1.0082457519720864,1.022745519008946,5.235220037723747,2.6467985023510274,0.0651814060926112,-25.138346172693,9.476164965617203e-140,117,2.094195744963643,-4.192828260100813,1.3774900572016363e-05,0.07624685714285714,0.5333,1.0
045,140,19,250,1.0589615767471616,0.9978231269017472,5.123244429999606,2.6467985023510274,0.06644425248916049,-23.8972802931736,1.634394425291705e-126,119,2.1896367486063353,-2.8208787052943705,0.002394615375157672,0.07823085714285714,0.5333,1.0
046,140,19,228,0.2977448969431099,0.8148464467543277,5.0059317394213725,2.6467985023510274,0.06105414357123351,-38.47492517305093,0.0,121,1.4317472464680574,-9.974656592748605,9.839049045462179e-24,0.08444228571428572,0.5333,1.0
047,700,18,201,0.869473183605246,0.6715117541359888,5.434432482510663,3.152278142325689,0.07919053334143841,-28.82674055089245,4.958706125293158e-183,92,1.2582321966602439,-12.335014935221627,2.933902149880264e-35,0.09392685714285715,0.5333,1.0
048,700,18,204,0.459737365575469,0.7286635586974738,5.462590787733906,3.152278142325689,0.06661438541465513,-40.41980962505229,0.0,95,0.2877034746512997,-27.28490087162455,3.2041174928460005e-164,0.13386857142857142,0.5333,0.9971
049,700,18,194,0.7438562046649062,0.679417170121138,5.345455922800712,3.152278142325689,0.07534791396465179,-31.96401613441685,1.725249061459752e-224,92,0.9451081212560075,-16.704664047842453,6.060436314832342e-63,0.09392685714285715,0.5333,1.0
050,1400,18,201,0.869473183605246,0.6715117541359888,5.434432482510663,3.349611997994273,0.07919053334143841,-31.318627489167735,1.3013635225221653e-215,93,1.2561467146087373,-13.6918038624307,5.682615400796338e-43,0.09392685714285715,0.5333,1.0
051,525,19,178,0.6525249860902266,1.3063434562878489,6.198893504404325,3.0671648056243432,0.0629314929152745,-38.36933954172958,0.0,96,0.5507228532400639,-27.060466264082862,1.4382245237065178e-161,0.11680787401574802,0.6444,1.0
052,525,19,188,0.7974862885929375,1.2933067540541776,5.44212023302345,3.0671648056243432,0.06007505856943718,-37.780712513297345,0.0,93,1.3848918483632253,-14.661451138440448,5.690712370398544e-49,0.10903149606299213,0.6444,1.0
053,525,19,180,0.7817668077718875,1.2264512070601359,5.817323434639936,3.0671648056243432,0.06589475313235782,-34.68254890130553,7.220040820127115e-264,96,0.7397320624850457,-24.192229233236883,1.3428953040889527e-129,0.13768818897637794,0.6444,1.0
054,525,19,106,0.8796556899360514,0.5148544718108227,3.2762737222794938,3.0671648056243432,0.09697555642631187,-22.5573247146099,5.690011575350208e-113,0,,,,0.12425511811023623,0.6444,0.0
