T,T_R,N_days,M_candles,activations,skipped_trades,time_overrides_fired,state_recoveries,delta_wpnl_vs_baseline,wpnl_with_brake,max_cycles
6.0,3.75,21,21,5,4,5,0,-4.681,84.086,3
6.0,5.0,21,21,5,4,5,0,-4.681,84.086,3
6.0,3.5,21,21,5,4,5,0,-4.681,84.086,3
6.0,2.5,21,21,5,4,5,0,-4.681,84.086,3
5.0,3.5,45,21,17,15,17,0,-6.795,81.971,9
5.0,2.5,45,21,17,15,17,0,-6.795,81.971,9
5.0,3.75,45,21,17,15,17,0,-6.795,81.971,9
10.0,5.0,30,63,1,2,1,0,-18.106,70.66,1
10.0,5.0,30,42,1,2,1,0,-18.106,70.66,1
10.0,5.0,30,21,1,2,1,0,-18.106,70.66,1
10.0,5.0,21,90,1,2,1,0,-18.106,70.66,1
15.0,7.5,45,42,1,2,1,0,-18.106,70.66,1
15.0,7.5,45,21,1,2,1,0,-18.106,70.66,1
15.0,7.5,30,90,1,2,1,0,-18.106,70.66,1
15.0,6.0,30,21,1,2,1,0,-18.106,70.66,1
15.0,6.0,30,42,1,2,1,0,-18.106,70.66,1
15.0,6.0,45,90,1,2,1,0,-18.106,70.66,1
15.0,7.5,30,63,1,2,1,0,-18.106,70.66,1
15.0,7.5,30,42,1,2,1,0,-18.106,70.66,1
15.0,2.5,30,63,1,2,1,0,-18.106,70.66,1
15.0,2.5,30,90,1,2,1,0,-18.106,70.66,1
15.0,7.5,30,21,1,2,1,0,-18.106,70.66,1
15.0,6.0,45,63,1,2,1,0,-18.106,70.66,1
15.0,2.5,45,63,1,2,1,0,-18.106,70.66,1
12.5,7.5,21,90,1,2,1,0,-18.106,70.66,1
12.5,7.5,30,21,1,2,1,0,-18.106,70.66,1
12.5,7.5,30,42,1,2,1,0,-18.106,70.66,1
12.5,7.5,30,63,1,2,1,0,-18.106,70.66,1
12.5,7.5,30,90,1,2,1,0,-18.106,70.66,1
12.5,7.5,45,21,1,2,1,0,-18.106,70.66,1
12.5,7.5,45,42,1,2,1,0,-18.106,70.66,1
12.5,7.5,45,63,1,2,1,0,-18.106,70.66,1
12.5,5.0,45,90,1,2,1,0,-18.106,70.66,1
12.5,6.0,21,21,1,2,1,0,-18.106,70.66,1
12.5,6.0,21,42,1,2,1,0,-18.106,70.66,1
12.5,6.0,21,63,1,2,1,0,-18.106,70.66,1
12.5,6.0,21,90,1,2,1,0,-18.106,70.66,1
15.0,2.5,45,21,1,2,1,0,-18.106,70.66,1
15.0,2.5,45,42,1,2,1,0,-18.106,70.66,1
12.5,6.0,30,42,1,2,1,0,-18.106,70.66,1
12.5,6.0,30,21,1,2,1,0,-18.106,70.66,1
12.5,6.0,30,63,1,2,1,0,-18.106,70.66,1
12.5,6.0,30,90,1,2,1,0,-18.106,70.66,1
12.5,6.0,45,63,1,2,1,0,-18.106,70.66,1
12.5,6.0,45,90,1,2,1,0,-18.106,70.66,1
12.5,6.0,45,21,1,2,1,0,-18.106,70.66,1
12.5,6.0,45,42,1,2,1,0,-18.106,70.66,1
12.5,7.5,21,63,1,2,1,0,-18.106,70.66,1
12.5,3.75,45,90,1,2,1,0,-18.106,70.66,1
12.5,5.0,21,21,1,2,1,0,-18.106,70.66,1
12.5,5.0,21,42,1,2,1,0,-18.106,70.66,1
12.5,5.0,21,63,1,2,1,0,-18.106,70.66,1
12.5,5.0,21,90,1,2,1,0,-18.106,70.66,1
12.5,7.5,21,21,1,2,1,0,-18.106,70.66,1
12.5,7.5,21,42,1,2,1,0,-18.106,70.66,1
12.5,5.0,30,42,1,2,1,0,-18.106,70.66,1
12.5,5.0,30,21,1,2,1,0,-18.106,70.66,1
15.0,3.5,30,63,1,2,1,0,-18.106,70.66,1
15.0,3.5,30,90,1,2,1,0,-18.106,70.66,1
15.0,3.5,45,42,1,2,1,0,-18.106,70.66,1
15.0,3.5,45,21,1,2,1,0,-18.106,70.66,1
15.0,3.5,45,63,1,2,1,0,-18.106,70.66,1
12.5,7.5,45,90,1,2,1,0,-18.106,70.66,1
15.0,2.5,30,21,1,2,1,0,-18.106,70.66,1
15.0,2.5,30,42,1,2,1,0,-18.106,70.66,1
12.5,5.0,30,63,1,2,1,0,-18.106,70.66,1
12.5,5.0,30,90,1,2,1,0,-18.106,70.66,1
12.5,5.0,45,21,1,2,1,0,-18.106,70.66,1
12.5,5.0,45,42,1,2,1,0,-18.106,70.66,1
15.0,6.0,30,63,1,2,1,0,-18.106,70.66,1
15.0,7.5,45,63,1,2,1,0,-18.106,70.66,1
12.5,3.5,45,90,1,2,1,0,-18.106,70.66,1
12.5,5.0,45,63,1,2,1,0,-18.106,70.66,1
12.5,3.75,21,21,1,2,1,0,-18.106,70.66,1
12.5,3.75,21,42,1,2,1,0,-18.106,70.66,1
12.5,3.75,30,21,1,2,1,0,-18.106,70.66,1
12.5,3.75,30,42,1,2,1,0,-18.106,70.66,1
12.5,3.75,21,63,1,2,1,0,-18.106,70.66,1
12.5,3.75,21,90,1,2,1,0,-18.106,70.66,1
15.0,3.75,45,21,1,2,1,0,-18.106,70.66,1
15.0,3.75,45,42,1,2,1,0,-18.106,70.66,1
15.0,3.75,45,63,1,2,1,0,-18.106,70.66,1
15.0,3.75,45,90,1,2,1,0,-18.106,70.66,1
15.0,2.5,45,90,1,2,1,0,-18.106,70.66,1
15.0,3.5,30,21,1,2,1,0,-18.106,70.66,1
15.0,3.75,30,63,1,2,1,0,-18.106,70.66,1
15.0,3.75,30,90,1,2,1,0,-18.106,70.66,1
12.5,3.75,30,90,1,2,1,0,-18.106,70.66,1
12.5,3.75,45,21,1,2,1,0,-18.106,70.66,1
12.5,3.75,45,42,1,2,1,0,-18.106,70.66,1
12.5,3.75,45,63,1,2,1,0,-18.106,70.66,1
12.5,3.5,21,90,1,2,1,0,-18.106,70.66,1
12.5,3.5,30,21,1,2,1,0,-18.106,70.66,1
12.5,3.5,30,42,1,2,1,0,-18.106,70.66,1
12.5,3.5,30,63,1,2,1,0,-18.106,70.66,1
12.5,3.5,30,90,1,2,1,0,-18.106,70.66,1
12.5,3.5,45,21,1,2,1,0,-18.106,70.66,1
12.5,3.5,45,42,1,2,1,0,-18.106,70.66,1
12.5,3.5,45,63,1,2,1,0,-18.106,70.66,1
10.0,7.5,45,90,2,2,2,0,-18.106,70.66,1
12.5,2.5,21,21,1,2,1,0,-18.106,70.66,1
15.0,3.5,30,42,1,2,1,0,-18.106,70.66,1
12.5,3.75,30,63,1,2,1,0,-18.106,70.66,1
12.5,2.5,21,90,1,2,1,0,-18.106,70.66,1
12.5,2.5,30,21,1,2,1,0,-18.106,70.66,1
12.5,2.5,30,42,1,2,1,0,-18.106,70.66,1
12.5,2.5,30,63,1,2,1,0,-18.106,70.66,1
12.5,2.5,30,90,1,2,1,0,-18.106,70.66,1
12.5,2.5,45,21,1,2,1,0,-18.106,70.66,1
12.5,2.5,45,42,1,2,1,0,-18.106,70.66,1
12.5,2.5,45,63,1,2,1,0,-18.106,70.66,1
12.5,2.5,45,90,1,2,1,0,-18.106,70.66,1
12.5,3.5,21,21,1,2,1,0,-18.106,70.66,1
12.5,3.5,21,42,1,2,1,0,-18.106,70.66,1
12.5,3.5,21,63,1,2,1,0,-18.106,70.66,1
10.0,6.0,45,90,2,2,2,0,-18.106,70.66,1
10.0,7.5,21,21,1,2,1,0,-18.106,70.66,1
10.0,7.5,21,42,1,2,1,0,-18.106,70.66,1
10.0,7.5,21,63,1,2,1,0,-18.106,70.66,1
10.0,7.5,21,90,1,2,1,0,-18.106,70.66,1
10.0,7.5,30,21,1,2,1,0,-18.106,70.66,1
10.0,7.5,30,42,1,2,1,0,-18.106,70.66,1
10.0,7.5,30,63,1,2,1,0,-18.106,70.66,1
10.0,7.5,30,90,1,2,1,0,-18.106,70.66,1
10.0,7.5,45,21,2,2,2,0,-18.106,70.66,1
10.0,7.5,45,42,2,2,2,0,-18.106,70.66,1
10.0,7.5,45,63,2,2,2,0,-18.106,70.66,1
10.0,3.5,45,21,2,2,2,0,-18.106,70.66,1
10.0,3.5,45,42,2,2,2,0,-18.106,70.66,1
10.0,3.5,45,63,2,2,2,0,-18.106,70.66,1
10.0,2.5,21,21,1,2,1,0,-18.106,70.66,1
10.0,2.5,21,42,1,2,1,0,-18.106,70.66,1
10.0,2.5,21,63,1,2,1,0,-18.106,70.66,1
12.5,2.5,21,42,1,2,1,0,-18.106,70.66,1
12.5,2.5,21,63,1,2,1,0,-18.106,70.66,1
10.0,2.5,30,21,1,2,1,0,-18.106,70.66,1
10.0,2.5,21,90,1,2,1,0,-18.106,70.66,1
10.0,2.5,30,42,1,2,1,0,-18.106,70.66,1
10.0,2.5,30,63,1,2,1,0,-18.106,70.66,1
10.0,6.0,45,42,2,2,2,0,-18.106,70.66,1
10.0,6.0,45,63,2,2,2,0,-18.106,70.66,1
10.0,6.0,30,90,1,2,1,0,-18.106,70.66,1
10.0,6.0,45,21,2,2,2,0,-18.106,70.66,1
10.0,5.0,21,63,1,2,1,0,-18.106,70.66,1
10.0,2.5,30,90,1,2,1,0,-18.106,70.66,1
10.0,2.5,45,21,2,2,2,0,-18.106,70.66,1
10.0,2.5,45,42,2,2,2,0,-18.106,70.66,1
10.0,2.5,45,63,2,2,2,0,-18.106,70.66,1
10.0,2.5,45,90,2,2,2,0,-18.106,70.66,1
10.0,5.0,21,21,1,2,1,0,-18.106,70.66,1
10.0,5.0,21,42,1,2,1,0,-18.106,70.66,1
10.0,3.5,21,63,1,2,1,0,-18.106,70.66,1
10.0,3.5,21,90,1,2,1,0,-18.106,70.66,1
10.0,3.5,30,21,1,2,1,0,-18.106,70.66,1
10.0,3.5,30,42,1,2,1,0,-18.106,70.66,1
10.0,3.5,30,63,1,2,1,0,-18.106,70.66,1
10.0,3.5,30,90,1,2,1,0,-18.106,70.66,1
10.0,6.0,30,21,1,2,1,0,-18.106,70.66,1
10.0,6.0,30,42,1,2,1,0,-18.106,70.66,1
10.0,6.0,30,63,1,2,1,0,-18.106,70.66,1
10.0,3.5,45,90,2,2,2,0,-18.106,70.66,1
10.0,3.75,21,21,1,2,1,0,-18.106,70.66,1
10.0,3.75,21,42,1,2,1,0,-18.106,70.66,1
10.0,3.75,21,63,1,2,1,0,-18.106,70.66,1
10.0,5.0,30,90,1,2,1,0,-18.106,70.66,1
10.0,3.5,21,21,1,2,1,0,-18.106,70.66,1
10.0,3.5,21,42,1,2,1,0,-18.106,70.66,1
10.0,5.0,45,42,2,2,2,0,-18.106,70.66,1
10.0,5.0,45,21,2,2,2,0,-18.106,70.66,1
10.0,5.0,45,63,2,2,2,0,-18.106,70.66,1
10.0,5.0,45,90,2,2,2,0,-18.106,70.66,1
10.0,6.0,21,63,1,2,1,0,-18.106,70.66,1
10.0,6.0,21,90,1,2,1,0,-18.106,70.66,1
10.0,6.0,21,21,1,2,1,0,-18.106,70.66,1
10.0,6.0,21,42,1,2,1,0,-18.106,70.66,1
15.0,3.75,30,42,1,2,1,0,-18.106,70.66,1
10.0,3.75,21,90,1,2,1,0,-18.106,70.66,1
10.0,3.75,30,21,1,2,1,0,-18.106,70.66,1
10.0,3.75,30,42,1,2,1,0,-18.106,70.66,1
10.0,3.75,30,63,1,2,1,0,-18.106,70.66,1
10.0,3.75,30,90,1,2,1,0,-18.106,70.66,1
15.0,3.5,45,90,1,2,1,0,-18.106,70.66,1
15.0,3.75,30,21,1,2,1,0,-18.106,70.66,1
10.0,3.75,45,42,2,2,2,0,-18.106,70.66,1
10.0,3.75,45,21,2,2,2,0,-18.106,70.66,1
10.0,3.75,45,90,2,2,2,0,-18.106,70.66,1
10.0,3.75,45,63,2,2,2,0,-18.106,70.66,1
15.0,5.0,45,90,1,2,1,0,-18.106,70.66,1
15.0,6.0,30,90,1,2,1,0,-18.106,70.66,1
15.0,6.0,45,21,1,2,1,0,-18.106,70.66,1
15.0,6.0,45,42,1,2,1,0,-18.106,70.66,1
15.0,7.5,45,90,1,2,1,0,-18.106,70.66,1
15.0,5.0,30,21,1,2,1,0,-18.106,70.66,1
15.0,5.0,30,42,1,2,1,0,-18.106,70.66,1
15.0,5.0,30,63,1,2,1,0,-18.106,70.66,1
15.0,5.0,30,90,1,2,1,0,-18.106,70.66,1
15.0,5.0,45,21,1,2,1,0,-18.106,70.66,1
15.0,5.0,45,42,1,2,1,0,-18.106,70.66,1
15.0,5.0,45,63,1,2,1,0,-18.106,70.66,1
7.5,3.75,45,90,3,5,3,0,-22.533,66.234,1
7.5,6.0,45,42,3,5,3,0,-22.533,66.234,1
7.5,6.0,45,63,3,5,3,0,-22.533,66.234,1
7.5,6.0,45,90,3,5,3,0,-22.533,66.234,1
7.0,3.5,30,63,3,5,3,0,-22.533,66.234,1
7.0,3.5,30,90,3,5,3,0,-22.533,66.234,1
7.0,5.0,30,90,3,5,3,0,-22.533,66.234,1
7.0,5.0,30,42,3,5,3,0,-22.533,66.234,1
7.0,5.0,30,63,3,5,3,0,-22.533,66.234,1
7.0,6.0,30,42,3,5,3,0,-22.533,66.234,1
7.0,6.0,30,63,3,5,3,0,-22.533,66.234,1
7.0,6.0,30,90,3,5,3,0,-22.533,66.234,1
7.0,3.75,30,90,3,5,3,0,-22.533,66.234,1
7.0,3.5,30,42,3,5,3,0,-22.533,66.234,1
7.5,2.5,45,90,3,5,3,0,-22.533,66.234,1
7.5,2.5,45,42,3,5,3,0,-22.533,66.234,1
7.5,2.5,45,63,3,5,3,0,-22.533,66.234,1
7.5,3.75,45,42,3,5,3,0,-22.533,66.234,1
7.5,3.75,45,63,3,5,3,0,-22.533,66.234,1
7.5,3.5,45,90,3,5,3,0,-22.533,66.234,1
7.5,3.5,45,63,3,5,3,0,-22.533,66.234,1
7.5,3.5,45,42,3,5,3,0,-22.533,66.234,1
7.5,5.0,45,90,3,5,3,0,-22.533,66.234,1
7.5,5.0,45,42,3,5,3,0,-22.533,66.234,1
7.5,5.0,45,63,3,5,3,0,-22.533,66.234,1
7.0,2.5,30,63,3,5,3,0,-22.533,66.234,1
7.0,2.5,30,90,3,5,3,0,-22.533,66.234,1
7.0,3.75,30,63,3,5,3,0,-22.533,66.234,1
7.0,3.75,30,42,3,5,3,0,-22.533,66.234,1
7.0,2.5,30,42,3,5,3,0,-22.533,66.234,1
5.0,3.5,21,42,6,8,6,0,-23.49,65.276,4
5.0,2.5,21,42,6,8,6,0,-23.49,65.276,4
5.0,3.75,21,42,6,8,6,0,-23.49,65.276,4
7.0,2.5,45,90,4,7,4,0,-23.916,64.85,2
7.0,6.0,45,90,4,7,4,0,-23.916,64.85,2
7.0,3.5,45,90,4,7,4,0,-23.916,64.85,2
7.0,3.75,45,90,4,7,4,0,-23.916,64.85,2
7.0,5.0,45,90,4,7,4,0,-23.916,64.85,2
5.0,3.75,30,42,9,11,9,0,-24.164,64.602,4
5.0,3.5,30,42,9,11,9,0,-24.164,64.602,4
5.0,2.5,30,42,9,11,9,0,-24.164,64.602,4
7.5,6.0,30,42,3,4,3,0,-25.616,63.15,1
7.5,6.0,30,63,3,4,3,0,-25.616,63.15,1
7.0,2.5,21,42,2,4,2,0,-25.616,63.15,1
7.0,3.5,21,42,2,4,2,0,-25.616,63.15,1
7.0,2.5,21,63,2,4,2,0,-25.616,63.15,1
7.0,2.5,21,90,2,4,2,0,-25.616,63.15,1
7.0,3.75,21,90,2,4,2,0,-25.616,63.15,1
7.5,3.5,21,63,2,4,2,0,-25.616,63.15,1
7.5,3.5,30,63,3,4,3,0,-25.616,63.15,1
7.5,2.5,21,90,2,4,2,0,-25.616,63.15,1
7.5,6.0,21,90,2,4,2,0,-25.616,63.15,1
7.5,5.0,30,42,3,4,3,0,-25.616,63.15,1
7.5,6.0,30,90,3,4,3,0,-25.616,63.15,1
7.5,5.0,21,90,2,4,2,0,-25.616,63.15,1
7.5,5.0,21,63,2,4,2,0,-25.616,63.15,1
7.5,5.0,21,42,2,4,2,0,-25.616,63.15,1
7.0,5.0,21,90,2,4,2,0,-25.616,63.15,1
7.0,3.5,21,63,2,4,2,0,-25.616,63.15,1
7.5,3.5,21,90,2,4,2,0,-25.616,63.15,1
7.5,3.5,30,42,3,4,3,0,-25.616,63.15,1
7.5,3.5,21,42,2,4,2,0,-25.616,63.15,1
7.5,2.5,30,42,3,4,3,0,-25.616,63.15,1
7.5,2.5,30,63,3,4,3,0,-25.616,63.15,1
7.5,2.5,30,90,3,4,3,0,-25.616,63.15,1
7.5,3.75,30,90,3,4,3,0,-25.616,63.15,1
7.5,3.75,30,63,3,4,3,0,-25.616,63.15,1
7.5,6.0,21,42,2,4,2,0,-25.616,63.15,1
7.5,3.75,21,42,2,4,2,0,-25.616,63.15,1
7.5,3.75,21,63,2,4,2,0,-25.616,63.15,1
7.5,2.5,21,63,2,4,2,0,-25.616,63.15,1
7.0,6.0,21,90,2,4,2,0,-25.616,63.15,1
7.0,6.0,21,42,2,4,2,0,-25.616,63.15,1
7.0,3.75,21,63,2,4,2,0,-25.616,63.15,1
7.0,3.75,21,42,2,4,2,0,-25.616,63.15,1
7.0,3.5,21,90,2,4,2,0,-25.616,63.15,1
7.0,5.0,21,63,2,4,2,0,-25.616,63.15,1
7.5,2.5,21,42,2,4,2,0,-25.616,63.15,1
7.0,6.0,21,63,2,4,2,0,-25.616,63.15,1
7.0,5.0,21,42,2,4,2,0,-25.616,63.15,1
7.5,5.0,30,90,3,4,3,0,-25.616,63.15,1
7.5,3.5,30,90,3,4,3,0,-25.616,63.15,1
7.5,6.0,21,63,2,4,2,0,-25.616,63.15,1
7.5,3.75,21,90,2,4,2,0,-25.616,63.15,1
7.5,3.75,30,42,3,4,3,0,-25.616,63.15,1
7.5,5.0,30,63,3,4,3,0,-25.616,63.15,1
7.0,3.5,45,42,4,6,4,0,-25.645,63.122,2
7.0,3.5,45,63,4,6,4,0,-25.645,63.122,2
7.0,3.75,45,42,4,6,4,0,-25.645,63.122,2
7.0,2.5,45,42,4,6,4,0,-25.645,63.122,2
7.0,6.0,45,42,4,6,4,0,-25.645,63.122,2
7.0,5.0,45,42,4,6,4,0,-25.645,63.122,2
7.0,5.0,45,63,4,6,4,0,-25.645,63.122,2
7.0,6.0,45,63,4,6,4,0,-25.645,63.122,2
7.0,2.5,45,63,4,6,4,0,-25.645,63.122,2
7.0,3.75,45,63,4,6,4,0,-25.645,63.122,2
5.0,3.75,21,90,6,12,6,0,-27.958,60.809,4
5.0,3.5,21,90,6,12,6,0,-27.958,60.809,4
5.0,2.5,21,90,6,12,6,0,-27.958,60.809,4
6.0,5.0,30,90,5,10,5,0,-29.519,59.247,3
6.0,3.75,21,90,5,10,5,0,-29.519,59.247,3
6.0,3.5,21,90,5,10,5,0,-29.519,59.247,3
6.0,3.5,30,90,5,10,5,0,-29.519,59.247,3
6.0,3.75,30,90,5,10,5,0,-29.519,59.247,3
6.0,5.0,21,90,5,10,5,0,-29.519,59.247,3
6.0,2.5,21,90,5,10,5,0,-29.519,59.247,3
6.0,2.5,30,90,5,10,5,0,-29.519,59.247,3
6.0,3.75,30,42,6,8,6,0,-32.62,56.146,3
6.0,3.5,30,42,6,8,6,0,-32.62,56.146,3
6.0,5.0,30,63,6,9,6,0,-32.62,56.146,3
6.0,5.0,30,42,6,8,6,0,-32.62,56.146,3
6.0,3.5,30,63,6,9,6,0,-32.62,56.146,3
6.0,2.5,30,42,6,8,6,0,-32.62,56.146,3
6.0,3.75,30,63,6,9,6,0,-32.62,56.146,3
6.0,2.5,30,63,6,9,6,0,-32.62,56.146,3
5.0,3.75,30,63,9,15,9,0,-33.66,55.106,4
5.0,3.5,30,63,9,15,9,0,-33.66,55.106,4
5.0,2.5,30,63,9,15,9,0,-33.66,55.106,4
5.0,3.5,21,63,6,10,6,0,-34.141,54.625,4
5.0,2.5,21,63,6,10,6,0,-34.141,54.625,4
5.0,3.75,21,63,6,10,6,0,-34.141,54.625,4
6.0,5.0,21,42,5,7,5,0,-35.703,53.063,3
6.0,3.75,21,42,5,7,5,0,-35.703,53.063,3
6.0,3.5,21,42,5,7,5,0,-35.703,53.063,3
6.0,3.75,21,63,5,8,5,0,-35.703,53.063,3
6.0,3.5,21,63,5,8,5,0,-35.703,53.063,3
6.0,2.5,21,63,5,8,5,0,-35.703,53.063,3
6.0,2.5,21,42,5,7,5,0,-35.703,53.063,3
6.0,5.0,21,63,5,8,5,0,-35.703,53.063,3
5.0,3.75,30,90,8,17,8,0,-35.872,52.894,4
5.0,3.5,30,90,8,17,8,0,-35.872,52.894,4
5.0,2.5,30,90,8,17,8,0,-35.872,52.894,4
6.0,5.0,45,90,8,23,8,0,-39.543,49.223,4
6.0,2.5,45,90,8,23,8,0,-39.543,49.223,4
6.0,3.5,45,90,8,23,8,0,-39.543,49.223,4
6.0,3.75,45,90,8,23,8,0,-39.543,49.223,4
5.0,2.5,45,42,16,22,16,0,-39.661,49.105,8
5.0,3.75,45,42,16,22,16,0,-39.661,49.105,8
5.0,3.5,45,42,16,22,16,0,-39.661,49.105,8
5.0,3.75,45,63,13,25,13,0,-41.081,47.685,6
5.0,2.5,45,63,13,25,13,0,-41.081,47.685,6
5.0,3.5,45,63,13,25,13,0,-41.081,47.685,6
6.0,5.0,45,42,11,19,11,0,-42.073,46.693,5
6.0,3.75,45,42,11,19,11,0,-42.073,46.693,5
6.0,3.5,45,42,11,19,11,0,-42.073,46.693,5
6.0,2.5,45,42,11,19,11,0,-42.073,46.693,5
6.0,3.5,45,63,10,21,10,0,-43.758,45.008,5
6.0,5.0,45,63,10,21,10,0,-43.758,45.008,5
6.0,3.75,45,63,10,21,10,0,-43.758,45.008,5
6.0,2.5,45,63,10,21,10,0,-43.758,45.008,5
5.0,2.5,45,90,11,30,11,0,-45.291,43.475,6
5.0,3.75,45,90,11,30,11,0,-45.291,43.475,6
5.0,3.5,45,90,11,30,11,0,-45.291,43.475,6
