symbol,close_time,open_time,weighted_pnl,exit_reason,cum_wpnl_at_close,dd_30d_at_close,brake_state_before,brake_state_after,brake_fired,brake_off_reason
BCHUSDT,1662739199999,1662710399999,-2.0137,stop_loss,2.6057999999999995,3.7153,False,False,False,
BCHUSDT,1664351999999,1663977599999,3.0204,take_profit,5.626199999999999,0.6949000000000005,False,False,False,
TRXUSDT,1665676799999,1665619199999,2.3308,take_profit,8.1521,0.0,False,False,False,
BCHUSDT,1667462399999,1667404799999,-0.9572,stop_loss,4.668999999999999,0.9572000000000003,False,False,False,
BCHUSDT,1667779199999,1667606399999,3.009,take_profit,7.677999999999999,0.0,False,False,False,
BCHUSDT,1668038399999,1667951999999,9.1898,take_profit,16.8678,0.0,False,False,False,
BCHUSDT,1668988800000,1668383999999,0.0,timeout,16.8678,0.0,False,False,False,
TRXUSDT,1669046400000,1668441599999,0.0,timeout,8.1521,0.0,False,False,False,
BCHUSDT,1669363199999,1669247999999,-0.6121,no_confirm,16.255699999999997,0.6121000000000016,False,False,False,
TRXUSDT,1669795200000,1669190399999,3.8323,timeout,11.9844,0.0,False,False,False,
BCHUSDT,1670112000000,1669507199999,1.0564,timeout,17.312099999999997,0.0,False,False,False,
BCHUSDT,1673539199999,1673510399999,-0.6653,stop_loss,16.6468,0.6652999999999984,False,False,False,
TRXUSDT,1674086399999,1673798399999,0.0,take_profit,11.9844,0.0,False,False,False,
BCHUSDT,1674086399999,1673942399999,0.0,take_profit,16.6468,0.0,False,False,False,
BCHUSDT,1674259199999,1674230399999,0.0,stop_loss,16.6468,0.0,False,False,False,
TRXUSDT,1674691199999,1674604799999,0.0,stop_loss,11.9844,0.0,False,False,False,
BCHUSDT,1674691199999,1674604799999,0.0,stop_loss,16.6468,0.0,False,False,False,
TRXUSDT,1674863999999,1674835199999,0.0,stop_loss,11.9844,0.0,False,False,False,
BCHUSDT,1675324799999,1674835199999,0.0,stop_loss,16.6468,0.0,False,False,False,
TRXUSDT,1675382399999,1675065599999,-1.7429,stop_loss,10.2415,1.7429000000000006,False,False,False,
TRXUSDT,1675814399999,1675612799999,-1.4811,stop_loss,8.7604,3.224,False,False,False,
TRXUSDT,1675987199999,1675958399999,4.8606,take_profit,13.621,0.0,False,False,False,
BCHUSDT,1676188799999,1676073599999,0.1263,no_confirm,16.7731,0.0,False,False,False,
TRXUSDT,1676447999999,1676361599999,-2.186,stop_loss,11.435,2.186,False,False,False,
BCHUSDT,1676505599999,1676332799999,3.4666,take_profit,20.2397,0.0,False,False,False,
TRXUSDT,1676678399999,1676649599999,-2.4591,stop_loss,8.975900000000001,4.645099999999999,False,False,False,
BCHUSDT,1676822399999,1676735999999,-1.8475,stop_loss,18.3922,1.8475000000000001,False,False,False,
TRXUSDT,1676879999999,1676822399999,-2.006,stop_loss,6.969900000000001,6.6511,False,False,False,
BCHUSDT,1677254399999,1676995199999,6.6833,take_profit,25.075499999999998,0.0,False,False,False,
TRXUSDT,1677628800000,1677023999999,0.4602,timeout,7.430100000000001,6.190899999999999,False,False,False,
BCHUSDT,1677830399999,1677398399999,-2.7065,stop_loss,22.369,2.7064999999999984,False,False,False,
BCHUSDT,1678665599999,1678463999999,3.5832,take_profit,25.9522,0.0,False,False,False,
TRXUSDT,1678809599999,1678780799999,-3.1002,stop_loss,4.329900000000001,9.2911,False,True,False,
BCHUSDT,1679097599999,1679011199999,5.7744,take_profit,31.7266,0.0,False,False,False,
TRXUSDT,1679097599999,1678953599999,-3.0837,stop_loss,4.329900000000001,9.2911,True,True,True,
BCHUSDT,1679356799999,1679241599999,-2.4598,stop_loss,29.2668,2.4598000000000013,False,False,False,
BCHUSDT,1679529599999,1679500799999,-3.0279,stop_loss,26.2389,5.4877,False,False,False,
BCHUSDT,1680537599999,1679990399999,2.788,take_profit,29.0269,2.6997,False,False,False,
TRXUSDT,1684166399999,1683935999999,-0.9075,stop_loss,3.4224000000000014,0.0,False,False,False,
TRXUSDT,1687046400000,1686441599999,2.8635,timeout,6.285900000000002,0.0,False,False,False,
TRXUSDT,1688745599999,1688659199999,-0.6873,stop_loss,5.598600000000001,0.6873000000000005,False,False,False,
TRXUSDT,1689004799999,1688918399999,1.059,take_profit,6.657600000000001,0.0,False,False,False,
TRXUSDT,1690012799999,1689407999999,-1.2017,stop_loss,5.4559000000000015,1.2016999999999998,False,False,False,
BCHUSDT,1693468799999,1693411199999,-1.7251,stop_loss,27.3018,0.0,False,False,False,
TRXUSDT,1694764799999,1694707199999,-0.9743,stop_loss,4.481600000000001,0.0,False,False,False,
BCHUSDT,1694851199999,1694793599999,-2.1667,stop_loss,25.1351,2.1666999999999987,False,False,False,
BCHUSDT,1695743999999,1695340799999,-1.1152,stop_loss,24.0199,3.2819000000000003,False,False,False,
BCHUSDT,1696262399999,1695945599999,-2.2529,stop_loss,21.767,5.534800000000001,False,False,False,
TRXUSDT,1696809599999,1696694399999,-0.2707,no_confirm,4.210900000000001,0.2706999999999997,False,False,False,
TRXUSDT,1697126399999,1697011199999,-1.0679,stop_loss,3.1430000000000016,1.3385999999999996,False,False,False,
BCHUSDT,1697443199999,1697039999999,3.132,take_profit,24.899,0.23610000000000042,False,False,False,
TRXUSDT,1698105599999,1697817599999,-0.704,stop_loss,2.439000000000002,2.0425999999999993,False,False,False,
BCHUSDT,1698451199999,1698134399999,0.0,take_profit,24.899,0.23610000000000042,False,False,False,
TRXUSDT,1698623999999,1698249599999,0.0,stop_loss,2.439000000000002,2.0425999999999993,False,False,False,
TRXUSDT,1698796799999,1698767999999,0.0,stop_loss,2.439000000000002,1.7718999999999996,False,False,False,
TRXUSDT,1699372799999,1699055999999,-1.4394,stop_loss,0.9996000000000018,3.2112999999999996,False,False,False,
TRXUSDT,1699574399999,1699516799999,-1.4333,stop_loss,-0.4336999999999982,4.6446,False,False,False,
BCHUSDT,1700236799999,1700179199999,-2.4237,stop_loss,22.4753,2.4237,False,False,False,
TRXUSDT,1700582399999,1700006399999,-2.0988,stop_loss,-2.5324999999999984,6.743399999999999,False,False,False,
TRXUSDT,1700899199999,1700726399999,3.5598,take_profit,1.0273000000000017,2.1157,False,False,False,
TRXUSDT,1701100799999,1701071999999,-1.4692,stop_loss,-0.4418999999999984,2.8809000000000005,False,False,False,
BCHUSDT,1702137599999,1701993599999,5.0013,take_profit,27.4766,0.0,False,False,False,
TRXUSDT,1702339199999,1702310399999,-1.7626,stop_loss,-2.2044999999999986,4.6435,False,False,False,
TRXUSDT,1702684799999,1702483199999,-1.5227,stop_loss,-3.7271999999999985,6.1662,False,False,False,
TRXUSDT,1702886399999,1702828799999,-1.0975,stop_loss,-4.824699999999998,5.852,False,False,False,
TRXUSDT,1703174399999,1703030399999,1.8338,take_profit,-2.990899999999998,4.0182,False,False,False,
BCHUSDT,1703260799999,1702771199999,-1.3799,stop_loss,26.096700000000002,1.3798999999999992,False,False,False,
BCHUSDT,1703923199999,1703894399999,-4.0338,stop_loss,22.062900000000003,5.413699999999999,False,False,False,
TRXUSDT,1704067199999,1703692799999,1.9246,take_profit,-1.066299999999998,2.0935999999999995,False,False,False,
BCHUSDT,1704182399999,1704067199999,-4.3499,stop_loss,17.713,9.7636,False,True,False,
TRXUSDT,1704671999999,1704556799999,-1.1559,no_confirm,-2.222199999999998,3.2495,False,False,False,
BCHUSDT,1704700799999,1704326399999,-5.4064,stop_loss,17.713,9.7636,True,True,True,
BCHUSDT,1704988799999,1704873599999,7.4546,take_profit,25.1676,2.309000000000001,False,False,False,
BCHUSDT,1705651199999,1705132799999,10.6517,take_profit,35.8193,0.0,False,False,False,
TRXUSDT,1706457599999,1706342399999,1.2631,take_profit,-0.9590999999999983,0.0,False,False,False,
TRXUSDT,1707119999999,1706860799999,-0.7233,stop_loss,-1.6823999999999983,0.7233,False,False,False,
TRXUSDT,1707292799999,1707263999999,-1.3904,stop_loss,-3.072799999999998,2.1136999999999997,False,False,False,
TRXUSDT,1707551999999,1707436799999,-1.7734,stop_loss,-4.846199999999998,3.8870999999999993,False,False,False,
TRXUSDT,1707811199999,1707695999999,-0.5428,stop_loss,-5.388999999999998,4.429899999999999,False,False,False,
BCHUSDT,1708444799999,1708099199999,0.0,take_profit,35.8193,0.0,False,False,False,
BCHUSDT,1708876799999,1708761599999,-0.1799,no_confirm,35.639399999999995,0.1799000000000035,False,False,False,
BCHUSDT,1709135999999,1709049599999,0.0,stop_loss,35.639399999999995,0.1799000000000035,False,False,False,
BCHUSDT,1709366399999,1709279999999,0.0,stop_loss,35.639399999999995,0.1799000000000035,False,False,False,
TRXUSDT,1709452799999,1709279999999,-0.9382,stop_loss,-6.327199999999998,5.368099999999999,False,False,False,
