score,hold,dg,sh1,sh2,worst,med,dd2,turn,edge,tr,vol,L,S,G,h1,h2
blend_kl,9,0.5,0.6321070483925301,-0.06273845841621994,-1.1195111495461576,-0.10637538090058068,0.23835848640015656,106.40212792178035,14.330983117542615,25006,0.11488210127166854,0.5946652024927359,0.009007142147262628,-26.545393376613223,1.1776484944081589,0.04194925612539972
blend_kl,12,0.2,0.4126834743305436,-0.2568008057528566,-1.16906725745409,-0.08191421432565842,0.2793229281842813,102.3517653744531,12.123094407096476,40516,0.114624263358049,0.4837005865991799,0.007528198403837311,-30.843039716126746,0.7751591078494207,0.034835176079034975
blend_kl,12,0.35,0.6400356494244771,-0.01114330666935467,-1.1773447429444925,0.23706604727042535,0.24659298777699634,98.3172549806536,14.893004813077491,35379,0.11325255811020829,0.4767147209588551,0.10296359770229879,-22.652610613861075,1.0554468857379034,0.2053481950599272
blend_kl,12,0.5,0.6972766171645476,0.0788461199145616,-1.0411136670898014,0.35909694515635804,0.24259876624990484,93.903244680712,15.97634049053693,30266,0.11390695847523791,0.5085039225151049,0.08542283192809906,-15.243582193623435,0.9373203349931525,0.44287729712099505
blend_kl,15,0.2,0.30399237280414165,-0.29397253968171944,-1.3846140531145605,-0.06964875670018635,0.3077548421298907,92.89474899371443,11.296860405740398,45796,0.11653393528651758,0.46941248253588574,-0.05395755868301687,-34.32082999005401,0.627684295966157,-0.04065324810204452
blend_kl,15,0.35,0.39815764686552785,-0.17518666981340367,-1.2735483189681949,-0.024003373514022014,0.28203715605330304,88.864921080861,12.701511900252145,40407,0.116276548212153,0.4096479347395597,0.03720103568262978,-31.324575822021288,0.8136507583967084,-0.04079534712423639
blend_kl,15,0.5,0.4939997967019921,-0.055752637926672066,-1.4357227751743367,0.20262469996560284,0.2738562228057275,86.0374231990268,14.231488904973073,34990,0.11740382889459203,0.37873048601463516,0.10601381964353382,-25.114553569793692,0.878818435281403,0.09375034163456505
blend_kl,18,0.2,0.14879508027937755,-0.3967796797277262,-1.2633621964692041,-0.2688596969470635,0.32087970121513876,84.88286995010189,9.535663008829326,50360,0.11671414003147956,0.4825160475637395,-0.16207663106208733,-35.911936936264375,0.3733138796046613,-0.09848935887437876
blend_kl,18,0.35,0.17597950072536636,-0.3541250963139959,-1.348020495817365,-0.19719191912409295,0.30209324796022485,82.03071776499715,9.993544979442396,44855,0.11609571923871105,0.46162125246308827,-0.1370791347101455,-35.9830303124503,0.6168361433031049,-0.2950999831062277
blend_kl,18,0.5,0.20087820202084217,-0.3117981119929974,-1.4998232742372921,-0.19624466671854374,0.3114619641529124,79.33508103322355,10.454995827484227,39273,0.1160809210029816,0.449268088505793,-0.12089760220481706,-36.14345750481188,0.5378962992621942,-0.16461919426389032
blend_kl,24,0.2,-0.14955422991989314,-0.6132369456542442,-2.3259545970223305,-0.32202430679692196,0.3826570456339944,73.93036649072322,5.032451778141998,57873,0.11961413980314006,0.34652832526217014,-0.19923690027021865,-43.91683253809387,0.471351533431821,-0.8734441099411899
blend_kl,24,0.35,-0.21605611060516147,-0.6672068949608033,-2.27917405695355,-0.5472689593397784,0.3971907168025398,71.92338984469966,3.865636428586291,52429,0.11959004059034993,0.3526522273997684,-0.24258294476831183,-46.91041217625916,0.44897941430763516,-0.9668102682111536
blend_kl,24,0.5,-0.20788211275742882,-0.640921495513547,-2.5981638453210962,-0.21562878779589875,0.4161109091862716,70.16680614424797,3.837952777125448,46638,0.1214657838219895,0.32209779564301994,-0.2154857397834785,-45.07824641643599,0.3722799222985378,-0.8876025445665553
