G,G_eff,compliance,sh1,sh2,sh3,worst,median,dd2,dd1,cal2,posq2,vol,turn,edge,costsh,trades,L,S,fund,folds,fails,ks,kl,hold,dg,n,h1,h2
-38.62128988923438,-13.272666123193034,0.34366190671670876,-0.08631763558579178,-0.4127722172184886,-0.7384705979291751,-1.478555494110678,-0.2841936280809748,0.3527059210817717,0.2802250690559477,-0.1569085744251264,0.35294117647058826,0.12029088293265891,52.3770167010833,5.370858159355212,0.035693138946436706,1573,0.20435031306458723,-0.09298256861132631,0.051567226554707954,"[0.43, -0.22, -0.35, -1.48]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,21,9,0.4,1,0.41278440791512305,-0.5996269656600883
-7.297467357220041,-4.019509642465879,0.5508088554159843,0.3891711817238188,-0.08257322550288691,-0.5522659446040282,-0.17247370788559324,-0.12501923545260277,0.20479230936161064,0.1474315637448722,-0.08599919720201614,0.4117647058823529,0.12306160472803583,77.41160099122853,13.628712396787568,0.04673278009407291,3033,0.35864920090589003,0.05902327706448121,0.05957950334109674,"[0.05, -0.1, -0.17, -0.15]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge']",2,21,9,0.4,2,0.3997620874457006,0.37985200181632706
4.391941093788443,3.8805139323256217,0.8835532739302591,0.6247368652415127,0.36218751301921615,0.10037454864969565,-0.9725601535675263,0.6243931390758755,0.17716611539669525,0.14563296337906595,0.20653156486908045,0.5882352941176471,0.11826507345094084,41.31762345414515,25.344055666754066,0.026219865818517638,1308,0.261819361106222,0.15273971699612476,0.08582407889183469,"[1.34, 0.51, -0.97, 0.74]","['net_sharpe', 'dbl_sharpe', 'turnover', 'gross_edge']",2,21,12,0.2,1,1.1919406447447771,0.13311064259648586
-35.40867402201837,-13.353921579286041,0.3771370136871576,0.02784138190863366,-0.3291260344900883,-0.6835508113768324,-1.2500614680849675,-0.2799533320739908,0.3304852655558411,0.2393963522567658,-0.1422554253689167,0.4117647058823529,0.12289785544018716,58.62367451929065,8.05251135522362,0.034827444262087316,2495,0.19133918922482337,-0.004452072001275786,0.07534121642391407,"[0.07, -0.63, -1.25, 0.22]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,21,12,0.2,2,0.1026954109610975,-0.048330728514328826
7.900658875718539,5.888932455697351,0.7453723225281982,0.4279126866401883,0.15903772721872847,-0.10902061131777724,-0.39624542951168945,0.2273810957840025,0.1376088618433502,0.11686763700344749,0.08576927884180154,0.6470588235294118,0.11502207268358758,41.21105204319136,19.41263847426157,0.026776990485831917,1264,0.060669656984608314,0.2560487108763408,0.10920327675458695,"[0.51, -0.4, 0.2, 0.25]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'turnover', 'gross_edge']",2,21,12,0.3,1,0.33410175675923515,0.5142560566169068
17.21933752633806,15.037832966761407,0.8733107730631389,0.9329784661748649,0.5814958333161057,0.2308467107919171,-0.3644104259775569,0.4406183396205895,0.13610676889647333,0.11562585704748396,0.4814667372128185,0.5882352941176471,0.12167613312145346,56.88818205706283,27.45493532616555,0.033009593222269956,2438,0.35165014539339046,0.26667578996104746,0.09046542059507756,"[1.03, -0.36, -0.15, 1.56]","['pos_folds', 'turnover', 'gross_edge']",2,21,12,0.3,2,0.7301559389476452,1.1597899871710846
-31.971873095082657,-12.492762043987405,0.39074226295202014,-0.049575325871490765,-0.27864693083877035,-0.5071029673302213,-1.0474473247559681,-0.4627397750546114,0.2655969231716996,0.23439339525535652,-0.1432934399155798,0.4117647058823529,0.11531546296538157,35.25082104830799,6.253957079009905,0.0248737109784398,1218,0.21830869608119394,-0.13103183551873182,0.06644535067931774,"[0.78, -0.88, -0.05, -1.05]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,21,12,0.4,1,0.2429138079783463,-0.3449538739915805
-2.188384739138563,-1.6328351592397068,0.7461371531417538,0.6530570858586496,0.32567090981843994,-0.0008837494334950691,-0.262276358599854,0.055696612710264146,0.20922653216954246,0.1709223912401453,0.15672801782445497,0.5882352941176471,0.12159591077627697,53.0111626551489,22.61812588863764,0.032447096140104874,2351,0.42326550696102616,0.051412301910688865,0.05851544555640762,"[1.22, 0.28, -0.26, -0.17]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'pos_folds', 'turnover', 'gross_edge']",2,21,12,0.4,2,1.1142824966964693,0.14064268122463888
-33.07873818340455,-14.691855097072592,0.44414799064020605,0.15138985325826487,-0.3056220338558462,-0.761635898692609,-1.4573430278206176,-0.400471370422518,0.23169675463092887,0.17029718729862287,-0.18387006257879224,0.35294117647058826,0.11921744718547243,72.64993685974022,10.054129136660547,0.04732586815136279,2482,0.30357501856694463,-0.014404054497245633,0.09357036878751872,"[-0.17, -0.63, 0.87, -1.46]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,24,6,0.2,1,0.03688121907054154,0.26774676397293
-29.529256033090768,-14.656297013705203,0.4963314008751597,0.3867777585107678,-0.2549518616562606,-0.893656303844769,-1.2099660625067314,-0.3629741102013262,0.2118144640240982,0.15175438936625618,-0.1722777213322437,0.29411764705882354,0.11823962679337274,101.19740485531474,12.08677386287801,0.06020331692490178,4719,0.5422503956254691,-0.058016980870768585,0.09608963218908508,"[0.24, -1.21, 0.74, -0.97]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,24,6,0.2,2,0.21606279553481594,0.5831896484894488
0.511484904349072,0.3728676952643745,0.7289906155468946,0.5985500817432339,0.1463113367094066,-0.3049416882779046,-0.21680877355320605,0.19932850762073895,0.1938141527717766,0.156631248735572,0.053851156603133166,0.47058823529411764,0.11982494817292048,72.23142245149084,17.442709060470904,0.04799411803902674,2371,0.4472712804188229,0.05151567505829725,0.09360392341370355,"[0.12, -0.22, 0.28, 0.39]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'turnover', 'gross_edge']",2,24,6,0.3,1,0.3827828733575576,0.8097526653766547
-5.486669934731742,-4.1520175511872,0.7567463690323487,0.8380762269455085,0.20102517282814836,-0.4329059270626524,-0.745118451428537,0.43914495592250813,0.20654354540601239,0.14384703091990636,0.08219861526044644,0.47058823529411764,0.11843905391159097,100.55874469545046,17.426098070569456,0.0601316160775155,4545,0.5942131190391484,0.09952407556195236,0.10846449543491032,"[0.45, -0.75, 0.57, 0.43]","['dbl_sharpe', 'tri_sharpe', 'turnover', 'gross_edge']",2,24,6,0.3,2,0.5072758252594127,1.2298706426650823
-21.253043688277,-10.54186358483449,0.4960166524594919,0.3516288461118172,-0.07710949818557145,-0.505678319934201,-0.9517579335313913,-0.034521778741094994,0.20886802782015013,0.1668992817068231,-0.07796345628830892,0.4117647058823529,0.11992996476944792,68.51891828090292,13.680550306678288,0.04822427766304773,2221,0.4480475540937382,-0.07694918292002652,0.08237890471772755,"[0.29, -0.95, 0.69, -0.36]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,24,6,0.4,1,0.08742900903757883,0.6180369952712184
-24.804308535991648,-12.920797685395362,0.5209094084056798,0.5899082764562704,-0.024362619729095602,-0.6376885787017753,-1.3476485727574687,-0.010415296204214358,0.2256306300213976,0.17379125265769146,-0.04648768714982814,0.47058823529411764,0.12302181438077206,100.71853748732485,14.710811881473326,0.06298441208691923,4299,0.5906140575847447,-0.004042452997810669,0.09488007405807296,"[1.01, -1.35, 0.38, -0.4]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,24,6,0.4,2,0.563951096132253,0.6201717156272645
-45.088524689511054,-16.235541333435684,0.3600814496645653,-0.28422663177849816,-0.5971970463347812,-0.9088481373378403,-2.282448926927598,-0.467695214629562,0.36698576498449964,0.3119815083774514,-0.20847091254676509,0.29411764705882354,0.12080352467307755,50.51716801558601,0.5756871589072828,0.033808762229314844,1690,0.22101426948435265,-0.20950095092950333,0.04927610514538034,"[0.35, 0.84, -1.29, -2.28]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,24,9,0.2,1,0.858075085120087,-1.4901260141977268
-48.111518772404224,-16.065266310577414,0.3339172555864547,-0.44073477977741016,-0.9022471294772128,-1.360374437677296,-2.378918880532731,-0.7692853673906085,0.40891553796536395,0.28740487494495237,-0.2692136491155932,0.35294117647058826,0.12090576682583268,74.59025424252526,0.30363957162310706,0.04554368016196597,3240,0.18376007184768584,-0.17479372695407266,0.06319685841185106,"[0.07, -0.44, -1.1, -2.38]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,24,9,0.2,2,0.2602128961984748,-1.2800340098413698
-35.823488087764474,-15.95582276704693,0.44540114932293956,-0.10656575878725595,-0.4323975467963138,-0.756685000232336,-1.2000015950320713,-0.47977965548028134,0.2600431752385183,0.20316441160873489,-0.2204794168614828,0.17647058823529413,0.11969131700558856,52.11692263182842,4.941930981261896,0.035071565213572846,1643,0.07873174480083452,0.023233090541704776,0.05699184235209112,"[0.05, 0.31, -1.01, -1.2]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge']",2,24,9,0.3,1,0.45429527884123283,-0.737930141590583
-50.053274685988605,-15.401007595688803,0.3076923076923077,-0.5996196506722878,-1.0702414001441458,-1.5371500392530522,-2.5302471058281695,-0.7744196601768385,0.44481392911849194,0.33705171863314987,-0.28790920190210234,0.29411764705882354,0.1209593256007127,76.10759906473193,-2.0639195025434773,0.04735465023021133,3143,0.04974178284393233,-0.11192823197053767,0.07282820399196197,"[-0.29, -0.88, -0.66, -2.53]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'turnover', 'gross_edge', 'short_pnl']",2,24,9,0.3,2,-0.14098005018252482,-1.1713773246673145
-12.871239442790035,-8.665978999534257,0.6732824012833201,0.4092975599656761,0.07780692126495029,-0.2533230276248845,-0.8215543115690009,-0.07461904140885164,0.16610638395907085,0.14401707232172167,0.014361334381064723,0.47058823529411764,0.11423774686908149,50.477370633599556,16.75075030117997,0.03441474210794073,1576,0.279997909481842,0.05474082648840889,0.08281812093163535,"[0.12, -0.82, 1.36, -0.27]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'pos_folds', 'turnover', 'gross_edge']",2,24,9,0.4,1,-0.017516081228781965,0.8801590641904581
