hold,cad,n,ph,sh1,sh2,worst,med,dd2,turn,edge,tr,L,S,G,h1,h2
12,4,1,0,1.1670615800718112,0.7727229354730436,-0.5942002375358255,0.765593565185684,0.1506345025627578,61.30298325812804,29.702555677522962,4821,0.6215897578384424,0.09926938465360022,22.82184561988755,2.167003805810623,0.12581196349784393
12,4,1,1,0.5569810070972618,0.1501351665695935,-1.0176068223011254,0.4332828783052895,0.16764948275387914,61.81257111884597,17.843440178613456,4717,0.3460795308455873,0.09056736839842056,-2.5616823733473852,1.0139160002830836,0.03935779164957725
12,4,1,2,0.4432329049176304,0.04641266298665262,-0.671334139978356,0.11772064031499566,0.2234557516834179,62.300969645387404,15.904560636407108,4747,0.3837077956711191,0.008567957460188534,-16.184907063098812,0.1419560899303798,0.7851336571661587
12,4,2,0,0.6444968053592127,0.10341860705759208,-0.8455820563875314,0.25689324657035606,0.2137892521352639,81.56587105351097,16.472333988269053,8525,0.5209288028011,0.010981742460328875,-10.565781375966209,1.1465541704946134,0.13625772256320734
12,4,2,1,-0.48376619679110217,-1.0102893028781181,-1.9625725259067228,-1.0204225147889572,0.41252120786683755,82.49616635578401,0.6142626979504487,8440,0.16865558945304238,-0.14859411298728512,-48.952500649464874,-0.2750629336002242,-0.7225952938690183
12,4,2,2,0.3257051414258265,-0.21754912072247307,-0.5697944881405382,-0.552689144679104,0.29044806476391993,85.19275158800596,11.966323159748757,8479,0.27352346021357554,0.13006464245904154,-28.994200433782602,-0.05986714213693833,0.7787735985221697
12,6,1,0,0.6318997274755,0.33472996899195967,0.012467511742203853,0.2577939387195442,0.11748844237319345,47.02790165859451,23.524917346070904,2523,0.4083700825241239,0.02961436589919475,26.308779930805702,0.4791767345633865,0.8292257315205058
12,6,1,1,0.1585371599172475,-0.14593784679612382,-0.9740666732257373,-0.07622415234731433,0.22998757254927404,50.67289184304036,11.259777923668643,2651,0.45600245463549344,-0.2301210408370214,-23.614301715676437,-0.18380848844907038,0.5739659118524797
12,6,1,2,1.0368335325390152,0.7573784719704133,0.28151384921401007,0.7132828593583228,0.16684770293305273,47.65426190477812,35.33555499593249,2588,0.6505355495315103,0.01610027236227301,40.1895697694496,1.326612716544797,0.7068702334247745
12,6,2,0,0.5022187602681554,0.03780605459796529,-0.5508992803305237,0.041893962084720376,0.16710374286300034,71.41057404530282,15.653583635685777,4637,0.3222088643333197,0.12032986533921272,-7.615442072359083,0.48779614757222833,0.5224816649079014
12,6,2,1,-0.7068953919293461,-1.131896055485881,-1.4623863691101353,-1.1796004032451184,0.4711164269089565,70.75024455498732,-5.037864914231271,4843,0.3361683381041609,-0.47727562645096955,-48.19884050017542,-0.7625847739499352,-0.6474652048364943
12,6,2,2,0.45254874466674955,-0.004092202924252996,-0.5575498142421302,0.08037598469715822,0.2240652158145141,70.39246358620063,14.949272279296482,4795,0.47546842910102916,-0.05886657400786972,-14.405037341738643,0.1606074139298146,0.7926056560932223
15,3,1,0,0.30264816263761585,-0.10017104784532257,-1.0501849715103895,-0.3143201774090324,0.22865773129272327,63.05139658453137,13.142037267141554,8189,0.2888969883915087,0.039147229769475225,-27.420659501294754,0.7896621676076007,-0.23721838289473132
15,3,1,1,-0.04873285538452616,-0.47270931981221354,-2.0730801273764277,-0.26416956037066985,0.3590989058797067,68.04553938454752,6.545957279047067,8721,0.3289385704917214,-0.15259979923139516,-42.664122177531276,0.25040274156771813,-0.36466920713740963
15,3,1,2,0.5084037804577187,0.081780950583075,-0.4649353932825609,0.1317809176470081,0.14602211487290895,66.74441216786634,16.420520243973183,8638,0.6285204359055889,-0.19463326649539459,-1.2286321146222738,0.705662540826645,0.2815779667246116
15,3,2,0,-0.2655137321714588,-0.8459796673034075,-1.6022379711017982,-1.2197736414436595,0.38971644533302474,86.29299980779555,4.088963636535998,13737,0.22476830475253728,-0.08507879356187044,-47.47242548393623,0.28537196668000847,-0.8804058033261618
15,3,2,1,-0.6611782379891233,-1.2118085284568643,-2.7574766673479276,-0.9374130728318985,0.48583220475492206,86.38239690472294,-1.5449935516577709,14420,0.252104493772107,-0.30494012548473964,-52.532189428375574,-0.013313230916293602,-1.361138558137037
15,3,2,2,0.1790213095351719,-0.36547730741439055,-0.5959107932757414,-0.5214164062283542,0.2299737378764023,84.89135305114476,9.933215142700993,14289,0.5378011007426601,-0.20396885790174224,-25.280459927068307,0.2660380172490142,0.07854864542948764
