G,G_eff,compliance,sh1,sh2,sh3,worst,median,dd2,dd1,cal2,posq2,vol,turn,edge,costsh,trades,L,S,fund,folds,fails,score,n,cad,rungs,ph
10.569780799935756,8.747805140426967,0.8276240828457045,0.4281919654331718,0.2685984147520909,0.10902290697736045,-0.11318681124961329,0.35873911828133803,0.18775950598161817,0.183252258258365,0.1306158467078738,0.5294117647058824,0.1146600239519413,24.396848469140124,27.467051627940506,0.014289707165065777,8356,0.3095366722600349,-0.04424674831865964,0.2255864103893353,"[0.42, 0.43, -0.11, 0.29]","['net_sharpe', 'dbl_sharpe', 'gross_edge', 'short_pnl']",LEVEL_21,6,9,3,7
-9.07415239138056,-5.0677398120150325,0.5584807917518362,0.16586359644788573,0.004916534838521864,-0.15588509611664128,-0.33541612836783297,-0.011978210315585417,0.2281309873782491,0.21965351683927614,-0.026424153088018706,0.5882352941176471,0.11491404596005464,24.662704882189868,15.056842434812124,0.014689428669467746,8388,0.2567422987596291,-0.10973137909864306,0.22051835486625576,"[0.02, 0.39, -0.34, -0.04]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'gross_edge', 'short_pnl']",LEVEL_21,6,9,3,8
29.151404323932592,26.496227181499346,0.9089176935378921,0.652744012794078,0.553528116464093,0.45434308834410864,0.09252386378908362,0.5943741337651831,0.15957903808840201,0.15636706267563294,0.36754656079166415,0.5294117647058824,0.1148493807673226,15.17603400130688,56.598968573756146,0.008857504998734415,9136,0.4011352588368565,-0.0610860329908149,0.19716507114715487,"[0.83, 0.09, 0.36, 0.84]","['net_sharpe', 'short_pnl']",LEVEL_21,6,9,7,0
23.566212730120323,20.972565824778624,0.8899421415293124,0.5447203827407581,0.4441736807275571,0.3437385388572494,0.0324471018996856,0.468617121620246,0.1568361801503142,0.1537056002536098,0.28803828029062595,0.5294117647058824,0.11405466486000042,15.254827703509948,47.98116615713016,0.00894765512872306,9151,0.40913767361710895,-0.11936789529929298,0.19860742247092156,"[0.73, 0.03, 0.51, 0.43]","['net_sharpe', 'dbl_sharpe', 'short_pnl']",LEVEL_21,6,9,7,1
37.7297573719337,34.275494262928724,0.9084472482832735,0.6478513821460442,0.5473485454326584,0.44693690493778493,0.31849725604272794,0.5754595685678133,0.152215575091166,0.14923713193173682,0.37423082664891694,0.5882352941176471,0.11276839969461448,15.06890428923636,55.872612977120646,0.008849939469914537,9186,0.342911245755593,-0.009595646342204722,0.19907086705013535,"[0.66, 0.32, 0.49, 0.68]","['net_sharpe', 'short_pnl']",LEVEL_21,6,9,7,2
24.62888745801945,22.247915722111767,0.9033260540101088,0.5979272980619582,0.49791478977698284,0.39782396516366425,0.10592478047733804,0.43666864341068035,0.16144219223949452,0.15881309531956855,0.3204821537621607,0.5294117647058824,0.11449142643682433,15.280864112044357,52.02802820586986,0.008945589647923252,9179,0.3486182014955542,-0.03387216972828612,0.1995236791586193,"[0.87, 0.11, 0.12, 0.75]","['net_sharpe', 'dbl_sharpe', 'short_pnl']",LEVEL_21,6,9,7,3
32.268288983790335,29.501042946065528,0.9142425543816437,0.7081225655690946,0.6085456200611441,0.5088855436754336,0.0806475788880321,0.6001537195564948,0.14927705592663199,0.14650058195023397,0.43660169446839725,0.5882352941176471,0.11454804754092499,15.222265610386607,60.498666397476015,0.008822307981114948,9140,0.37800074300763026,-0.013414665974447765,0.1995412381728755,"[1.01, 0.42, 0.08, 0.78]","['net_sharpe', 'short_pnl']",LEVEL_21,6,9,7,4
17.28205483062334,14.993645067654919,0.8675846254744302,0.455243721213739,0.3547727398252091,0.25429260757747996,0.08805585612004928,0.28417339286798826,0.17284407266735657,0.1701074107703051,0.19808473791308942,0.5294117647058824,0.11280750633521427,15.106543770107617,41.301488401260976,0.00892505883134292,9127,0.3288133668024924,-0.08180833594506007,0.20216830113452364,"[0.66, 0.09, 0.14, 0.43]","['net_sharpe', 'dbl_sharpe', 'short_pnl']",LEVEL_21,6,9,7,5
20.29869439988834,18.110883918738406,0.8922191527174295,0.5529437766497524,0.4538346322571961,0.35469740488714313,0.1547362929666602,0.379027560680204,0.17951721959644562,0.17627345165100083,0.2566651454094025,0.47058823529411764,0.11342509920375395,14.993115246146226,49.07710065510651,0.008835642329687114,9131,0.37308340888991165,-0.08177987062434579,0.19923757914520906,"[0.81, 0.15, 0.24, 0.51]","['net_sharpe', 'dbl_sharpe', 'short_pnl']",LEVEL_21,6,9,7,6
19.442431164888998,17.50239558156115,0.9002164098268045,0.5851192341229161,0.48570714254740643,0.386283273230194,0.04551332380370765,0.4510934657612065,0.17783161594907826,0.17452836158479135,0.28405726721742114,0.47058823529411764,0.11507314053142977,15.248604065695233,51.30101319263462,0.008953880764063194,9145,0.3637871961915648,-0.05409446429941504,0.20576288566650514,"[0.82, 0.08, 0.05, 0.87]","['net_sharpe', 'dbl_sharpe', 'short_pnl']",LEVEL_21,6,9,7,7
10.597365330424044,9.216858190343403,0.869731098529053,0.4629540048198476,0.3639058874264392,0.2649101191957316,-0.11925780793173774,0.3373557914966633,0.17809524547864852,0.1748463283494086,0.2006796040769804,0.47058823529411764,0.11447053288901118,15.10848786678255,42.25228914253573,0.008937197750011403,9198,0.38026497910405777,-0.12754113091262614,0.20061600967995008,"[0.79, -0.12, 0.16, 0.52]","['net_sharpe', 'dbl_sharpe', 'short_pnl']",LEVEL_21,6,9,7,8
-22.26447973696529,-12.359086086437923,0.5551032960324858,0.14560675498387138,-0.005329550863737228,-0.15610950196322582,-0.8355298721505943,-0.06256420568718857,0.2590595775584028,0.24185303532832825,-0.028513967425988183,0.5294117647058824,0.11648383585578645,23.452111878948426,14.706709521032343,0.013678696730053563,3270,0.2689737445866131,-0.13242979698402246,0.18930689867238074,"[0.76, 0.52, -0.65, -0.84]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'gross_edge', 'short_pnl']",LEVEL_21,6,21,1,0
-24.376490741835834,-10.20953700228468,0.41882718519293244,-0.060979472079388905,-0.21517138066454336,-0.36889349672435245,-0.7862454943152649,-0.3179571418184579,0.2465232975627799,0.2337798239424992,-0.1279205279833415,0.5294117647058824,0.11690817134141805,24.070520172758492,4.4568029669915346,0.014208271925697772,3267,0.20484571399703555,-0.16237555441629398,0.19323287963836067,"[-0.14, 0.61, -0.49, -0.79]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'gross_edge', 'short_pnl']",LEVEL_21,6,21,1,1
-26.27048685977394,-12.105090142522693,0.4607866693577851,0.05707967483870402,-0.10037718083641328,-0.257275313201149,-1.0688766147619961,-0.1979594561360158,0.2528228572361182,0.23013320549106198,-0.0738843376865218,0.5294117647058824,0.11801009858022919,24.809364121160797,10.08841765744639,0.014512067981698464,3284,0.23892323555993084,-0.1398369223774495,0.20411466008329132,"[0.14, 0.95, -1.07, -0.53]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'gross_edge', 'short_pnl']",LEVEL_21,6,21,1,2
-19.55689758426132,-8.462332971236231,0.4327032411340339,0.044720803849978716,-0.11437366027303683,-0.27327159136509804,-0.8485136636450709,-0.05108313036005674,0.23363685059322836,0.20019332890823727,-0.08610074647361816,0.5882352941176471,0.11734421258805407,24.867842528872625,9.436311863865358,0.014648885185338831,3289,0.27064935053522665,-0.1777494226545997,0.21581159940537553,"[-0.08, 0.4, -0.85, -0.02]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'gross_edge', 'short_pnl']",LEVEL_21,6,21,1,3
-15.60023683972836,-8.344935864679321,0.5349236649681934,0.16460773242563742,0.01423801508378573,-0.13596332481869886,-0.6370056619714889,-0.06799738146883882,0.22567661573851505,0.19363882061057403,-0.02374269914310147,0.5882352941176471,0.11865777993247606,23.777200584938296,15.45754462214252,0.01399509224945471,3268,0.25309643371003,-0.1075920046962621,0.21525422632701166,"[-0.02, 0.81, -0.64, -0.12]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'gross_edge', 'short_pnl']",LEVEL_21,6,21,1,4
-17.43091852173473,-9.688671513797019,0.5558325283728537,0.1524614203812748,-0.0003472434324943436,-0.15279718141372303,-0.6103035074030807,0.003995499788990914,0.24854428108012905,0.2161273932889617,-0.028784323877740523,0.5294117647058824,0.11927449815900598,24.296450213805652,14.743177068153544,0.014365639772768961,3276,0.24791767640262627,-0.10610701236839712,0.2207051298877217,"[0.1, 0.55, -0.61, -0.1]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'gross_edge', 'short_pnl']",LEVEL_21,6,21,1,5
-23.989044030950634,-10.11376299131324,0.4215992508190188,-0.027950178220836282,-0.17943085942723655,-0.33043884960006686,-0.8158121528450818,-0.24724453416807785,0.2315309408375622,0.1986381877862643,-0.12094771444191443,0.47058823529411764,0.11871666676297779,23.99256167226641,5.89827709255642,0.014292598374208263,3269,0.2682471922055736,-0.21222284902057792,0.22238723368844732,"[-0.35, 0.61, -0.82, -0.14]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_1x', 'ret_2x', 'pos_folds', 'gross_edge', 'short_pnl']",LEVEL_21,6,21,1,6
-10.641100032474421,-5.549049404471116,0.5214732863648094,0.1054786503688814,-0.0479131987691942,-0.20086006148193056,-0.4642374954575391,-0.195173213622666,0.1937184006244671,0.18987362314103096,-0.06449310883090406,0.5882352941176471,0.11752636187694736,24.046955430419803,12.558843057923486,0.014149381003587114,3272,0.2621176551196462,-0.1425579832710569,0.22633515777391905,"[-0.2, 0.7, -0.46, -0.19]","['net_sharpe', 'dbl_sharpe', 'tri_sharpe', 'ret_2x', 'pos_folds', 'gross_edge', 'short_pnl']",LEVEL_21,6,21,1,7
