name,events,trades_per_month,win_rate,per_trade_sharpe,net_sum_pct,mean_pnl_pct,top2_share_pos,top2_share_gross,n_hold
A1.cumretZ_w3_k1.5_N9,230,3.7978588277989473,0.5130434782608696,-0.22435313795271608,-62.71953300071542,-0.272693621742241,0.09009813392943511,0.046094499254514684,9
C.fz30_k2.0_N3,257,4.124691358024691,0.490272373540856,-0.24930631619169466,-47.07956336844955,-0.18318896252315,0.11062079933795275,0.06829545350705946,3
A1.cumretZ_w5_k2.5_N6,70,1.1617727521429875,0.44285714285714284,-0.24996866295308343,-38.047324331547,-0.5435332047363858,0.2689584189354096,0.13927704755166254,6
A1.cumretZ_w5_k2.5_N3,88,1.4605143169797556,0.4659090909090909,-0.25837230998682587,-35.441535255178024,-0.4027447188088412,0.30589251148829183,0.13839991211838912,3
A3.rsi_20_80_N3,63,1.0760135135135136,0.4444444444444444,-0.2741354434657957,-26.89498756728124,-0.42690456456001974,0.407068043443891,0.18030801283389253,3
C.fz90_k1.0_N6,425,6.878001067046061,0.48705882352941177,-0.2938395610937494,-82.55971739985097,-0.19425815858788464,0.05057828052214852,0.03272926194320391,6
A1.cumretZ_w3_k1.5_N6,275,4.5409181636726546,0.4909090909090909,-0.2977222022321793,-66.40867182181212,-0.24148607935204403,0.061185448278045555,0.03504998381043923,6
C.fz30_k1.0_N6,467,7.4871388301620865,0.48394004282655245,-0.3094796970043278,-89.09909752981025,-0.19079035873621036,0.0461879050640344,0.025383947360903488,6
A3.rsi_25_75_N3,121,1.9474708171206225,0.45454545454545453,-0.3163082994837327,-38.90239131005707,-0.3215073661988187,0.26026415551383264,0.11714960927037611,3
A4.mrz10_k1.5_N6,508,8.113022113022113,0.4881889763779528,-0.37371078600725877,-108.19791198661042,-0.21298801572167408,0.03854784174116988,0.030529523544035025,6
A4.mrz10_k1.5_N9,418,6.675675675675676,0.5406698564593302,-0.38535817816256057,-134.4655830408031,-0.32168799770527057,0.04111492898187412,0.04188527837036962,9
A4.mrz10_k2.0_N3,326,5.208216292134832,0.49079754601226994,-0.45031560910258,-84.68309952144833,-0.25976410896149793,0.07099259018887064,0.04642501793428504,3
A1.cumretZ_w3_k2.0_N3,171,2.823625476320087,0.4678362573099415,-0.458438758851842,-75.73581897965632,-0.44289952619682055,0.1382750111321748,0.06569849952099759,3
A1.cumretZ_w10_k2.0_N3,140,2.325666301569916,0.44285714285714284,-0.474826510763366,-76.84210354541948,-0.5488721681815676,0.20526202034449192,0.08901886550097707,3
C.fz30_k1.5_N9,263,4.220987654320988,0.4828897338403042,-0.4751750265541387,-132.12552689617445,-0.5023784292630207,0.07411577253222207,0.04530957935756849,9
A1.cumretZ_w3_k1.5_N3,340,5.61422609326801,0.4852941176470588,-0.4988591129768201,-114.78077546168942,-0.33759051606379237,0.08563934358533819,0.03905552644010425,3
C.fz30_k1.0_N9,366,5.875110248721114,0.5,-0.506643685038546,-169.73702520573045,-0.4637623639500832,0.05903208255195181,0.03318524582773745,9
A1.cumretZ_w5_k1.5_N6,232,3.832274459974587,0.46120689655172414,-0.5247265659862228,-101.16837983859925,-0.43607060275258297,0.0923780541327361,0.04978680609939767,6
A4.mrz20_k1.5_N9,351,5.610574389601265,0.5156695156695157,-0.5277090558084359,-179.47686129897102,-0.5113300891708575,0.06860200732954448,0.04023820187156116,9
A1.cumretZ_w5_k1.5_N3,304,5.021601016518424,0.5098684210526315,-0.5345119945324497,-111.03386035624854,-0.365242961698186,0.0954991800794728,0.04579201601623446,3
A4.mrz10_k2.0_N9,270,4.313553370786517,0.5037037037037037,-0.5409051076136158,-153.43776822614933,-0.5682880304672198,0.06383240199294946,0.047867358613097315,9
A4.mrz20_k1.5_N3,592,9.462849112945722,0.47635135135135137,-0.5596899781586532,-140.38750086991314,-0.23714104876674516,0.06109584675600802,0.029196423084323735,3
A1.cumretZ_w3_k2.0_N9,135,2.229178007621121,0.5037037037037037,-0.5851159511480479,-123.44559635386855,-0.9144118248434708,0.1416585183894473,0.060000060984258065,9
A3.rsi_20_80_N6,49,0.8372136687945926,0.30612244897959184,-0.5915752871677972,-72.35476663351996,-1.4766278904799992,0.3720162222280605,0.13983468567144833,6
C.fz90_k1.0_N9,325,5.259647874799929,0.4707692307692308,-0.605500638760615,-185.35025486933807,-0.5703084765210402,0.06961418720763508,0.03249648332663015,9
C.fz30_k1.5_N6,321,5.151851851851852,0.42990654205607476,-0.6323706152355558,-155.02863076052788,-0.48295523601410556,0.07780082163677973,0.03663292488055598,6
C.fz30_k2.0_N9,184,2.9530864197530864,0.47282608695652173,-0.6361410769606717,-156.1557564732716,-0.84867258952865,0.08239345411474479,0.0603726034849008,9
A2.bbpctb_0.0_1.0_N3,317,5.0840676771237225,0.47634069400630913,-0.6445623157180729,-124.11652578411821,-0.3915347816533697,0.09456689105888615,0.05739410974746902,3
A4.mrz20_k2.0_N3,317,5.0840676771237225,0.47634069400630913,-0.6445623157180729,-124.11652578411821,-0.3915347816533697,0.09456689105888615,0.05739410974746902,3
A4.mrz20_k1.5_N6,424,6.7774459862989636,0.49292452830188677,-0.6522871463918272,-186.02471027690353,-0.43873752423798,0.04456562244197755,0.028657746735352745,6
C.fz90_k1.5_N6,254,4.110617108305175,0.41338582677165353,-0.6542473480004726,-135.73514108941228,-0.5343903192496546,0.09514525218039964,0.047684539692781885,6
C.fz90_k1.5_N3,342,5.525923295454546,0.4590643274853801,-0.6561640500850756,-129.22227020097284,-0.37784289532448195,0.09515712975703304,0.05524672961094125,3
A3.rsi_25_75_N6,91,1.4646268128758402,0.4065934065934066,-0.6657456046259362,-95.15747419242796,-1.0456865295871205,0.19811445282514545,0.08974138021313584,6
C.fz90_k2.0_N3,224,3.64325290437891,0.45535714285714285,-0.6663408775202946,-119.05076634735295,-0.5314766354792542,0.1158983948433585,0.07274769613588294,3
A3.rsi_30_70_N9,166,2.6759964570416295,0.45180722891566266,-0.6736577234532755,-161.89549773008574,-0.97527408271136,0.1432801813605268,0.0641152856280558,9
A1.cumretZ_w10_k2.5_N6,53,0.8862550532892319,0.41509433962264153,-0.686062045226122,-103.29404302456989,-1.9489442080107524,0.3604260467464652,0.19949255063757526,6
A1.cumretZ_w3_k2.5_N6,89,1.483061710309467,0.42696629213483145,-0.6902435577812647,-97.74158112484238,-1.0982200126386783,0.19822176158630622,0.10372046518324446,6
C.fz90_k1.0_N3,618,9.987213638785295,0.46763754045307443,-0.7026943234305114,-172.09158335070887,-0.27846534522768424,0.050232565043259236,0.032241464019421365,3
A1.cumretZ_w10_k1.5_N9,162,2.6779291553133513,0.4691358024691358,-0.7232810318745552,-176.9388236131216,-1.0922149605748248,0.11234124618362895,0.06354782472133003,9
C.fz90_k2.0_N9,149,2.423413762287757,0.44966442953020136,-0.7313665036911329,-161.32390106427115,-1.0827107453977929,0.10821066353513827,0.06730699862452025,9
