symbol,open_time,close_time,net_weighted,net_raw,weight,month,regime
BTCUSDT,1747699199999,1747900799999,5.188800,5.188800,1.0000,2025-05,BTC_FLAT
DOTUSDT,1747756799999,1748361600000,-0.448100,-0.448100,1.0000,2025-05,BTC_FLAT
AAVEUSDT,1747843199999,1748448000000,3.693700,3.693700,1.0000,2025-05,BTC_FLAT
BTCUSDT,1747987199999,1748591999999,5.331400,5.331400,1.0000,2025-05,BTC_UP
XRPUSDT,1748131199999,1748476799999,-4.407400,-4.407400,1.0000,2025-05,BTC_UP
ETHUSDT,1748390399999,1748505599999,-4.335200,-4.335200,1.0000,2025-05,BTC_UP
DOTUSDT,1748447999999,1748591999999,-5.954300,-5.954300,1.0000,2025-05,BTC_FLAT
AAVEUSDT,1748534399999,1748966399999,-6.419300,-6.419300,1.0000,2025-06,BTC_FLAT
XRPUSDT,1748563199999,1748678399999,6.889700,6.889700,1.0000,2025-05,BTC_FLAT
ETHUSDT,1748591999999,1749196799999,8.983900,8.983900,1.0000,2025-06,BTC_FLAT
BTCUSDT,1748678399999,1748937599999,-2.585700,-2.585700,1.0000,2025-06,BTC_FLAT
XRPUSDT,1748764799999,1749167999999,-3.893500,-3.893500,1.0000,2025-06,BTC_FLAT
DOTUSDT,1749023999999,1749139199999,-5.133000,-5.133000,1.0000,2025-06,BTC_FLAT
BTCUSDT,1749023999999,1749167999999,-2.197900,-2.197900,1.0000,2025-06,BTC_FLAT
AAVEUSDT,1749052799999,1749139199999,-5.429900,-5.429900,1.0000,2025-06,BTC_FLAT
DOTUSDT,1749225599999,1749801599999,-5.907300,-5.907300,1.0000,2025-06,BTC_DOWN
BTCUSDT,1749254399999,1749513599999,4.895300,4.895300,1.0000,2025-06,BTC_FLAT
XRPUSDT,1749254399999,1749398399999,-3.830800,-3.830800,1.0000,2025-06,BTC_FLAT
ETHUSDT,1749283199999,1749513599999,-4.419500,-4.419500,1.0000,2025-06,BTC_FLAT
AAVEUSDT,1749283199999,1749513599999,10.576400,10.576400,1.0000,2025-06,BTC_FLAT
XRPUSDT,1749484799999,1749772799999,-3.328100,-3.328100,1.0000,2025-06,BTC_FLAT
BTCUSDT,1749599999999,1749801599999,4.148100,4.148100,1.0000,2025-06,BTC_FLAT
ETHUSDT,1749830399999,1750435200000,2.166000,2.166000,1.0000,2025-06,BTC_FLAT
AAVEUSDT,1749859199999,1749945599999,-7.086100,-7.086100,1.0000,2025-06,BTC_FLAT
XRPUSDT,1749859199999,1750118399999,7.416700,7.416700,1.0000,2025-06,BTC_FLAT
BTCUSDT,1749945599999,1750089599999,-2.258700,-2.258700,1.0000,2025-06,BTC_FLAT
AAVEUSDT,1750031999999,1750262399999,-6.371800,-6.371800,1.0000,2025-06,BTC_FLAT
XRPUSDT,1750204799999,1750550399999,-4.056700,-4.056700,1.0000,2025-06,BTC_FLAT
BTCUSDT,1750233599999,1750463999999,-2.408800,-2.408800,1.0000,2025-06,BTC_FLAT
AAVEUSDT,1750348799999,1750550399999,-7.107300,-7.107300,1.0000,2025-06,BTC_FLAT
ETHUSDT,1750521599999,1750550399999,8.347100,8.347100,1.0000,2025-06,BTC_DOWN
BTCUSDT,1750550399999,1750607999999,-2.351900,-2.351900,1.0000,2025-06,BTC_DOWN
AAVEUSDT,1750665599999,1750809599999,14.228200,14.228200,1.0000,2025-06,BTC_FLAT
XRPUSDT,1750665599999,1750723199999,-4.694400,-4.694400,1.0000,2025-06,BTC_FLAT
ETHUSDT,1750694399999,1750924799999,11.145800,11.145800,1.0000,2025-06,BTC_FLAT
BTCUSDT,1750694399999,1750867199999,5.286900,5.286900,1.0000,2025-06,BTC_FLAT
DOTUSDT,1750723199999,1751328000000,0.427200,0.427200,1.0000,2025-07,BTC_FLAT
XRPUSDT,1750809599999,1751327999999,-4.787200,-4.787200,1.0000,2025-06,BTC_FLAT
BTCUSDT,1750953599999,1751558400000,1.606000,1.606000,1.0000,2025-07,BTC_FLAT
ETHUSDT,1751011199999,1751500799999,-5.061600,-5.061600,1.0000,2025-07,BTC_FLAT
AAVEUSDT,1751011199999,1751616000000,5.260300,5.260300,1.0000,2025-07,BTC_FLAT
DOTUSDT,1751414399999,1751500799999,10.229100,10.229100,1.0000,2025-07,BTC_FLAT
XRPUSDT,1751414399999,1751500799999,-3.737700,-3.737700,1.0000,2025-07,BTC_FLAT
DOTUSDT,1751587199999,1752191999999,-5.615900,-5.615900,1.0000,2025-07,BTC_UP
ETHUSDT,1751587199999,1751644799999,-3.773000,-3.773000,1.0000,2025-07,BTC_UP
XRPUSDT,1751673599999,1752076799999,6.766600,6.766600,1.0000,2025-07,BTC_FLAT
BTCUSDT,1751702399999,1752105599999,3.199000,3.199000,1.0000,2025-07,BTC_FLAT
AAVEUSDT,1751702399999,1751846399999,-5.265400,-5.265400,1.0000,2025-07,BTC_FLAT
ETHUSDT,1751731199999,1751846399999,-3.439200,-3.439200,1.0000,2025-07,BTC_FLAT
ETHUSDT,1751932799999,1752105599999,6.210800,6.210800,1.0000,2025-07,BTC_FLAT
AAVEUSDT,1752047999999,1752479999999,9.364200,9.364200,1.0000,2025-07,BTC_FLAT
DOTUSDT,1752335999999,1752479999999,-7.049400,-7.049400,1.0000,2025-07,BTC_UP
BTCUSDT,1752335999999,1752422399999,-2.180100,-2.180100,1.0000,2025-07,BTC_UP
BTCUSDT,1752537599999,1753142400000,1.975100,1.975100,1.0000,2025-07,BTC_UP
DOTUSDT,1752566399999,1752652799999,-7.146800,-7.146800,1.0000,2025-07,BTC_UP
ETHUSDT,1752566399999,1752623999999,-3.857500,-3.857500,1.0000,2025-07,BTC_UP
