,hurst_100,hurst_200,hurst_diff_100_50,atr_pct_rank_200,atr_pct_rank_500,bb_width_pct_rank_100,cusum_reset_count_200,ret_skew_50,ret_skew_100,ret_skew_200,ret_kurt_50,ret_kurt_200,range_realized_vol_50,max_dd_window_50,parkinson_vol_20,parkinson_gk_ratio_20,mom_accel_5_20,mom_accel_20_100,ema_spread_atr_20,ret_autocorr_lag1_50,ret_autocorr_lag5_50,vwap_dev_20,vwap_dev_50,volume_mom_ratio_20,volume_cv_50,obv_slope_50,hl_range_ratio_20,fracdiff_logclose_dstat,fracdiff_logvolume_dstat,btc_ret_3d,btc_ret_7d,btc_ret_14d,btc_vol_14d,sym_vs_btc_ret_7d
ret_kurt_50,-0.11741090699601338,-0.06729020863920808,-0.019467244030615866,0.13193599015503765,0.11969811118104859,0.13727633503554768,0.05623900081085248,0.1295081723407029,0.14475707483683906,0.1179807767081951,1.0,0.30796606279592903,0.08623267624352572,0.006231147216473657,0.09558808074065527,0.1131925990674004,0.0014225502744587594,-8.493872213881376e-05,-0.012664799230232754,0.0643054739987267,-0.11889726493308259,-0.03751158559907978,-0.06057667442362241,0.1127290605832083,0.49680829504792207,0.007650661397453931,0.058631246202761354,-0.0811549095975828,0.10025848603118102,-0.030944200534885384,-0.038391870401700286,-0.055876474524683306,0.022237831360137683,0.043543858393800795
ret_kurt_200,-0.019287611143511952,-0.031659578754581065,0.0040840884372737515,0.014246016556966282,0.09036422101317343,0.017286791715078027,0.14982504127447183,0.10845132463542975,0.2727545048868515,0.5925207682655798,0.30796606279592903,1.0,-0.021846123723826737,-0.005388070400456254,-0.019257971169907257,0.04537378575738404,0.003058556278406282,-0.004356843435929372,0.02135025104035672,0.03441935260508258,0.033236748068459464,-0.004050506006548364,-0.0111036236318144,0.028525016052756383,0.16813835898631865,-0.01124179684536323,0.00954189281423425,-0.17319981689661218,0.14023252190513946,-0.004895403899616194,-0.007955362269664852,-0.008561948723569116,-0.03645164661812935,0.03823318132276711
range_realized_vol_50,0.14062128710561964,0.02152550066137519,0.021528180547052703,0.35877549987153473,0.4455186068093492,0.10141239613806546,0.4150294696015031,0.0905086297473488,0.10089101931303693,0.11729616326315853,0.08623267624352572,-0.021846123723826737,1.0,-0.6601547513516434,0.8346076883690556,-0.07448257119871936,-0.0015602946621722062,-0.003556648975259935,-0.03720733940701181,0.11715614281686194,-0.06027683374681469,-0.04230709030810063,-0.06317972266303117,-0.018531188369357597,0.1518718801311039,0.13212421246604514,-0.04601984356554647,0.18637985285698613,-0.08755441040650057,-0.08089345593033899,-0.13665552386050833,-0.19701478300801,0.6001570760068353,0.09292139653180166
max_dd_window_50,-0.17719484003674568,-0.13543581535804702,-0.06585902455644456,0.13893595003641876,0.00123804081529999,0.048991746601864034,-0.28578299064953333,0.12683843713948584,0.11285839971649973,0.001939448544449694,0.006231147216473657,-0.005388070400456254,-0.6601547513516434,1.0,-0.49501477262962856,-0.02762917124499917,-0.005578083665295264,-0.0008586424482201369,0.4765592165233906,-0.12188099490462055,-0.060297925231006945,0.1411236763298491,0.3225143650580475,0.08523019945250207,0.014248134810553518,0.11339820127334278,0.06284012661482503,-0.14718018138651465,0.12922910641750232,0.11172762057543158,0.21624297354675795,0.3653548486261337,-0.5462680707932922,0.12872193343829072
parkinson_vol_20,0.09386979610058117,0.00971040164372806,0.004883295841754998,0.4989405553492677,0.5115897671794313,0.34802623388719034,0.3287945084271751,0.10471391438025085,0.10387487211962029,0.11048990292098076,0.09558808074065527,-0.019257971169907257,0.8346076883690556,-0.49501477262962856,1.0,-0.030374870398750614,-0.004173909964355897,-0.0030961646382139953,0.01603758153118129,0.12168730461103915,-0.0686060078971057,-0.04020784760209464,-0.027767592484906702,0.2816821773384632,0.1655707755226999,0.16464768034550914,-0.011553546898993584,0.170307569400258,-0.04141741864513514,-0.12692006500237735,-0.22300418850016562,-0.18751475565080558,0.5120259640232725,0.17135537831818973
parkinson_gk_ratio_20,0.0062504337693307585,-0.007642045922487637,-0.019358650681829227,0.023546959451827484,-0.006073137392464087,0.24878788006899138,0.02893548826685817,0.0884754664257996,0.03806075431993646,0.029773759447794992,0.1131925990674004,0.04537378575738404,-0.07448257119871936,-0.02762917124499917,-0.030374870398750614,1.0,0.007375699200733619,0.0026478541603158546,0.06266193851570666,0.010033741254327095,-0.0007942566484859315,0.06659452324088867,0.08598589015922803,0.14894281257487238,0.031073446050489506,-0.043762714363857584,0.09612032042155895,-0.0612266541901303,0.10291379778967653,0.004581332607825053,-0.00934292673303348,-0.04862839526449465,0.04661539482041718,0.14999073014683983
mom_accel_5_20,-0.000283456929123115,-0.0008642693980264305,0.0017511612393993497,-0.007860574419625519,0.00685260452208371,0.0029716439963594797,-0.005995482785275769,-0.002506180962813464,0.00322695944376942,-0.005587735513070026,0.0014225502744587594,0.003058556278406282,-0.0015602946621722062,-0.005578083665295264,-0.004173909964355897,0.007375699200733619,1.0,-2.161751523101474e-05,-0.006321421702987634,0.009863321302368127,0.00043296885933855777,0.011205567079964649,0.0031743972401829814,-0.007079923775593761,-0.002307275541879166,-0.009351553199182877,-0.008751262209398062,-0.006495170393085896,0.00930685476636196,0.011396545224389458,0.004978573041248232,0.00310379842906453,0.008026563207370944,-0.003815365542275648
mom_accel_20_100,-0.004569057847743156,-0.008911863453508407,-0.007774306892997572,-0.0020561456460742675,0.00041931260866554524,0.009126481407652091,-0.014136760936018032,0.0070077863012021875,0.002217824577043707,0.00027823480287449056,-8.493872213881376e-05,-0.004356843435929372,-0.003556648975259935,-0.0008586424482201369,-0.0030961646382139953,0.0026478541603158546,-2.161751523101474e-05,1.0,0.010001070292864261,-0.0022763083961141466,0.0006454643206347787,0.010777831540214796,0.014798307126991482,0.0006403233736988952,-0.004315870610336253,0.04281888276021892,-0.006055205846840019,-0.0054873133864784054,0.0010386301371988805,0.0008860130802126913,0.005245702537599912,0.0033132489361481837,-0.00537247422920243,0.006142457631281856
ema_spread_atr_20,0.017224323189531723,-0.060350147757621174,-0.010381691001008449,0.4236991911464526,0.33570168846142506,0.1318265669589913,0.001954825471852622,0.3889595174494248,0.257802283913939,0.11747441108554575,-0.012664799230232754,0.02135025104035672,-0.03720733940701181,0.4765592165233906,0.01603758153118129,0.06266193851570666,-0.006321421702987634,0.010001070292864261,1.0,0.011038660386547574,-0.09473269270869013,0.5472651313887698,0.874624212754031,0.2088227093706537,0.09921924296324358,0.34456698499420657,0.10782899104265715,-0.030399040941771004,0.13621353181598986,0.28048299712792324,0.4586488623358348,0.5075208592366603,-0.1396089246190096,0.5070218213475454
ret_autocorr_lag1_50,-0.014465675135266644,-0.013347960587471352,-0.011836323226778174,0.0989009689285818,0.07760058361739988,0.1229287818024465,-0.02568268647074696,0.0239451801895588,0.047438930950833506,0.061208021527140326,0.0643054739987267,0.03441935260508258,0.11715614281686194,-0.12188099490462055,0.12168730461103915,0.010033741254327095,0.009863321302368127,-0.0022763083961141466,0.011038660386547574,1.0,-0.18312534622408225,0.01802753352587641,-0.016521800125552325,0.06622230412642803,0.04836326588119444,0.06976863457225817,0.043759110923791866,-0.02959502984521133,0.0498734730303567,-0.03777710363102399,-0.057910976778498525,-0.11203725369540156,0.12536469174834608,0.09235723564744176
