# table=direction_asymmetry
symbol,direction,n_trades,wins,win_rate_pct,net_pnl_pct_sum,weighted_pnl_sum,avg_net_pnl_pct,dataset,table
2023-09,1,0,-1.4327,-0.9743,1,0,0.0,100.0,iter045_IS_TRX
2023-10,4,1,-1.9154000000000002,-0.7655000000000001,3,1,25.0,75.0,iter045_IS_TRX
2023-11,7,2,-2.5742000000000003,-2.6791,5,2,28.57,71.43,iter045_IS_TRX
2023-12,5,2,0.9823,-0.38280000000000003,3,2,40.0,60.0,iter045_IS_TRX
2024-01,4,1,-3.1839,-4.0040000000000004,3,1,25.0,75.0,iter045_IS_TRX
2024-02,2,2,6.4544,4.8099,0,2,100.0,0.0,iter045_IS_TRX
2024-03,5,1,-2.2999999999999994,-0.7129000000000003,4,1,20.0,80.0,iter045_IS_TRX
2024-04,6,1,-6.9131,-6.073200000000001,5,1,16.67,83.33,iter045_IS_TRX
2024-05,1,0,-1.7289,-1.1929,1,0,0.0,100.0,iter045_IS_TRX
2024-07,5,1,-3.1041,-1.9183000000000003,4,1,20.0,80.0,iter045_IS_TRX
2024-08,2,0,-3.2965999999999998,-2.5918,2,0,0.0,100.0,iter045_IS_TRX
2024-10,3,1,-0.30779999999999985,0.004899999999999904,2,1,33.33,66.67,iter045_IS_TRX
2024-11,8,2,-12.6871,-1.9955999999999998,6,2,25.0,75.0,iter045_IS_TRX
2024-12,1,1,6.3747,5.9284,0,1,100.0,0.0,iter045_IS_TRX
2025-02,2,2,11.4073,2.3822,0,2,100.0,0.0,iter045_IS_TRX
2025-03,1,0,-2.5815,-1.0584,1,0,0.0,100.0,iter045_IS_TRX

# table=bch_feature_importance_iter045
feature,importance,symbol
ret_kurt_50,173.0,BCH
ema_spread_atr_20,172.0,BCH
range_realized_vol_50,129.0,BCH
max_dd_window_50,107.0,BCH
sym_vs_btc_ret_7d,106.0,BCH
ret_skew_200,104.0,BCH
ret_kurt_200,99.0,BCH
ret_skew_50,87.0,BCH
hurst_100,72.0,BCH
ret_autocorr_lag1_50,63.0,BCH
btc_ret_14d,58.0,BCH
vwap_dev_20,52.0,BCH
regime_momentum_signed_5d,43.0,BCH
hurst_diff_100_50,22.0,BCH

# table=trx_feature_importance_iter045
feature,importance,symbol
range_realized_vol_50,313.0,TRX
ema_spread_atr_20,289.0,TRX
hurst_100,266.0,TRX
vwap_dev_20,240.0,TRX
ret_kurt_50,222.0,TRX
ret_skew_200,222.0,TRX
ret_skew_50,205.0,TRX
ret_autocorr_lag1_50,192.0,TRX
max_dd_window_50,188.0,TRX
btc_ret_14d,185.0,TRX
ret_kurt_200,175.0,TRX
sym_vs_btc_ret_7d,172.0,TRX
hurst_diff_100_50,145.0,TRX
regime_momentum_signed_5d,123.0,TRX
