symbol,month,feature,gain_share
BCHUSDT,2021-05,ret_kurt_50,0.093485
BCHUSDT,2021-05,ret_skew_200,0.059491
BCHUSDT,2021-05,range_realized_vol_50,0.085825
BCHUSDT,2021-05,hurst_diff_100_50,0.055332
BCHUSDT,2021-05,ret_kurt_200,0.10419
BCHUSDT,2021-05,hurst_100,0.044635
BCHUSDT,2021-05,btc_ret_14d,0.084493
BCHUSDT,2021-05,ret_skew_50,0.054043
BCHUSDT,2021-05,vwap_dev_20,0.093672
BCHUSDT,2021-05,ret_autocorr_lag1_50,0.056034
BCHUSDT,2021-05,sym_vs_btc_ret_7d,0.044553
BCHUSDT,2021-05,regime_momentum_signed_5d,0.051071
BCHUSDT,2021-06,max_dd_window_50,0.060565
BCHUSDT,2021-06,ema_spread_atr_20,0.104878
BCHUSDT,2021-06,ret_kurt_50,0.096462
BCHUSDT,2021-06,ret_skew_200,0.055371
BCHUSDT,2021-06,range_realized_vol_50,0.092764
BCHUSDT,2021-06,hurst_diff_100_50,0.052843
BCHUSDT,2021-06,ret_kurt_200,0.103419
BCHUSDT,2021-06,hurst_100,0.044894
BCHUSDT,2021-06,btc_ret_14d,0.066303
BCHUSDT,2021-06,ret_skew_50,0.067102
BCHUSDT,2021-06,vwap_dev_20,0.097352
BCHUSDT,2021-06,ret_autocorr_lag1_50,0.057049
BCHUSDT,2021-06,sym_vs_btc_ret_7d,0.051053
BCHUSDT,2021-06,regime_momentum_signed_5d,0.049944
BCHUSDT,2021-07,max_dd_window_50,0.08142
BCHUSDT,2021-07,ema_spread_atr_20,0.114492
BCHUSDT,2021-07,ret_kurt_50,0.085366
BCHUSDT,2021-07,ret_skew_200,0.0631
BCHUSDT,2021-07,range_realized_vol_50,0.074258
BCHUSDT,2021-07,hurst_diff_100_50,0.047609
BCHUSDT,2021-07,ret_kurt_200,0.087231
BCHUSDT,2021-07,hurst_100,0.04519
BCHUSDT,2021-07,btc_ret_14d,0.089515
BCHUSDT,2021-07,ret_skew_50,0.061282
BCHUSDT,2021-07,vwap_dev_20,0.091352
BCHUSDT,2021-07,ret_autocorr_lag1_50,0.060987
BCHUSDT,2021-07,sym_vs_btc_ret_7d,0.050789
BCHUSDT,2021-07,regime_momentum_signed_5d,0.047407
BCHUSDT,2021-08,max_dd_window_50,0.073608
BCHUSDT,2021-08,ema_spread_atr_20,0.105168
BCHUSDT,2021-08,ret_kurt_50,0.08153
BCHUSDT,2021-08,ret_skew_200,0.064796
BCHUSDT,2021-08,range_realized_vol_50,0.090114
BCHUSDT,2021-08,hurst_diff_100_50,0.057393
BCHUSDT,2021-08,ret_kurt_200,0.087047
BCHUSDT,2021-08,hurst_100,0.048627
BCHUSDT,2021-08,btc_ret_14d,0.08845
BCHUSDT,2021-08,ret_skew_50,0.061669
BCHUSDT,2021-08,vwap_dev_20,0.083313
BCHUSDT,2021-08,ret_autocorr_lag1_50,0.064556
BCHUSDT,2021-08,sym_vs_btc_ret_7d,0.053915
BCHUSDT,2021-08,regime_momentum_signed_5d,0.039813
BCHUSDT,2021-09,max_dd_window_50,0.082871
BCHUSDT,2021-09,ema_spread_atr_20,0.095052
BCHUSDT,2021-09,ret_kurt_50,0.075294
BCHUSDT,2021-09,ret_skew_200,0.071955
