roster,half,symbol,direction,open_time,exit_reason,natr_14,weight_factor,net_pnl_pct,weighted_pnl
v1-010,IS,ETHUSDT,1,1652572799999,timeout,6.865722199080117,0.1819,-4.0445,-0.7356
v1-010,IS,DOTUSDT,1,1710748799999,stop_loss,6.743579143460472,0.2092,-11.1118,-2.3249
v1-010,IS,DOTUSDT,1,1734969599999,timeout,6.734026256743375,0.2216,-3.8156,-0.8456
v1-010,IS,BTCUSDT,1,1652457599999,timeout,6.661902207934307,0.1958,-4.0107,-0.7852
v1-010,IS,ETHUSDT,1,1645718399999,take_profit,6.613373543394487,0.6803,16.051,10.9197
v1-010,IS,LINKUSDT,1,1641974399999,stop_loss,6.564787117158587,0.5806,-12.343,-7.1658
v1-010,IS,DOTUSDT,1,1668239999999,timeout,6.536255542487472,0.1332,-2.6646,-0.3548
v1-010,OOS,ETHUSDT,1,1744271999999,timeout,7.298547600175198,0.2033,0.2737,0.0556
v1-010,OOS,LINKUSDT,-1,1755763199999,timeout,5.791104653387251,0.7047,5.675,3.9993
v1-010,OOS,LINKUSDT,-1,1744329599999,timeout,5.764228998561241,0.2135,-3.9369,-0.8406
v1-010,OOS,DOTUSDT,-1,1762876799999,timeout,5.713930303217249,0.0801,13.679,1.0955
v1-010,OOS,DOTUSDT,1,1744300799999,timeout,5.562529988001127,0.2185,6.5862,1.4392
v1-010,OOS,LINKUSDT,-1,1755187199999,stop_loss,5.561341580340382,0.7033,-9.3147,-6.5507
v1-010,OOS,LINKUSDT,1,1770508799999,timeout,5.519104215021995,0.2204,1.9443,0.4285
v1-010,OOS,LINKUSDT,1,1762387199999,timeout,5.471672604347902,0.2273,0.2912,0.0662
v1-010,OOS,LINKUSDT,1,1770191999999,stop_loss,5.319233930917311,0.8177,-8.4366,-6.8985
v1-010,OOS,LINKUSDT,1,1763164799999,stop_loss,5.164532243769083,0.2388,-9.586,-2.2895
v1-010,OOS,LINKUSDT,1,1760774399999,timeout,5.110988558670562,0.2358,6.9132,1.6302
v1-010,OOS,DOTUSDT,1,1747065599999,stop_loss,5.019667887625793,0.1065,-7.7255,-0.823
v1-010,OOS,DOTUSDT,1,1772006399999,take_profit,5.005808987362297,0.1089,11.6185,1.2653
v1-010,OOS,LINKUSDT,1,1763827199999,timeout,4.96878527859137,0.2469,10.3994,2.5681
v1-010,OOS,LTCUSDT,1,1747267199999,stop_loss,4.910828717766908,0.9083,-7.6553,-6.953
v1-010,OOS,ETHUSDT,1,1770796799999,timeout,4.873710412888463,0.8583,3.3695,2.8922
v1-010,OOS,DOTUSDT,-1,1772611199999,timeout,4.791276098115742,0.1004,3.0332,0.3044
v1-010,OOS,LTCUSDT,1,1760774399999,timeout,4.778398410020109,0.2517,6.0496,1.523
v1-010,OOS,LINKUSDT,-1,1747583999999,timeout,4.714354545536576,0.33,7.9845,2.6349
v1-010,OOS,DOTUSDT,-1,1761062399999,timeout,4.645797192288932,0.1052,1.0668,0.1122
