roster,half,symbol,threshold_pct,n_trades_baseline,n_trades_kept,n_skipped,skip_rate,wpnl_baseline,wpnl_kept,wpnl_delta
baseline,IS,LINKUSDT,8.0,146,140,6,0.0410958904109589,96.4006,64.5887,-31.811899999999994
baseline,IS,LTCUSDT,8.0,123,122,1,0.008130081300813009,2.2396999999999934,-22.101799999999997,-24.34149999999999
baseline,IS,DOTUSDT,8.0,93,93,0,0.0,-16.188300000000005,-16.188300000000005,0.0
baseline,IS,PORTFOLIO,8.0,620,612,8,0.012903225806451613,51.452999999999975,8.413200000000002,-43.03979999999997
baseline,IS,BTCUSDT,9.0,113,113,0,0.0,-15.025999999999996,-15.025999999999996,0.0
baseline,IS,ETHUSDT,9.0,145,144,1,0.006896551724137931,-15.973,-2.8593999999999973,13.113600000000003
baseline,IS,LINKUSDT,9.0,146,142,4,0.0273972602739726,96.4006,54.8993,-41.5013
baseline,IS,LTCUSDT,9.0,123,123,0,0.0,2.2396999999999934,2.2396999999999934,0.0
baseline,IS,DOTUSDT,9.0,93,93,0,0.0,-16.188300000000005,-16.188300000000005,0.0
baseline,IS,PORTFOLIO,9.0,620,615,5,0.008064516129032258,51.452999999999975,23.065299999999986,-28.387699999999988
baseline,OOS,BTCUSDT,5.5,35,35,0,0.0,13.6516,13.6516,0.0
baseline,OOS,ETHUSDT,5.5,46,44,2,0.043478260869565216,32.208800000000004,32.0591,-0.14970000000000283
baseline,OOS,LINKUSDT,5.5,28,26,2,0.07142857142857142,21.339399999999994,17.522399999999998,-3.8169999999999966
baseline,OOS,LTCUSDT,5.5,34,34,0,0.0,-28.209600000000002,-28.209600000000002,0.0
baseline,OOS,DOTUSDT,5.5,46,43,3,0.06521739130434782,-0.8557999999999996,-2.6502999999999997,-1.7945000000000002
baseline,OOS,PORTFOLIO,5.5,189,182,7,0.037037037037037035,38.13439999999999,32.3732,-5.761199999999995
baseline,OOS,BTCUSDT,6.0,35,35,0,0.0,13.6516,13.6516,0.0
baseline,OOS,ETHUSDT,6.0,46,45,1,0.021739130434782608,32.208800000000004,31.935100000000002,-0.2737000000000016
baseline,OOS,LINKUSDT,6.0,28,28,0,0.0,21.339399999999994,21.339399999999994,0.0
baseline,OOS,LTCUSDT,6.0,34,34,0,0.0,-28.209600000000002,-28.209600000000002,0.0
baseline,OOS,DOTUSDT,6.0,46,44,2,0.043478260869565216,-0.8557999999999996,-0.47679999999999956,0.379
baseline,OOS,PORTFOLIO,6.0,189,186,3,0.015873015873015872,38.13439999999999,38.239700000000006,0.10530000000001394
baseline,OOS,BTCUSDT,6.5,35,35,0,0.0,13.6516,13.6516,0.0
baseline,OOS,ETHUSDT,6.5,46,45,1,0.021739130434782608,32.208800000000004,31.935100000000002,-0.2737000000000016
baseline,OOS,LINKUSDT,6.5,28,28,0,0.0,21.339399999999994,21.339399999999994,0.0
baseline,OOS,LTCUSDT,6.5,34,34,0,0.0,-28.209600000000002,-28.209600000000002,0.0
baseline,OOS,DOTUSDT,6.5,46,45,1,0.021739130434782608,-0.8557999999999996,-0.3145999999999999,0.5411999999999997
baseline,OOS,PORTFOLIO,6.5,189,187,2,0.010582010582010581,38.13439999999999,38.4019,0.2675000000000054
baseline,OOS,BTCUSDT,7.0,35,35,0,0.0,13.6516,13.6516,0.0
baseline,OOS,ETHUSDT,7.0,46,45,1,0.021739130434782608,32.208800000000004,31.935100000000002,-0.2737000000000016
baseline,OOS,LINKUSDT,7.0,28,28,0,0.0,21.339399999999994,21.339399999999994,0.0
baseline,OOS,LTCUSDT,7.0,34,34,0,0.0,-28.209600000000002,-28.209600000000002,0.0
baseline,OOS,DOTUSDT,7.0,46,46,0,0.0,-0.8557999999999996,-0.8557999999999996,0.0
baseline,OOS,PORTFOLIO,7.0,189,188,1,0.005291005291005291,38.13439999999999,37.8607,-0.27369999999999095
baseline,OOS,BTCUSDT,7.5,35,35,0,0.0,13.6516,13.6516,0.0
baseline,OOS,ETHUSDT,7.5,46,46,0,0.0,32.208800000000004,32.208800000000004,0.0
baseline,OOS,LINKUSDT,7.5,28,28,0,0.0,21.339399999999994,21.339399999999994,0.0
baseline,OOS,LTCUSDT,7.5,34,34,0,0.0,-28.209600000000002,-28.209600000000002,0.0
baseline,OOS,DOTUSDT,7.5,46,46,0,0.0,-0.8557999999999996,-0.8557999999999996,0.0
baseline,OOS,PORTFOLIO,7.5,189,189,0,0.0,38.13439999999999,38.13439999999999,0.0
baseline,OOS,BTCUSDT,8.0,35,35,0,0.0,13.6516,13.6516,0.0
baseline,OOS,ETHUSDT,8.0,46,46,0,0.0,32.208800000000004,32.208800000000004,0.0
baseline,OOS,LINKUSDT,8.0,28,28,0,0.0,21.339399999999994,21.339399999999994,0.0
baseline,OOS,LTCUSDT,8.0,34,34,0,0.0,-28.209600000000002,-28.209600000000002,0.0
baseline,OOS,DOTUSDT,8.0,46,46,0,0.0,-0.8557999999999996,-0.8557999999999996,0.0
baseline,OOS,PORTFOLIO,8.0,189,189,0,0.0,38.13439999999999,38.13439999999999,0.0
baseline,OOS,BTCUSDT,9.0,35,35,0,0.0,13.6516,13.6516,0.0
baseline,OOS,ETHUSDT,9.0,46,46,0,0.0,32.208800000000004,32.208800000000004,0.0
baseline,OOS,LINKUSDT,9.0,28,28,0,0.0,21.339399999999994,21.339399999999994,0.0
baseline,OOS,LTCUSDT,9.0,34,34,0,0.0,-28.209600000000002,-28.209600000000002,0.0
baseline,OOS,DOTUSDT,9.0,46,46,0,0.0,-0.8557999999999996,-0.8557999999999996,0.0
baseline,OOS,PORTFOLIO,9.0,189,189,0,0.0,38.13439999999999,38.13439999999999,0.0
v1-010,IS,BTCUSDT,5.5,132,128,4,0.030303030303030304,-19.320100000000004,-17.549100000000003,1.7710000000000008
v1-010,IS,ETHUSDT,5.5,145,140,5,0.034482758620689655,-2.0359999999999943,-7.5014999999999965,-5.465500000000002
v1-010,IS,LINKUSDT,5.5,152,140,12,0.07894736842105263,63.637600000000006,77.3511,13.713499999999996
v1-010,IS,LTCUSDT,5.5,110,104,6,0.05454545454545454,81.6313,102.9991,21.367800000000003
v1-010,IS,DOTUSDT,5.5,124,115,9,0.07258064516129033,8.809099999999999,11.8029,2.9938000000000002
v1-010,IS,PORTFOLIO,5.5,663,627,36,0.05429864253393665,132.7219,167.1025,34.38059999999999
v1-010,IS,BTCUSDT,6.0,132,129,3,0.022727272727272728,-19.320100000000004,-18.029000000000003,1.2911000000000001
v1-010,IS,ETHUSDT,6.0,145,140,5,0.034482758620689655,-2.0359999999999943,-7.5014999999999965,-5.465500000000002
v1-010,IS,LINKUSDT,6.0,152,146,6,0.039473684210526314,63.637600000000006,84.11869999999999,20.481099999999984
v1-010,IS,LTCUSDT,6.0,110,106,4,0.03636363636363636,81.6313,94.0074,12.376100000000008
v1-010,IS,DOTUSDT,6.0,124,119,5,0.04032258064516129,8.809099999999999,10.479699999999998,1.6705999999999985
v1-010,IS,PORTFOLIO,6.0,663,640,23,0.03469079939668175,132.7219,163.07529999999997,30.353399999999965
v1-010,IS,BTCUSDT,6.5,132,129,3,0.022727272727272728,-19.320100000000004,-18.029000000000003,1.2911000000000001
v1-010,IS,ETHUSDT,6.5,145,141,4,0.027586206896551724,-2.0359999999999943,-9.314999999999998,-7.2790000000000035
v1-010,IS,LINKUSDT,6.5,152,146,6,0.039473684210526314,63.637600000000006,84.11869999999999,20.481099999999984
v1-010,IS,LTCUSDT,6.5,110,107,3,0.02727272727272727,81.6313,86.8553,5.224000000000004
v1-010,IS,DOTUSDT,6.5,124,120,4,0.03225806451612903,8.809099999999999,11.8613,3.052200000000001
v1-010,IS,PORTFOLIO,6.5,663,643,20,0.030165912518853696,132.7219,155.49130000000002,22.76940000000002
v1-010,IS,BTCUSDT,7.0,132,132,0,0.0,-19.320100000000004,-19.320100000000004,0.0
v1-010,IS,ETHUSDT,7.0,145,143,2,0.013793103448275862,-2.0359999999999943,0.8691000000000049,2.905099999999999
v1-010,IS,LINKUSDT,7.0,152,147,5,0.03289473684210526,63.637600000000006,76.9529,13.315299999999993
v1-010,IS,LTCUSDT,7.0,110,107,3,0.02727272727272727,81.6313,86.8553,5.224000000000004
v1-010,IS,DOTUSDT,7.0,124,123,1,0.008064516129032258,8.809099999999999,8.336,-0.47309999999999874
v1-010,IS,PORTFOLIO,7.0,663,652,11,0.016591251885369532,132.7219,153.6932,20.971299999999985
v1-010,IS,BTCUSDT,7.5,132,132,0,0.0,-19.320100000000004,-19.320100000000004,0.0
v1-010,IS,ETHUSDT,7.5,145,143,2,0.013793103448275862,-2.0359999999999943,0.8691000000000049,2.905099999999999
v1-010,IS,LINKUSDT,7.5,152,147,5,0.03289473684210526,63.637600000000006,76.9529,13.315299999999993
v1-010,IS,LTCUSDT,7.5,110,108,2,0.01818181818181818,81.6313,80.2677,-1.363599999999991
v1-010,IS,DOTUSDT,7.5,124,124,0,0.0,8.809099999999999,8.809099999999999,0.0
v1-010,IS,PORTFOLIO,7.5,663,654,9,0.013574660633484163,132.7219,147.57870000000003,14.856800000000021
v1-010,IS,BTCUSDT,8.0,132,132,0,0.0,-19.320100000000004,-19.320100000000004,0.0
v1-010,IS,ETHUSDT,8.0,145,144,1,0.006896551724137931,-2.0359999999999943,-0.09059999999999668,1.9453999999999976
v1-010,IS,LINKUSDT,8.0,152,147,5,0.03289473684210526,63.637600000000006,76.9529,13.315299999999993
v1-010,IS,LTCUSDT,8.0,110,110,0,0.0,81.6313,81.6313,0.0
v1-010,IS,DOTUSDT,8.0,124,124,0,0.0,8.809099999999999,8.809099999999999,0.0
v1-010,IS,PORTFOLIO,8.0,663,657,6,0.00904977375565611,132.7219,147.9826,15.260699999999986
v1-010,IS,BTCUSDT,9.0,132,132,0,0.0,-19.320100000000004,-19.320100000000004,0.0
v1-010,IS,ETHUSDT,9.0,145,145,0,0.0,-2.0359999999999943,-2.0359999999999943,0.0
v1-010,IS,LINKUSDT,9.0,152,149,3,0.019736842105263157,63.637600000000006,70.1866,6.548999999999992
v1-010,IS,LTCUSDT,9.0,110,110,0,0.0,81.6313,81.6313,0.0
v1-010,IS,DOTUSDT,9.0,124,124,0,0.0,8.809099999999999,8.809099999999999,0.0
v1-010,IS,PORTFOLIO,9.0,663,660,3,0.004524886877828055,132.7219,139.2709,6.549000000000007
v1-010,OOS,BTCUSDT,5.5,38,38,0,0.0,30.2253,30.2253,0.0
v1-010,OOS,ETHUSDT,5.5,39,38,1,0.02564102564102564,-14.100599999999996,-14.156199999999997,-0.055600000000000094
v1-010,OOS,LINKUSDT,5.5,48,44,4,0.08333333333333333,41.442400000000006,44.405899999999995,2.963499999999989
v1-010,OOS,LTCUSDT,5.5,37,37,0,0.0,-27.5357,-27.5357,0.0
v1-010,OOS,DOTUSDT,5.5,48,46,2,0.041666666666666664,4.9504,2.4156999999999993,-2.534700000000001
v1-010,OOS,PORTFOLIO,5.5,210,203,7,0.03333333333333333,34.9818,35.355000000000004,0.3732000000000042
v1-010,OOS,BTCUSDT,6.0,38,38,0,0.0,30.2253,30.2253,0.0
v1-010,OOS,ETHUSDT,6.0,39,38,1,0.02564102564102564,-14.100599999999996,-14.156199999999997,-0.055600000000000094
v1-010,OOS,LINKUSDT,6.0,48,48,0,0.0,41.442400000000006,41.442400000000006,0.0
v1-010,OOS,LTCUSDT,6.0,37,37,0,0.0,-27.5357,-27.5357,0.0
v1-010,OOS,DOTUSDT,6.0,48,48,0,0.0,4.9504,4.9504,0.0
v1-010,OOS,PORTFOLIO,6.0,210,209,1,0.004761904761904762,34.9818,34.9262,-0.05559999999999832
v1-010,OOS,BTCUSDT,6.5,38,38,0,0.0,30.2253,30.2253,0.0
v1-010,OOS,ETHUSDT,6.5,39,38,1,0.02564102564102564,-14.100599999999996,-14.156199999999997,-0.055600000000000094
v1-010,OOS,LINKUSDT,6.5,48,48,0,0.0,41.442400000000006,41.442400000000006,0.0
v1-010,OOS,LTCUSDT,6.5,37,37,0,0.0,-27.5357,-27.5357,0.0
v1-010,OOS,DOTUSDT,6.5,48,48,0,0.0,4.9504,4.9504,0.0
v1-010,OOS,PORTFOLIO,6.5,210,209,1,0.004761904761904762,34.9818,34.9262,-0.05559999999999832
v1-010,OOS,BTCUSDT,7.0,38,38,0,0.0,30.2253,30.2253,0.0
v1-010,OOS,ETHUSDT,7.0,39,38,1,0.02564102564102564,-14.100599999999996,-14.156199999999997,-0.055600000000000094
v1-010,OOS,LINKUSDT,7.0,48,48,0,0.0,41.442400000000006,41.442400000000006,0.0
v1-010,OOS,LTCUSDT,7.0,37,37,0,0.0,-27.5357,-27.5357,0.0
v1-010,OOS,DOTUSDT,7.0,48,48,0,0.0,4.9504,4.9504,0.0
v1-010,OOS,PORTFOLIO,7.0,210,209,1,0.004761904761904762,34.9818,34.9262,-0.05559999999999832
v1-010,OOS,BTCUSDT,7.5,38,38,0,0.0,30.2253,30.2253,0.0
v1-010,OOS,ETHUSDT,7.5,39,39,0,0.0,-14.100599999999996,-14.100599999999996,0.0
v1-010,OOS,LINKUSDT,7.5,48,48,0,0.0,41.442400000000006,41.442400000000006,0.0
v1-010,OOS,LTCUSDT,7.5,37,37,0,0.0,-27.5357,-27.5357,0.0
v1-010,OOS,DOTUSDT,7.5,48,48,0,0.0,4.9504,4.9504,0.0
v1-010,OOS,PORTFOLIO,7.5,210,210,0,0.0,34.9818,34.9818,0.0
v1-010,OOS,BTCUSDT,8.0,38,38,0,0.0,30.2253,30.2253,0.0
v1-010,OOS,ETHUSDT,8.0,39,39,0,0.0,-14.100599999999996,-14.100599999999996,0.0
v1-010,OOS,LINKUSDT,8.0,48,48,0,0.0,41.442400000000006,41.442400000000006,0.0
v1-010,OOS,LTCUSDT,8.0,37,37,0,0.0,-27.5357,-27.5357,0.0
v1-010,OOS,DOTUSDT,8.0,48,48,0,0.0,4.9504,4.9504,0.0
v1-010,OOS,PORTFOLIO,8.0,210,210,0,0.0,34.9818,34.9818,0.0
v1-010,OOS,BTCUSDT,9.0,38,38,0,0.0,30.2253,30.2253,0.0
v1-010,OOS,ETHUSDT,9.0,39,39,0,0.0,-14.100599999999996,-14.100599999999996,0.0
v1-010,OOS,LINKUSDT,9.0,48,48,0,0.0,41.442400000000006,41.442400000000006,0.0
v1-010,OOS,LTCUSDT,9.0,37,37,0,0.0,-27.5357,-27.5357,0.0
v1-010,OOS,DOTUSDT,9.0,48,48,0,0.0,4.9504,4.9504,0.0
v1-010,OOS,PORTFOLIO,9.0,210,210,0,0.0,34.9818,34.9818,0.0
