roster,half,symbol,natr_bucket,n_trades,wr,mean_net_pnl_pct,sum_weighted_pnl
baseline,OOS,DOTUSDT,2.5-3,8,0.125,-3.055425,-7.1236999999999995
baseline,OOS,DOTUSDT,3-3.5,14,0.35714285714285715,-0.3312571428571428,-3.3589
baseline,OOS,DOTUSDT,3.5-4,7,0.42857142857142855,0.4753571428571429,-2.7945
baseline,OOS,DOTUSDT,4-5,10,0.4,-0.74839,1.4102000000000001
baseline,OOS,DOTUSDT,>5,5,0.8,6.37756,8.928700000000001
v1-010,IS,BTCUSDT,<2.5,97,0.3917525773195876,0.10856494845360821,9.456800000000001
v1-010,IS,BTCUSDT,2.5-3,12,0.3333333333333333,-0.9126083333333334,-9.1152
v1-010,IS,BTCUSDT,3-3.5,12,0.25,-2.476808333333333,-16.2795
v1-010,IS,BTCUSDT,3.5-4,4,0.5,1.5945,2.1048
v1-010,IS,BTCUSDT,4-5,3,0.0,-3.8222666666666663,-3.7159999999999997
v1-010,IS,BTCUSDT,>5,4,0.25,-2.2310499999999998,-1.7710000000000001
v1-010,IS,ETHUSDT,<2.5,57,0.42105263157894735,0.4094385964912281,6.728800000000001
v1-010,IS,ETHUSDT,2.5-3,26,0.2692307692307692,-0.8642115384615384,-21.0497
v1-010,IS,ETHUSDT,3-3.5,27,0.37037037037037035,-0.30497407407407406,-8.2231
v1-010,IS,ETHUSDT,3.5-4,13,0.07692307692307693,-2.9038999999999997,-21.6068
v1-010,IS,ETHUSDT,4-5,13,0.3076923076923077,0.4572000000000003,20.3622
v1-010,IS,ETHUSDT,>5,9,0.4444444444444444,2.1974666666666667,21.7526
v1-010,IS,LINKUSDT,<2.5,15,0.4,0.30985333333333337,1.5335999999999994
v1-010,IS,LINKUSDT,2.5-3,25,0.56,0.9975040000000002,16.465600000000002
v1-010,IS,LINKUSDT,3-3.5,22,0.45454545454545453,1.2437500000000001,8.205
v1-010,IS,LINKUSDT,3.5-4,24,0.2916666666666667,-1.2906666666666666,-5.594099999999998
v1-010,IS,LINKUSDT,4-5,41,0.4878048780487805,2.082726829268293,56.8945
v1-010,IS,LINKUSDT,>5,25,0.28,-3.161436,-13.866999999999997
v1-010,IS,LTCUSDT,<2.5,31,0.45161290322580644,0.31456774193548387,16.530100000000004
v1-010,IS,LTCUSDT,2.5-3,26,0.46153846153846156,0.8505076923076923,13.2183
v1-010,IS,LTCUSDT,3-3.5,14,0.5,1.2625285714285714,13.6048
v1-010,IS,LTCUSDT,3.5-4,12,0.5,1.7362583333333335,11.405899999999997
v1-010,IS,LTCUSDT,4-5,17,0.5294117647058824,1.7906588235294114,37.2381
v1-010,IS,LTCUSDT,>5,10,0.4,-2.08384,-10.365899999999996
v1-010,IS,DOTUSDT,<2.5,37,0.3783783783783784,-0.39004054054054044,7.525599999999998
v1-010,IS,DOTUSDT,2.5-3,25,0.56,1.490524,12.218099999999998
v1-010,IS,DOTUSDT,3-3.5,14,0.5714285714285714,2.39195,8.960099999999997
v1-010,IS,DOTUSDT,3.5-4,11,0.2727272727272727,-3.6600090909090905,-15.437899999999999
v1-010,IS,DOTUSDT,4-5,22,0.4090909090909091,-1.057813636363637,-8.464499999999997
v1-010,IS,DOTUSDT,>5,15,0.4666666666666667,1.6799466666666665,4.0077
v1-010,OOS,BTCUSDT,<2.5,32,0.40625,0.8291999999999999,9.000199999999996
v1-010,OOS,BTCUSDT,2.5-3,6,0.6666666666666666,3.0579666666666667,21.225099999999998
v1-010,OOS,ETHUSDT,<2.5,15,0.26666666666666666,-0.9417866666666667,-5.0499
v1-010,OOS,ETHUSDT,2.5-3,9,0.3333333333333333,-0.20314444444444446,-3.3540999999999994
v1-010,OOS,ETHUSDT,3-3.5,6,0.5,2.2944833333333334,4.2757000000000005
v1-010,OOS,ETHUSDT,3.5-4,5,0.4,-1.9880600000000002,-9.9532
v1-010,OOS,ETHUSDT,4-5,3,0.6666666666666666,0.16569999999999988,-0.07469999999999999
v1-010,OOS,ETHUSDT,>5,1,1.0,0.2737,0.0556
v1-010,OOS,LINKUSDT,<2.5,6,0.5,2.0069333333333335,4.1584
v1-010,OOS,LINKUSDT,2.5-3,10,0.5,1.7569000000000004,10.940700000000001
v1-010,OOS,LINKUSDT,3-3.5,6,0.6666666666666666,4.16715,17.790100000000002
v1-010,OOS,LINKUSDT,3.5-4,11,0.45454545454545453,1.9440818181818178,11.4909
v1-010,OOS,LINKUSDT,4-5,7,0.7142857142857143,3.0528857142857144,7.517400000000001
v1-010,OOS,LINKUSDT,>5,8,0.5,-2.0563124999999998,-10.455100000000002
v1-010,OOS,LTCUSDT,<2.5,18,0.3333333333333333,-0.4915833333333333,-0.8086999999999976
v1-010,OOS,LTCUSDT,2.5-3,6,0.5,0.1841666666666666,0.7018000000000006
v1-010,OOS,LTCUSDT,3-3.5,5,0.4,-2.46092,-5.130300000000001
v1-010,OOS,LTCUSDT,3.5-4,4,0.5,-3.06025,-12.747700000000002
v1-010,OOS,LTCUSDT,4-5,4,0.25,-2.808775,-9.5508
v1-010,OOS,DOTUSDT,<2.5,3,0.6666666666666666,4.191033333333333,4.4687
v1-010,OOS,DOTUSDT,2.5-3,15,0.4666666666666667,1.0734200000000003,2.7072000000000003
v1-010,OOS,DOTUSDT,3-3.5,12,0.16666666666666666,-3.3055999999999996,-9.253499999999999
v1-010,OOS,DOTUSDT,3.5-4,5,0.8,7.65784,5.753599999999999
v1-010,OOS,DOTUSDT,4-5,9,0.4444444444444444,-2.480211111111112,-1.7026
v1-010,OOS,DOTUSDT,>5,4,0.75,6.03955,2.9770000000000003
