symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time
MKRUSDT,1,629.800000,598.270372,0.9300,1686441599999,1686470399999,stop_loss,-5.0063,0.1000,-5.1063,-4.7489,598.270372,692.859255,1687046399999
TRXUSDT,1,0.069060,0.070450,0.9800,1686499199999,1687104000000,timeout,2.0127,0.1000,1.9127,1.8745,0.066182,0.074817,1687103999999
MKRUSDT,1,628.400000,691.444205,0.8700,1686614399999,1687190399999,take_profit,10.0325,0.1000,9.9325,8.6413,596.877898,691.444205,1687219199999
TRXUSDT,1,0.068950,0.073228,0.7300,1687247999999,1687420799999,take_profit,6.2041,0.1000,6.1041,4.4560,0.066811,0.073228,1687852799999
MKRUSDT,1,740.200000,709.786223,0.7400,1687334399999,1687593599999,stop_loss,-4.1089,0.1000,-4.2089,-3.1146,709.786223,801.027554,1687939199999
TRXUSDT,-1,0.073100,0.075257,0.7300,1687564799999,1687881599999,stop_loss,-2.9507,0.1000,-3.0507,-2.2270,0.075257,0.068786,1688169599999
MKRUSDT,1,688.300000,759.088137,0.9400,1687823999999,1688140799999,take_profit,10.2845,0.1000,10.1845,9.5734,652.905931,759.088137,1688428799999
MKRUSDT,1,851.300000,955.615877,1.0000,1688313599999,1688428799999,take_profit,12.2537,0.1000,12.1537,12.1537,799.142062,955.615877,1688918399999
MKRUSDT,-1,917.000000,996.952051,1.0000,1688601599999,1688630399999,stop_loss,-8.7189,0.1000,-8.8189,-8.8189,996.952051,757.095897,1689206399999
TRXUSDT,-1,0.077350,0.079165,0.4000,1688659199999,1688745599999,stop_loss,-2.3465,0.1000,-2.4465,-0.9786,0.079165,0.073720,1689263999999
TRXUSDT,-1,0.078630,0.080412,0.3500,1688918399999,1689292799999,stop_loss,-2.2660,0.1000,-2.3660,-0.8281,0.080412,0.075066,1689523199999
MKRUSDT,-1,943.300000,865.700000,0.9700,1688774399999,1689379200000,timeout,8.2264,0.1000,8.1264,7.8826,1027.524155,774.851691,1689379199999
BCHUSDT,1,276.100000,251.814521,0.8400,1689004799999,1689407999999,stop_loss,-8.7959,0.1000,-8.8959,-7.4726,251.814521,324.670958,1689609599999
BCHUSDT,1,251.410000,232.585203,0.6600,1689580799999,1689695999999,stop_loss,-7.4877,0.1000,-7.5877,-5.0079,232.585203,289.059595,1690185599999
MKRUSDT,1,961.900000,891.832865,0.8600,1689580799999,1689724799999,stop_loss,-7.2842,0.1000,-7.3842,-6.3504,891.832865,1102.034271,1690185599999
MKRUSDT,1,1018.800000,1150.506040,0.7700,1689868799999,1689926399999,take_profit,12.9276,0.1000,12.8276,9.8772,952.946980,1150.506040,1690473599999
TRXUSDT,-1,0.080660,0.082601,0.6400,1689436799999,1690012799999,stop_loss,-2.4065,0.1000,-2.5065,-1.6042,0.082601,0.076778,1690041599999
MKRUSDT,-1,1109.500000,1183.574942,0.8700,1690070399999,1690300799999,stop_loss,-6.6764,0.1000,-6.7764,-5.8955,1183.574942,961.350115,1690675199999
BCHUSDT,1,246.780000,246.430000,0.6100,1689839999999,1690444800000,timeout,-0.1418,0.1000,-0.2418,-0.1475,230.101979,280.136042,1690444799999
MKRUSDT,-1,1164.100000,1243.872538,0.9100,1690502399999,1690646399999,stop_loss,-6.8527,0.1000,-6.9527,-6.3270,1243.872538,1004.554924,1691107199999
MKRUSDT,1,1274.400000,1196.303100,0.8400,1690790399999,1690876799999,stop_loss,-6.1281,0.1000,-6.2281,-5.2316,1196.303100,1430.593800,1691395199999
BCHUSDT,-1,227.060000,237.598880,0.4400,1691164799999,1691423999999,stop_loss,-4.6415,0.1000,-4.7415,-2.0862,237.598880,205.982241,1691769599999
BCHUSDT,-1,236.450000,225.860000,0.4900,1691567999999,1692172800000,timeout,4.4787,0.1000,4.3787,2.1456,247.566632,214.216735,1692172799999
MKRUSDT,-1,1092.500000,1000.300000,0.4800,1692374399999,1692979200000,timeout,8.4394,0.1000,8.3394,4.0029,1154.535699,968.428602,1692979199999
MKRUSDT,1,1154.200000,1092.982711,0.4900,1693526399999,1693612799999,stop_loss,-5.3039,0.1000,-5.4039,-2.6479,1092.982711,1276.634578,1694131199999
BCHUSDT,-1,217.960000,196.495397,0.4700,1693382399999,1693699199999,take_profit,9.8480,0.1000,9.7480,4.5815,228.692302,196.495397,1693987199999
TRXUSDT,-1,0.080690,0.082229,0.6300,1694563199999,1694707199999,stop_loss,-1.9076,0.1000,-2.0076,-1.2648,0.082229,0.077611,1695167999999
BCHUSDT,-1,215.740000,209.140000,0.6000,1694764799999,1695369600000,timeout,3.0592,0.1000,2.9592,1.7755,226.006252,195.207497,1695369599999
TRXUSDT,-1,0.083740,0.083410,0.6200,1694851199999,1695456000000,timeout,0.3941,0.1000,0.2941,0.1823,0.085323,0.080573,1695455999999
MKRUSDT,-1,1346.700000,1397.382792,0.3600,1695254399999,1695772799999,stop_loss,-3.7635,0.1000,-3.8635,-1.3909,1397.382792,1245.334416,1695859199999
TRXUSDT,-1,0.084330,0.085665,0.3500,1695628799999,1695830399999,stop_loss,-1.5828,0.1000,-1.6828,-0.5890,0.085665,0.081660,1696233599999
MKRUSDT,-1,1513.800000,1573.887594,0.7300,1695916799999,1695974399999,stop_loss,-3.9693,0.1000,-4.0693,-2.9706,1573.887594,1393.624812,1696521599999
TRXUSDT,-1,0.088440,0.089841,0.5300,1695974399999,1696204799999,stop_loss,-1.5841,0.1000,-1.6841,-0.8925,0.089841,0.085638,1696579199999
BCHUSDT,-1,237.120000,246.677599,0.5400,1695887999999,1696262399999,stop_loss,-4.0307,0.1000,-4.1307,-2.2306,246.677599,218.004802,1696492799999
MKRUSDT,-1,1532.700000,1400.493223,0.8100,1696118399999,1696291199999,take_profit,8.6257,0.1000,8.5257,6.9059,1598.803388,1400.493223,1696723199999
BCHUSDT,1,229.150000,218.008703,0.8900,1696492799999,1696867199999,stop_loss,-4.8620,0.1000,-4.9620,-4.4162,218.008703,251.432593,1697097599999
TRXUSDT,1,0.088150,0.086445,0.8900,1696694399999,1696867199999,stop_loss,-1.9342,0.1000,-2.0342,-1.8104,0.086445,0.091560,1697299199999
MKRUSDT,1,1406.000000,1379.500000,0.8700,1696435199999,1697040000000,timeout,-1.8848,0.1000,-1.9848,-1.7268,1331.929136,1554.141729,1697039999999
MKRUSDT,1,1364.800000,1480.040852,0.5400,1697183999999,1697443199999,take_profit,8.4438,0.1000,8.3438,4.5056,1307.179574,1480.040852,1697788799999
BCHUSDT,1,213.190000,233.431518,0.5300,1697011199999,1697471999999,take_profit,9.4946,0.1000,9.3946,4.9791,203.069241,233.431518,1697615999999
