timestamp,price_pnl,long_price_pnl,short_price_pnl,funding_pnl,long_funding_pnl,short_funding_pnl,forced_exit_boundary_funding_pnl,fees,slippage,net_return,turnover,gross_exposure,net_exposure,long_exposure,short_exposure,requested_notional,unfilled_notional,forced_exit_requested_notional,forced_exit_unfilled_notional,forced_exit_turnover,conservative_settlement_notional,conservative_settlement_loss,terminal_unresolved_notional,risk_reduction_turnover,risk_cap_breach,risk_cap_required_scale,equity,risk_policy_id,risk_policy_turnover,risk_policy_gross_scale,risk_policy_drawdown,risk_policy_annualized_volatility,risk_policy_reasons
2020-08-22T16:00:00Z,-0.0003932183659657439,0.0017251412326521345,-0.002118359598617879,-1.6393853732111011e-05,-3.8278917905854646e-05,2.1885064173743635e-05,-0,0,0,-0.00040961221969785497,0,0.27392485665399446,0.04142013183266656,0.15767249424333049,0.11625236241066392,0,0,0,0,0,0,0,0,0,False,1,102752.38316072422,team-03-v3-controlled,0,1,0.010065573148696938,0.081576665036312404,cooldown_or_reentry_block
2020-08-23T00:00:00Z,0.00017678112629054485,0.00040307213871120152,-0.0002262910124206567,-1.2021442650604079e-05,-4.0058255773459116e-05,2.8036813122855039e-05,-0,9.4547699670983288e-05,4.7273849835491644e-05,2.2938134133465846e-05,0.18909539934196656,0.22225374297135891,0.044450748594271769,0.13335224578281535,0.088901497188543566,19430.002927115907,0,0,0,0,0,0,0,0,False,1,102754.74010867169,team-03-v3-controlled,0.069009598320519241,1,0.010466735688411166,0.081456876978039175,time_stop+cooldown_or_reentry_block
2020-08-23T08:00:00Z,-0.00061492162037624727,-0.00042057404479756811,-0.00019434757557867922,6.06324131935076e-06,-1.6888555942888034e-05,2.2951797262238796e-05,-0,0,0,-0.00060885837905689654,0,0.2227161932689857,0.044545745695025375,0.13363096948200553,0.089085223786980167,0,0,0,0,0,0,0,0,0,False,1,102692.1770241687,team-03-v3-controlled,0,1,0.010426141619679252,0.081066266721495028,cooldown_or_reentry_block
2020-08-23T16:00:00Z,-0.0006672948722642319,0.00028222877745572646,-0.00094952364971995836,-1.3385332307901765e-06,-2.2998158108136151e-05,2.165962487734597e-05,-0,0,0,-0.00066863340549502207,0,0.22266290969488145,0.044014317152389001,0.13333861342363523,0.089324296271246217,0,0,0,0,0,0,0,0,0,False,1,102623.51360412734,team-03-v3-controlled,0,1,0.011035972053620946,0.081076085430876771,cooldown_or_reentry_block
2020-08-24T00:00:00Z,0.0012697523149569213,0.0019455790968953392,-0.00067582678193841758,-1.9930138149546613e-06,-3.2617150757124161e-05,3.0624136942169495e-05,-0,5.8603986083714934e-05,2.9301993041857467e-05,0.0011798533220163943,0.11720797216742987,0.24446593450460991,-0.022224175864055444,0.11112087932027723,0.13334505518433268,12028.293926236418,0,0,0,0,0,0,0,0,False,1,102744.59429757016,team-03-v3-controlled,0.021899563926988306,1,0.011697873265381187,0.081134566350687123,time_stop+cooldown_or_reentry_block
2020-08-24T08:00:00Z,0.0073878550532664134,0.0039288223513159141,0.0034590327019504994,1.6785027284044188e-05,-4.4088148231891411e-05,6.0873175515935598e-05,-0,0,0,0.0074046400805504575,0,0.2466913020358088,-0.02088604929457194,0.11290262637061843,0.13378867566519037,0,0,0,0,0,0,0,0,0,False,1,103505.38103856584,team-03-v3-controlled,0,1,0.010513241406848728,0.080443535535811891,cooldown_or_reentry_block
2020-08-24T16:00:00Z,-0.0010870683849761654,-0.0016726733429317782,0.00058560495795561217,2.148522828585804e-05,-3.2453182287195527e-05,5.393841057305356e-05,-0,0,0,-0.0010655831566903074,0,0.24531366249933256,-0.013519431355402886,0.11589711557196485,0.12941654692736773,0,0,0,0,0,0,0,0,0,False,1,103395.08744790434,team-03-v3-controlled,0,1,0.0031817629495808353,0.084213293304362821,cooldown_or_reentry_block
2020-08-25T00:00:00Z,0.0028246602365758727,-0.0029352795283464246,0.0057599397649222969,5.8027744945153658e-05,-2.1105198904666851e-05,7.9132943849820513e-05,-0,9.302625905705547e-05,4.6513129528527735e-05,0.0027431485929354429,0.18605251811411094,0.2889292035539282,-0.022225323350302167,0.13335194010181303,0.1555772634521152,19236.916380311308,0,0,0,0,0,0,0,0,False,1,103678.7155365535,team-03-v3-controlled,0.022046171234279061,1,0.0042075690232006302,0.083900513417609859,time_stop+cooldown_or_reentry_block
2020-08-25T08:00:00Z,0.00066473316871085153,-0.0040368265445617979,0.0047015597132726494,1.8765002455670962e-05,-2.769807438228683e-05,4.6463076837957796e-05,-0,0,0,0.00068349817116652241,0,0.27930527197737776,-0.019339942470276955,0.12998266475355041,0.14932260722382737,0,0,0,0,0,0,0,0,0,False,1,103749.57974901162,team-03-v3-controlled,0,1,0.0015151649346343277,0.08421183859994491,cooldown_or_reentry_block
2020-08-25T16:00:00Z,0.00021950722205267448,-0.0024335394764300471,0.0026530466984827222,1.2745798284807377e-05,-2.4688199396335944e-05,3.7433997681143326e-05,-0,1.0417844047610842e-05,5.2089220238054209e-06,0.00021662625426606562,0.020835688095221683,0.24978343615249912,-0.039490036267112824,0.10514669994269314,0.14463673620980597,2161.6938836607342,0,0,0,0,0,0,0,0,False,1,103772.05463185433,team-03-v3-controlled,0.020835688095221683,1,0.00083871645504063341,0.084177371158415087,position_stop+cooldown_or_reentry_block
