symbol,trade_idx,close_time,weighted_pnl,cumulative_wpnl,running_peak,drawdown_abs,drawdown_norm
BCHUSDT,40,1694217600000,1.6005,-12.229499999999996,9.5524,21.781899999999997,0.3706188522707356
BCHUSDT,41,1694851199999,-2.1667,-14.396199999999997,9.5524,23.9486,0.4074852352407705
BCHUSDT,42,1695052799999,-1.6943,-16.090499999999995,9.5524,25.642899999999997,0.43631373603281837
BCHUSDT,43,1695628799999,3.1746,-12.915899999999995,9.5524,22.468299999999996,0.38229794271732803
BCHUSDT,44,1696262399999,-2.2529,-15.168799999999996,9.5524,24.721199999999996,0.4206310179899508
BCHUSDT,45,1696867199999,-2.7989,-17.967699999999997,9.5524,27.5201,0.46825427884509024
BCHUSDT,46,1697443199999,3.4174,-14.550299999999996,9.5524,24.1027,0.4101072454940046
BCHUSDT,47,1697788799999,-1.8878,-16.438099999999995,9.5524,25.990499999999997,0.44222814722051584
BCHUSDT,48,1698451199999,0.0,-16.438099999999995,9.5524,25.990499999999997,0.44222814722051584
BCHUSDT,49,1698940799999,-2.0604,-18.498499999999996,9.5524,28.0509,0.47728583655058454
BCHUSDT,50,1700006399999,6.7951,-11.703399999999997,9.5524,21.255799999999997,0.3616672650272153
BCHUSDT,51,1700611199999,5.1269,-6.576499999999997,9.5524,16.128899999999998,0.2744331030070594
BCHUSDT,52,1701964799999,-2.8275,-9.403999999999996,9.5524,18.956399999999995,0.3225429926308068
BCHUSDT,53,1702886399999,-3.0542,-12.458199999999996,9.5524,22.010599999999997,0.37451018092040883
BCHUSDT,54,1703923199999,7.7675,-4.690699999999996,9.5524,14.243099999999997,0.2423462312643669
BCHUSDT,55,1704297599999,8.3006,3.609900000000003,9.5524,5.942499999999997,0.10111158942143915
BCHUSDT,56,1704700799999,-4.5817,-0.9717999999999964,9.5524,10.524199999999997,0.17906917785260582
BCHUSDT,57,1705276799999,9.7877,8.815900000000003,9.5524,0.7364999999999977,0.012531541541251955
BCHUSDT,58,1708444799999,0.0,8.815900000000003,9.5524,0.7364999999999977,0.012531541541251955
BCHUSDT,59,1709135999999,0.0,8.815900000000003,9.5524,0.7364999999999977,0.012531541541251955
BCHUSDT,60,1709366399999,0.0,8.815900000000003,9.5524,0.7364999999999977,0.012531541541251955
BCHUSDT,61,1712303999999,11.8429,20.658800000000003,20.658800000000003,0.0,0.0
BCHUSDT,62,1712764799999,8.8218,29.480600000000003,29.480600000000003,0.0,0.0
BCHUSDT,63,1712966399999,7.7088,37.189400000000006,37.189400000000006,0.0,0.0
BCHUSDT,64,1713196799999,-6.8419,30.347500000000007,37.189400000000006,6.841899999999999,0.11641487314472777
BCHUSDT,65,1714003200000,2.7333,33.08080000000001,37.189400000000006,4.108599999999996,0.06990779575884302
BCHUSDT,66,1718294399999,-1.0809,31.99990000000001,37.189400000000006,5.189499999999995,0.0882993005136825
BCHUSDT,67,1718726399999,-2.0566,29.94330000000001,37.189400000000006,7.246099999999995,0.12329233287449559
BCHUSDT,68,1718985599999,-1.5619,28.38140000000001,37.189400000000006,8.807999999999996,0.14986804873774273
BCHUSDT,69,1719302399999,2.8964,31.27780000000001,37.189400000000006,5.911599999999996,0.10058582617143956
BCHUSDT,70,1719590399999,3.5099,34.78770000000001,37.189400000000006,2.401699999999998,0.04086490606873712
BCHUSDT,71,1721750400000,3.3689,38.15660000000001,38.15660000000001,0.0,0.0
BCHUSDT,72,1722614399999,6.3074,44.46400000000001,44.46400000000001,0.0,0.0
BCHUSDT,73,1723795200000,2.4412,46.905200000000015,46.905200000000015,0.0,0.0
BCHUSDT,74,1726963199999,0.0,46.905200000000015,46.905200000000015,0.0,0.0
BCHUSDT,75,1727827199999,-1.8167,45.08850000000002,46.905200000000015,1.8166999999999973,0.03091113580175487
BCHUSDT,76,1728576000000,1.4231,46.511600000000016,46.905200000000015,0.3935999999999993,0.0066971008155285484
BCHUSDT,77,1729238399999,5.4609,51.97250000000002,51.97250000000002,0.0,0.0
BCHUSDT,78,1731196799999,6.7992,58.77170000000002,58.77170000000002,0.0,0.0
BCHUSDT,79,1732348799999,0.0,58.77170000000002,58.77170000000002,0.0,0.0
BCHUSDT,80,1733097600000,0.0,58.77170000000002,58.77170000000002,0.0,0.0
BCHUSDT,81,1733788799999,-4.2746,54.49710000000002,58.77170000000002,4.2745999999999995,0.07273228441579874
BCHUSDT,82,1734508799999,-5.9171,48.58000000000002,58.77170000000002,10.191699999999997,0.17341169304273987
BCHUSDT,83,1734710399999,-4.5312,44.04880000000002,58.77170000000002,14.722899999999996,0.25051002438248327
BCHUSDT,84,1735488000000,0.1461,44.19490000000002,58.77170000000002,14.576799999999999,0.24802413406452417
BCHUSDT,85,1741017599999,3.4963,47.691200000000016,58.77170000000002,11.0805,0.18853461785178918
LDOUSDT,0,1728287999999,-1.7822,-1.7822,-1.7822,0.0,0.0
LDOUSDT,1,1728921599999,-1.7291,-3.5113000000000003,-1.7822,1.7291000000000003,0.14832384024155917
LDOUSDT,2,1731542399999,0.0,-3.5113000000000003,-1.7822,1.7291000000000003,0.14832384024155917
LDOUSDT,3,1732521599999,0.0,-3.5113000000000003,-1.7822,1.7291000000000003,0.14832384024155917
LDOUSDT,4,1738483199999,9.3792,5.867900000000001,5.867900000000001,0.0,0.0
LDOUSDT,5,1738713599999,-9.568,-3.700099999999999,5.867900000000001,9.568,0.8207521273675542
LDOUSDT,6,1739433599999,15.3577,11.6576,11.6576,0.0,0.0
LDOUSDT,7,1739923199999,-2.3476,9.31,11.6576,2.3476,0.20137935767224813
LDOUSDT,8,1740729599999,-3.641,5.6690000000000005,11.6576,5.9886,0.5137077957727147
TRXUSDT,0,1643817599999,-1.6644,-1.6644,-1.6644,0.0,0.0
TRXUSDT,1,1644854399999,-1.2394,-2.9038000000000004,-1.6644,1.2394000000000003,0.03739699532612994
TRXUSDT,2,1646121599999,-3.5392,-6.4430000000000005,-1.6644,4.778600000000001,0.14418693066438962
TRXUSDT,3,1646870400000,0.8179,-5.625100000000001,-1.6644,3.9607000000000006,0.11950805178973925
TRXUSDT,4,1648598399999,0.0,-5.625100000000001,-1.6644,3.9607000000000006,0.11950805178973925
TRXUSDT,5,1649087999999,5.3125,-0.31260000000000066,-0.31260000000000066,0.0,0.0
TRXUSDT,6,1654099199999,5.0774,4.764799999999999,4.764799999999999,0.0,0.0
TRXUSDT,7,1654271999999,-2.883,1.8817999999999993,4.764799999999999,2.883,0.08699010612008438
TRXUSDT,8,1665935999999,4.0853,5.967099999999999,5.967099999999999,0.0,0.0
TRXUSDT,9,1669219200000,0.0,5.967099999999999,5.967099999999999,0.0,0.0
TRXUSDT,10,1674086399999,0.0,5.967099999999999,5.967099999999999,0.0,0.0
TRXUSDT,11,1674691199999,0.0,5.967099999999999,5.967099999999999,0.0,0.0
TRXUSDT,12,1674863999999,0.0,5.967099999999999,5.967099999999999,0.0,0.0
TRXUSDT,13,1675382399999,-1.8695,4.0976,5.967099999999999,1.8694999999999995,0.05640929704873316
TRXUSDT,14,1675871999999,-1.5341,2.5635,5.967099999999999,3.4035999999999995,0.10269841317735663
TRXUSDT,15,1676447999999,-2.186,0.37749999999999995,5.967099999999999,5.589599999999999,0.1686576126149232
TRXUSDT,16,1677283199999,-1.8922,-1.5147000000000002,5.967099999999999,7.4818,0.22575184737053325
