symbol,close_time,weighted_pnl,cum_wpnl,peak_30d,dd_30d,period,brake_state,action
BCHUSDT,1702886399999,-3.0542,-12.458199999999996,-6.576499999999997,5.8816999999999995,IS,off,taken
BCHUSDT,1703923199999,7.7675,-4.690699999999996,-4.690699999999996,0.0,IS,off,taken
BCHUSDT,1704297599999,8.3006,3.609900000000003,3.609900000000003,0.0,IS,off,taken
BCHUSDT,1704700799999,-4.5817,-0.9717999999999964,3.609900000000003,4.5817,IS,off,taken
BCHUSDT,1705276799999,9.7877,8.815900000000003,8.815900000000003,0.0,IS,off,taken
BCHUSDT,1708444799999,0.0,8.815900000000003,8.815900000000003,0.0,IS,off,taken
BCHUSDT,1709135999999,0.0,8.815900000000003,8.815900000000003,0.0,IS,off,taken
BCHUSDT,1709366399999,0.0,8.815900000000003,8.815900000000003,0.0,IS,off,taken
BCHUSDT,1712303999999,11.8429,20.658800000000003,20.658800000000003,0.0,IS,off,taken
BCHUSDT,1712764799999,8.8218,29.480600000000003,29.480600000000003,0.0,IS,off,taken
BCHUSDT,1712966399999,7.7088,37.189400000000006,37.189400000000006,0.0,IS,off,taken
BCHUSDT,1713196799999,-6.8419,30.347500000000007,37.189400000000006,6.841899999999999,IS,off,taken
BCHUSDT,1714003200000,2.7333,33.08080000000001,37.189400000000006,4.108599999999996,IS,off,taken
BCHUSDT,1718294399999,-1.0809,31.99990000000001,31.99990000000001,0.0,IS,off,taken
BCHUSDT,1718726399999,-2.0566,29.94330000000001,31.99990000000001,2.0565999999999995,IS,off,taken
BCHUSDT,1718985599999,-1.5619,28.38140000000001,31.99990000000001,3.618500000000001,IS,off,taken
BCHUSDT,1719302399999,2.8964,31.27780000000001,31.99990000000001,0.7221000000000011,IS,off,taken
BCHUSDT,1719590399999,3.5099,34.78770000000001,34.78770000000001,0.0,IS,off,taken
BCHUSDT,1721750400000,3.3689,38.15660000000001,38.15660000000001,0.0,IS,off,taken
BCHUSDT,1722614399999,6.3074,44.46400000000001,44.46400000000001,0.0,IS,off,taken
BCHUSDT,1723795200000,2.4412,46.905200000000015,46.905200000000015,0.0,IS,off,taken
BCHUSDT,1726963199999,0.0,46.905200000000015,46.905200000000015,0.0,IS,off,taken
BCHUSDT,1727827199999,-1.8167,45.08850000000002,46.905200000000015,1.8166999999999973,IS,off,taken
BCHUSDT,1728576000000,1.4231,46.511600000000016,46.905200000000015,0.3935999999999993,IS,off,taken
BCHUSDT,1729238399999,5.4609,51.97250000000002,51.97250000000002,0.0,IS,off,taken
BCHUSDT,1731196799999,6.7992,58.77170000000002,58.77170000000002,0.0,IS,off,taken
BCHUSDT,1732348799999,0.0,58.77170000000002,58.77170000000002,0.0,IS,off,taken
BCHUSDT,1733097600000,0.0,58.77170000000002,58.77170000000002,0.0,IS,off,taken
BCHUSDT,1733788799999,-4.2746,54.49710000000002,58.77170000000002,4.2745999999999995,IS,off,taken
BCHUSDT,1734508799999,-5.9171,48.58000000000002,58.77170000000002,10.191699999999997,IS,off,taken
BCHUSDT,1734710399999,-4.5312,44.04880000000002,58.77170000000002,14.722899999999996,IS,on,skipped
BCHUSDT,1735488000000,0.1461,44.19490000000002,58.77170000000002,14.576799999999999,IS,on,skipped
BCHUSDT,1741017599999,3.4963,47.691200000000016,47.691200000000016,0.0,IS,off,taken
BCHUSDT,1743983999999,2.3311,50.022300000000016,50.022300000000016,0.0,OOS,off,taken
BCHUSDT,1744415999999,6.7304,56.75270000000002,56.75270000000002,0.0,OOS,off,taken
BCHUSDT,1745251199999,-3.632,53.12070000000002,56.75270000000002,3.631999999999998,OOS,off,taken
BCHUSDT,1745510399999,-1.2023,51.91840000000002,56.75270000000002,4.834299999999999,OOS,off,taken
BCHUSDT,1745711999999,-1.7147,50.20370000000002,56.75270000000002,6.5489999999999995,OOS,off,taken
BCHUSDT,1746201599999,-1.8144,48.38930000000002,56.75270000000002,8.363399999999999,OOS,off,taken
BCHUSDT,1747555200000,2.1852,50.57450000000002,53.12070000000002,2.546199999999999,OOS,off,taken
BCHUSDT,1748591999999,5.7163,56.29080000000002,56.29080000000002,0.0,OOS,off,taken
BCHUSDT,1749772799999,-0.9635,55.327300000000015,56.29080000000002,0.9635000000000034,OOS,off,taken
BCHUSDT,1749974399999,-2.3124,53.01490000000002,56.29080000000002,3.2759,OOS,off,taken
BCHUSDT,1750147199999,-2.9213,50.093600000000016,56.29080000000002,6.197200000000002,OOS,off,taken
BCHUSDT,1750348799999,-3.2399,46.85370000000002,56.29080000000002,9.437100000000001,OOS,off,taken
BCHUSDT,1750636799999,6.4007,53.25440000000002,56.29080000000002,3.0364000000000004,OOS,off,taken
BCHUSDT,1750838399999,7.2919,60.546300000000016,60.546300000000016,0.0,OOS,off,taken
BCHUSDT,1751356799999,6.65,67.19630000000002,67.19630000000002,0.0,OOS,off,taken
