model,month,n_actual,n_eff_kish_baseline,n_eff_kish_uniform,n_eff_ratio_baseline_to_uniform
A,2023-07,186,156.96764896196885,186,0.843912091193381
A,2023-08,186,160.23938271284098,186,0.8615020575959192
A,2023-09,180,157.43868064103015,180,0.874659336894612
A,2023-10,186,166.8867096343361,186,0.8972403743781512
A,2023-11,180,162.8298753385574,180,0.9046104185475411
A,2023-12,186,172.3173922863527,186,0.9264375929373801
A,2024-01,186,163.7499837172713,186,0.8803762565444694
A,2024-02,174,160.3470672806006,174,0.9215348694287392
A,2024-03,186,167.3335169793042,186,0.8996425644048612
A,2024-04,180,163.0255807135845,180,0.905697670631025
A,2024-05,186,158.41344350187947,186,0.8516851801176316
A,2024-06,180,163.59210201672528,180,0.9088450112040293
A,2024-07,186,170.08972905669094,186,0.9144609089069405
A,2024-08,186,163.32929246580534,186,0.8781144756226094
A,2024-09,180,163.23366378269583,180,0.9068536876816435
A,2024-10,186,166.74312223911943,186,0.8964683991350507
A,2024-11,180,163.09096194205304,180,0.9060608996780725
A,2024-12,186,165.89096461973588,186,0.8918869065577198
A,2025-01,186,163.51645120113594,186,0.8791207053824512
A,2025-02,168,129.9772860163589,168,0.7736743215259458
A,2025-03,136,98.4101304125074,136,0.7236039000919662
C,2020-01,31,25.943612125953706,31,0.8368907137404421
C,2020-02,87,77.27936436009563,87,0.8882685558631681
C,2020-03,93,76.76007019989193,93,0.8253770989235691
C,2020-04,90,75.14291877482832,90,0.8349213197203146
C,2020-05,93,82.62834483789985,93,0.8884768262139768
C,2020-06,90,82.72442923688794,90,0.9191603248543104
C,2020-07,93,83.26969570895369,93,0.895373072139287
C,2020-08,93,84.76149815997475,93,0.9114139587094059
C,2020-09,90,81.6836025340227,90,0.9075955837113633
C,2020-10,93,80.30049145936856,93,0.8634461447243931
C,2020-11,90,77.49771009787618,90,0.8610856677541798
C,2020-12,93,83.64302159764009,93,0.8993873290068827
C,2021-01,93,80.60366193263563,93,0.8667060422864047
C,2021-02,84,78.11419684479888,84,0.9299309148190343
C,2021-03,93,83.8329220921864,93,0.9014292698084558
C,2021-04,90,80.53116125780151,90,0.8947906806422391
C,2021-05,93,76.31228222996253,93,0.8205621745157262
C,2021-06,90,76.94726843789515,90,0.8549696493099461
C,2021-07,93,87.3367254640784,93,0.9391045748825634
C,2021-08,93,83.24391273938836,93,0.8950958359074017
C,2021-09,90,77.85689479025663,90,0.8650766087806292
C,2021-10,93,79.13230992165859,93,0.8508850529210601
C,2021-11,90,84.07899185245071,90,0.9342110205827857
C,2021-12,93,82.19671767781819,93,0.8838356739550343
C,2022-01,93,85.15059697900156,93,0.9155978169785114
C,2022-02,84,77.60620923757763,84,0.9238834433044956
C,2022-03,93,83.12070840632795,93,0.8937710581325586
C,2022-04,90,82.13964069276209,90,0.9126626743640232
C,2022-05,93,79.51992626920291,93,0.8550529706365905
C,2022-06,90,78.5662791765748,90,0.8729586575174977
C,2022-07,93,80.52517990995587,93,0.8658621495694179
C,2022-08,93,84.30091625508182,93,0.9064614651084066
C,2022-09,90,80.78238992541516,90,0.8975821102823907
C,2022-10,93,85.75538221950124,93,0.9221008840806585
C,2022-11,90,81.49531724603534,90,0.9055035249559482
C,2022-12,93,81.24173380306371,93,0.87356703014047
C,2023-01,93,81.29010498735799,93,0.8740871504016988
C,2023-02,84,77.8543643335889,84,0.9268376706379632
C,2023-03,93,82.26827110263511,93,0.8846050656197324
C,2023-04,90,75.88010701623912,90,0.8431123001804347
C,2023-05,93,81.39051477728671,93,0.8751668255622227
C,2023-06,90,81.44204112286626,90,0.9049115680318474
C,2023-07,93,81.65424635732457,93,0.87800264900349
C,2023-08,93,84.04448816535445,93,0.9037041738210156
C,2023-09,90,85.854498635016,90,0.9539388737224
C,2023-10,93,78.59248684443094,93,0.8450805037035585
C,2023-11,90,73.72541796064078,90,0.8191713106737865
C,2023-12,93,81.83208897462167,93,0.8799149352109857
C,2024-01,93,87.32073289888024,93,0.9389326118159166
C,2024-02,87,78.27264856700516,87,0.899685615712703
C,2024-03,93,81.49158264482541,93,0.8762535768260797
C,2024-04,90,78.65753019070908,90,0.8739725576745454
C,2024-05,93,81.71135237516268,93,0.8786166922060503
C,2024-06,90,84.11488279433398,90,0.9346098088259331
C,2024-07,93,85.50738194594216,93,0.9194342144724963
C,2024-08,93,81.39105820638287,93,0.8751726688858372
C,2024-09,90,82.74520992494354,90,0.9193912213882616
C,2024-10,93,85.36082377508667,93,0.9178583201622222
C,2024-11,90,83.68863460948138,90,0.9298737178831264
C,2024-12,93,84.59079495469364,93,0.9095784403730498
C,2025-01,93,83.22929417955719,93,0.8949386470920128
C,2025-02,84,68.87253381452388,84,0.81991111683957
C,2025-03,68,50.506576523735355,68,0.7427437724078728
D,2020-01,55,48.86690507694626,55,0.8884891832172047
D,2020-02,87,77.28585501358839,87,0.8883431610757286
D,2020-03,93,75.43492639529006,93,0.8111282408095706
D,2020-04,90,82.65144736763895,90,0.9183494151959883
D,2020-05,93,81.94104843128366,93,0.8810865422718673
D,2020-06,90,75.85581925412447,90,0.8428424361569385
D,2020-07,93,85.06983982246386,93,0.9147294604566006
D,2020-08,93,80.07320518544527,93,0.8610022062951105
D,2020-09,90,70.40613161930446,90,0.7822903513256051
D,2020-10,93,87.82001284629045,93,0.9443012134009726
D,2020-11,90,78.28824785415748,90,0.8698694206017498
D,2020-12,93,84.37466011737914,93,0.9072544098642917
D,2021-01,93,80.77985511261832,93,0.8686005926087992
D,2021-02,84,76.18739964213246,84,0.9069928528825293
D,2021-03,93,85.87535153364816,93,0.9233908767058941
D,2021-04,90,82.6333071730976,90,0.9181478574788623
D,2021-05,93,74.15973602392194,93,0.7974165163862574
D,2021-06,90,76.43494130895476,90,0.8492771256550529
D,2021-07,93,83.44281720558155,93,0.8972345936084037
D,2021-08,93,83.6727634378848,93,0.8997071337406968
D,2021-09,90,82.70982903315752,90,0.9189981003684169
D,2021-10,93,83.44021653023334,93,0.8972066293573477
D,2021-11,90,82.24790169549942,90,0.913865574394438
D,2021-12,93,73.22408099994183,93,0.7873557096767939
D,2022-01,93,82.04607862891802,93,0.8822158992356777
D,2022-02,75,72.59156204387732,75,0.9678874939183643
D,2022-03,93,83.35048585770024,93,0.8962417834161316
D,2022-04,84,76.64990845212755,84,0.9124989101443756
D,2022-05,93,76.77704890520523,93,0.8255596656473682
D,2022-06,90,75.26487681980117,90,0.8362764091089019
D,2022-07,93,81.63785002586009,93,0.877826344364087
D,2022-08,93,81.74605257813286,93,0.8789898126680953
D,2022-09,90,68.17401732220327,90,0.7574890813578141
D,2022-10,93,82.526250079145,93,0.8873790331090861
D,2022-11,90,76.70725947711652,90,0.8523028830790724
D,2022-12,93,79.87705577412304,93,0.8588930728400327
D,2023-01,93,86.53041315991427,93,0.9304345501066051
D,2023-02,84,75.4783422992845,84,0.8985516940391013
D,2023-03,93,76.41706632246422,93,0.8216888851877874
D,2023-04,90,73.79335780011583,90,0.8199261977790647
D,2023-05,93,88.58492282341575,93,0.9525260518646855
D,2023-06,90,82.67891905225818,90,0.918654656136202
D,2023-07,93,77.99493619426855,93,0.8386552278953607
D,2023-08,93,75.15442506067026,93,0.808112097426562
D,2023-09,90,77.6807291941169,90,0.8631192132679656
D,2023-10,93,85.67861470043013,93,0.9212754268863454
D,2023-11,90,77.31194055790262,90,0.8590215617544735
D,2023-12,93,81.96189091049733,93,0.8813106549515842
D,2024-01,93,75.3303242354413,93,0.8100034864025946
D,2024-02,87,77.43601299305467,87,0.8900691148626975
D,2024-03,93,86.95130619754785,93,0.9349602816940629
D,2024-04,90,76.06690013029107,90,0.8451877792254564
D,2024-05,93,73.38489484214534,93,0.7890848907757564
D,2024-06,90,82.41978624042947,90,0.9157754026714386
D,2024-07,93,83.06746252670705,93,0.8931985217925489
D,2024-08,93,81.11285314741379,93,0.872181216638858
D,2024-09,90,84.87696225192059,90,0.9430773583546732
D,2024-10,93,82.91066276900189,93,0.8915125028924934
D,2024-11,90,81.55188827420018,90,0.9061320919355575
D,2024-12,93,78.76120888169518,93,0.8468947191580127
D,2025-01,93,81.57477560265332,93,0.877148124759713
D,2025-02,84,74.58781936614939,84,0.8879502305493975
D,2025-03,68,43.38052353735667,68,0.6379488755493629
E,2020-08,17,13.782237188298325,17,0.8107198346057838
E,2020-09,90,77.60337378381043,90,0.8622597087090047
E,2020-10,93,84.94756498752999,93,0.9134146772852687
E,2020-11,90,79.19118210924105,90,0.8799020234360118
E,2020-12,93,85.62795683939214,93,0.9207307187031413
E,2021-01,93,79.29806348035926,93,0.8526673492511748
E,2021-02,84,78.01570858602365,84,0.9287584355479006
E,2021-03,93,80.44172386683927,93,0.8649647727617126
E,2021-04,90,76.62699932401357,90,0.8514111036001507
E,2021-05,93,79.80951177039097,93,0.8581667932300104
E,2021-06,90,76.69610396441921,90,0.8521789329379912
E,2021-07,93,85.19440333542981,93,0.9160688530691378
E,2021-08,93,87.27287833618612,93,0.9384180466256573
E,2021-09,90,81.08316335628606,90,0.9009240372920674
E,2021-10,93,85.16110503043808,93,0.915710806778904
E,2021-11,90,82.69596479328023,90,0.9188440532586691
E,2021-12,93,84.89886563351561,93,0.9128910283173721
E,2022-01,93,83.86162486510626,93,0.9017379017753362
E,2022-02,84,79.29136307548387,84,0.9439447985176651
E,2022-03,93,85.06957441556742,93,0.9147266066190045
E,2022-04,90,84.06117787032765,90,0.9340130874480851
E,2022-05,93,78.17535783571705,93,0.8405952455453446
E,2022-06,90,78.8238674335272,90,0.8758207492614133
E,2022-07,93,85.61012450702901,93,0.9205389731938604
E,2022-08,93,79.28340415133576,93,0.8525097220573737
E,2022-09,90,72.73954238989876,90,0.8082171376655418
E,2022-10,93,84.40802890796007,93,0.9076132140640868
E,2022-11,90,76.68787497057707,90,0.8520874996730785
E,2022-12,93,86.14467598918928,93,0.9262868385934331
E,2023-01,93,83.49610998181049,93,0.897807634213016
E,2023-02,84,79.1720575682484,84,0.9425244948601
E,2023-03,93,80.54866035681495,93,0.8661146274926339
E,2023-04,90,80.77341348893756,90,0.8974823720993063
E,2023-05,93,75.77035412778336,93,0.8147349906213265
E,2023-06,90,81.31721387097627,90,0.9035245985664031
E,2023-07,93,81.8177465399106,93,0.8797607154829097
E,2023-08,93,78.1605465720493,93,0.8404359846456914
E,2023-09,90,79.40033196966385,90,0.8822259107740428
E,2023-10,93,84.8262593353884,93,0.9121103154342839
E,2023-11,90,78.85996261854196,90,0.8762218068726884
E,2023-12,93,85.66470189094414,93,0.9211258267843456
E,2024-01,93,85.65323956644617,93,0.9210025759832922
E,2024-02,87,80.5037895923447,87,0.9253309148545368
E,2024-03,93,81.466683078185,93,0.8759858395503763
E,2024-04,90,77.93612779903414,90,0.8659569755448238
E,2024-05,93,82.79321210922993,93,0.8902495925723648
E,2024-06,90,82.93426300019469,90,0.9214918111132744
E,2024-07,93,83.11997872716195,93,0.893763212120021
E,2024-08,93,84.1828420685719,93,0.9051918501996978
E,2024-09,90,84.61397013276348,90,0.940155223697372
E,2024-10,93,82.91761775177305,93,0.8915872876534736
E,2024-11,90,80.0137782539396,90,0.8890419805993289
E,2024-12,93,80.79992097288739,93,0.8688163545471762
E,2025-01,93,85.97847701928815,93,0.9244997528955715
E,2025-02,84,71.28125821785676,84,0.8485864073554377
E,2025-03,68,51.558754084794494,68,0.7582169718352132
