model,month,symbol,n,share_baseline_weight,share_uniform_weight,delta_baseline_vs_uniform
A,2023-01,BTCUSDT,93,0.41589733570722914,0.5,-0.08410266429277086
A,2023-01,ETHUSDT,93,0.5841026642927708,0.5,0.0841026642927708
A,2023-02,BTCUSDT,84,0.4868812879597228,0.5,-0.013118712040277203
A,2023-02,ETHUSDT,84,0.5131187120402771,0.5,0.013118712040277147
A,2023-03,BTCUSDT,93,0.4734557243308021,0.5,-0.026544275669197925
A,2023-03,ETHUSDT,93,0.5265442756691979,0.5,0.026544275669197925
A,2023-04,BTCUSDT,90,0.4704234738098126,0.5,-0.029576526190187413
A,2023-04,ETHUSDT,90,0.5295765261901874,0.5,0.029576526190187358
A,2023-05,BTCUSDT,93,0.5084460171292079,0.5,0.008446017129207894
A,2023-05,ETHUSDT,93,0.491553982870792,0.5,-0.008446017129208006
A,2023-06,BTCUSDT,90,0.44324385158976554,0.5,-0.056756148410234464
A,2023-06,ETHUSDT,90,0.5567561484102344,0.5,0.05675614841023435
A,2023-07,BTCUSDT,93,0.45454583087683126,0.5,-0.04545416912316874
A,2023-07,ETHUSDT,93,0.5454541691231687,0.5,0.045454169123168686
A,2023-08,BTCUSDT,93,0.4994296227063003,0.5,-0.0005703772936996865
A,2023-08,ETHUSDT,93,0.5005703772936997,0.5,0.0005703772936996865
A,2023-09,BTCUSDT,90,0.44489028310191836,0.5,-0.05510971689808164
A,2023-09,ETHUSDT,90,0.5551097168980816,0.5,0.05510971689808164
A,2023-10,BTCUSDT,93,0.45743485849924004,0.5,-0.04256514150075996
A,2023-10,ETHUSDT,93,0.5425651415007601,0.5,0.04256514150076007
A,2023-11,BTCUSDT,90,0.4509010959318458,0.5,-0.0490989040681542
A,2023-11,ETHUSDT,90,0.5490989040681543,0.5,0.049098904068154314
A,2023-12,BTCUSDT,93,0.4665772104648996,0.5,-0.03342278953510042
A,2023-12,ETHUSDT,93,0.5334227895351006,0.5,0.03342278953510058
A,2024-01,BTCUSDT,93,0.4854030573189953,0.5,-0.014596942681004699
A,2024-01,ETHUSDT,93,0.5145969426810048,0.5,0.014596942681004754
A,2024-02,BTCUSDT,87,0.43260756735546435,0.5,-0.06739243264453565
A,2024-02,ETHUSDT,87,0.5673924326445356,0.5,0.06739243264453565
A,2024-03,BTCUSDT,93,0.49539851794777456,0.5,-0.004601482052225436
A,2024-03,ETHUSDT,93,0.5046014820522255,0.5,0.004601482052225547
A,2024-04,BTCUSDT,90,0.46965098516563547,0.5,-0.03034901483436453
A,2024-04,ETHUSDT,90,0.5303490148343644,0.5,0.030349014834364363
A,2024-05,BTCUSDT,93,0.5132065428151115,0.5,0.013206542815111466
A,2024-05,ETHUSDT,93,0.4867934571848886,0.5,-0.01320654281511141
A,2024-06,BTCUSDT,90,0.46274516317578035,0.5,-0.03725483682421965
A,2024-06,ETHUSDT,90,0.5372548368242196,0.5,0.037254836824219595
A,2024-07,BTCUSDT,93,0.47260028775721286,0.5,-0.027399712242787144
A,2024-07,ETHUSDT,93,0.5273997122427869,0.5,0.027399712242786922
A,2024-08,BTCUSDT,93,0.4993798110049872,0.5,-0.0006201889950128159
A,2024-08,ETHUSDT,93,0.5006201889950128,0.5,0.0006201889950128159
A,2024-09,BTCUSDT,90,0.47742942338025335,0.5,-0.022570576619746652
A,2024-09,ETHUSDT,90,0.5225705766197466,0.5,0.022570576619746596
A,2024-10,BTCUSDT,93,0.4676037862036315,0.5,-0.03239621379636848
A,2024-10,ETHUSDT,93,0.5323962137963685,0.5,0.03239621379636848
A,2024-11,BTCUSDT,90,0.43372492893417675,0.5,-0.06627507106582325
A,2024-11,ETHUSDT,90,0.5662750710658233,0.5,0.06627507106582331
A,2024-12,BTCUSDT,93,0.459517845874258,0.5,-0.04048215412574202
A,2024-12,ETHUSDT,93,0.5404821541257421,0.5,0.040482154125742076
A,2025-01,BTCUSDT,93,0.43869497111050304,0.5,-0.06130502888949696
A,2025-01,ETHUSDT,93,0.561305028889497,0.5,0.06130502888949696
A,2025-02,BTCUSDT,84,0.413127069200259,0.5,-0.08687293079974101
A,2025-02,ETHUSDT,84,0.586872930799741,0.5,0.08687293079974101
A,2025-03,BTCUSDT,68,0.41229596199325885,0.5,-0.08770403800674115
A,2025-03,ETHUSDT,68,0.587704038006741,0.5,0.08770403800674098
C,2020-01,LINKUSDT,31,1.0,1.0,0.0
C,2020-02,LINKUSDT,87,1.0,1.0,0.0
C,2020-03,LINKUSDT,93,1.0,1.0,0.0
C,2020-04,LINKUSDT,90,1.0,1.0,0.0
C,2020-05,LINKUSDT,93,1.0,1.0,0.0
C,2020-06,LINKUSDT,90,1.0,1.0,0.0
C,2020-07,LINKUSDT,93,1.0,1.0,0.0
C,2020-08,LINKUSDT,93,1.0,1.0,0.0
C,2020-09,LINKUSDT,90,1.0,1.0,0.0
C,2020-10,LINKUSDT,93,1.0,1.0,0.0
C,2020-11,LINKUSDT,90,1.0,1.0,0.0
C,2020-12,LINKUSDT,93,1.0,1.0,0.0
C,2021-01,LINKUSDT,93,1.0,1.0,0.0
C,2021-02,LINKUSDT,84,1.0,1.0,0.0
C,2021-03,LINKUSDT,93,1.0,1.0,0.0
C,2021-04,LINKUSDT,90,1.0,1.0,0.0
C,2021-05,LINKUSDT,93,1.0,1.0,0.0
C,2021-06,LINKUSDT,90,1.0,1.0,0.0
C,2021-07,LINKUSDT,93,1.0,1.0,0.0
C,2021-08,LINKUSDT,93,1.0,1.0,0.0
C,2021-09,LINKUSDT,90,1.0,1.0,0.0
C,2021-10,LINKUSDT,93,1.0,1.0,0.0
C,2021-11,LINKUSDT,90,1.0,1.0,0.0
C,2021-12,LINKUSDT,93,1.0,1.0,0.0
C,2022-01,LINKUSDT,93,1.0,1.0,0.0
C,2022-02,LINKUSDT,84,1.0,1.0,0.0
C,2022-03,LINKUSDT,93,1.0,1.0,0.0
C,2022-04,LINKUSDT,90,1.0,1.0,0.0
C,2022-05,LINKUSDT,93,1.0,1.0,0.0
C,2022-06,LINKUSDT,90,1.0,1.0,0.0
C,2022-07,LINKUSDT,93,1.0,1.0,0.0
C,2022-08,LINKUSDT,93,1.0,1.0,0.0
C,2022-09,LINKUSDT,90,1.0,1.0,0.0
C,2022-10,LINKUSDT,93,1.0,1.0,0.0
C,2022-11,LINKUSDT,90,1.0,1.0,0.0
C,2022-12,LINKUSDT,93,1.0,1.0,0.0
C,2023-01,LINKUSDT,93,1.0,1.0,0.0
C,2023-02,LINKUSDT,84,1.0,1.0,0.0
C,2023-03,LINKUSDT,93,1.0,1.0,0.0
C,2023-04,LINKUSDT,90,1.0,1.0,0.0
C,2023-05,LINKUSDT,93,1.0,1.0,0.0
C,2023-06,LINKUSDT,90,1.0,1.0,0.0
C,2023-07,LINKUSDT,93,1.0,1.0,0.0
C,2023-08,LINKUSDT,93,1.0,1.0,0.0
C,2023-09,LINKUSDT,90,1.0,1.0,0.0
C,2023-10,LINKUSDT,93,1.0,1.0,0.0
C,2023-11,LINKUSDT,90,1.0,1.0,0.0
C,2023-12,LINKUSDT,93,1.0,1.0,0.0
C,2024-01,LINKUSDT,93,1.0,1.0,0.0
C,2024-02,LINKUSDT,87,1.0,1.0,0.0
C,2024-03,LINKUSDT,93,1.0,1.0,0.0
C,2024-04,LINKUSDT,90,1.0,1.0,0.0
C,2024-05,LINKUSDT,93,1.0,1.0,0.0
