feature,BCHUSDT_n_valid,BCHUSDT_skew,BCHUSDT_kurt,BCHUSDT_adf_p,BCHUSDT_spearman,BCHUSDT_spearman_p,LDOUSDT_n_valid,LDOUSDT_skew,LDOUSDT_kurt,LDOUSDT_adf_p,LDOUSDT_spearman,LDOUSDT_spearman_p,TRXUSDT_n_valid,TRXUSDT_skew,TRXUSDT_kurt,TRXUSDT_adf_p,TRXUSDT_spearman,TRXUSDT_spearman_p,max_abs_ic_with_base14,max_ic_partner
cusum_reset_count_200,5628,0.3166380632542988,-0.10063819291867482,5.632447338266531e-05,-0.081616390506986,9.151181814965803e-10,2642,0.2662039905980018,-0.43309416091976294,0.07069382200441163,0.04402845587803333,0.02402891754380718,5570,0.4507969542443077,-0.24047308276909218,3.4364663803623896e-05,-0.044314306209795894,0.0009541522558247429,0.479500488354884,range_realized_vol_50(BCHUSDT)
garman_klass_vol_20,5718,3.5833424766066657,23.576631023531156,2.7793736220570588e-12,-0.007244159075711117,0.5844108981864468,2732,1.208499782002445,2.060178593458993,5.266966947863443e-05,0.0034737510927878457,0.856378580772759,5660,2.326543013368113,7.569353183978715,4.125718612386167e-07,-0.0031301198777517417,0.8141121311363265,0.8550886137926029,range_realized_vol_50(TRXUSDT)
hl_range_ratio_20,5718,2.8137535480182434,14.519982614693,4.410654135739031e-30,0.02552393725639389,0.05392811825411113,2732,2.8763326182628397,16.6077980347701,1.6069125258112374e-20,0.021010248775138844,0.2736161184738741,5660,3.66248214451085,26.340971340185465,1.990592365170204e-29,0.009040593156521896,0.4970667211200719,0.1872805198313768,vwap_dev_20(LDOUSDT)
hurst_200,5528,-0.5587862818463094,0.5596421915223044,1.0224907497931794e-12,-0.06125694705948314,5.325321960511843e-06,2542,-0.4364970444428233,0.5623795085464716,5.460489147199356e-10,-0.04123127399585841,0.03821678197566242,5470,-0.8646219214138147,0.9150652939905521,9.071810420081269e-08,-0.0037582512590774745,0.7813853170735237,0.4399761286769858,hurst_100(TRXUSDT)
kurt_ratio_50_200,5627,1.491624549034409,2.7596534291515136,2.9419454900049056e-15,-0.03846188496978487,0.003954978870344518,2641,1.8944186547830573,4.415178837950436,3.833139618202983e-08,0.008795994262240205,0.6523207286162785,5569,2.1125549325531834,7.2900627117864065,2.6708429302207392e-16,-0.030880323006776133,0.02136948784386119,0.6777015564065915,ret_kurt_50(LDOUSDT)
mom_accel_20_100,5627,-23.746859511377835,948.0057457252876,0.0,-0.034547547115142505,0.009646039335732411,2641,51.35346559688519,2638.4293470127072,0.0,-0.08941935445271526,4.448094127024946e-06,5569,64.5616491439189,4775.808432102563,0.0,-0.002988924448136648,0.8237686567993837,0.12175833710319975,vwap_dev_20(BCHUSDT)
mom_accel_5_20,5707,-72.2079255594323,5352.754799356604,0.0,0.053510816144358785,5.364543990212733e-05,2721,17.496175363973453,438.98344177448894,0.0,0.09193373252089629,1.6656609712080798e-06,5649,-53.36964940795781,3801.263787415432,0.0,0.013128900665578258,0.32448715938997813,0.05871081309734249,ema_spread_atr_20(LDOUSDT)
obv_slope_50,5678,1.8012064720571896,22.89859398306429,1.2929451081746063e-20,-0.039336537088251446,0.0030695955640138357,2692,2.0386702962381578,14.182003392544965,7.809459326335286e-07,-0.03188318060275411,0.09909108528800917,5620,4.198973896281305,26.72116599525518,1.1273768544743662e-13,-0.07152704665056135,8.292051467101985e-08,0.4381159090714791,ema_spread_atr_20(BCHUSDT)
parkinson_gk_ratio_20,5718,0.6654620214513628,0.7382571233037267,1.2993464452995137e-19,-0.04353621516117442,0.001006814548559449,2732,1.0680890243025751,2.945274391446404,1.0218508033601456e-11,-0.07146689197073076,0.0001928105215433724,5660,1.078803014768062,2.365863960111877,4.299952890775153e-17,-0.03915326735009459,0.0032590254431215703,0.24502428865889286,ret_skew_200(LDOUSDT)
parkinson_vol_20,5718,3.181332078192255,18.1299305601377,9.28310578516813e-12,-0.014226005934413788,0.2827593328859198,2732,1.0563016809789876,1.3769055738532523,5.1578173852336064e-05,-0.0035771109294298786,0.8521537018254487,5660,2.2334737448810165,6.612064717454415,3.430765780734671e-07,-0.008582512298414354,0.5191210902136275,0.8544683528048134,range_realized_vol_50(TRXUSDT)
parkinson_vol_50,5703,2.5126659497973605,10.282088319579112,4.3412069461336667e-10,0.003404635485867503,0.7973965243877403,2717,0.570760021989089,-0.020764431744949796,2.5886235226830673e-06,-0.018698655459231325,0.3312467865035249,5645,1.540868380436689,2.1985561812957006,2.125141875259063e-06,-0.00025044595738150374,0.9850105292751711,1.0,range_realized_vol_50(BCHUSDT)
ret_autocorr_lag5_50,5697,0.01683474487707451,-0.2813738835898292,1.067246815291578e-13,-0.00984306404123449,0.45819914899242026,2711,-0.15179923369939627,-0.6895735857991405,1.1097095631483981e-07,-0.030463416439658098,0.11378979660029284,5639,-0.1028016545943656,0.051635027558300184,6.3407640134260736e-15,-0.06834975937501989,2.8876276848868876e-07,0.25880323898310126,ret_autocorr_lag1_50(BCHUSDT)
ret_skew_100,5677,-0.057446917691213406,0.9641712847332045,2.407179412886459e-07,-0.044836151507790564,0.0007389486513694633,2691,0.08011549022562724,0.46570814219613865,3.502260252124142e-05,0.014318395249199927,0.4590673536058803,5619,2.179352305683353,9.747383561060012,1.8444465421311674e-09,0.004837449775233125,0.7173130289495752,0.6958905510729739,ret_skew_50(LDOUSDT)
vol_return_divergence_30,5697,-0.46724963289018345,1.2523050708081578,0.0,-0.04278630555611851,0.001255516192434094,2711,-0.3732509425195796,1.036065557069176,0.0,-0.03219958128470573,0.09461159599879802,5639,-0.369809234653382,1.2393945017154726,0.0,-0.012523472982879317,0.347728158874274,0.06160490793379435,sym_vs_btc_ret_7d(LDOUSDT)
vol_transition_slope_20,5699,0.4275753598443313,0.7906449668101803,1.2725785301849013e-27,-0.016959440730886684,0.20110064033686884,2713,0.3650213798366545,0.6978891562373142,4.611898011201604e-16,0.06008302665552854,0.001794904614069503,5641,0.46227900010169587,0.9068705998454054,8.76911828226378e-28,-0.002789426608351135,0.8343081097330716,0.2051623881191446,sym_vs_btc_ret_7d(TRXUSDT)
volume_cv_50,5703,1.2800967246126291,3.971230916163106,1.4003031000859763e-15,-0.045508747426901315,0.0005964120034445566,2717,1.4774723188262562,5.3901382073569275,3.0044279018580895e-09,0.125412317437039,6.076056628907922e-11,5645,1.8726784796642515,4.241661802599953,2.462017552838396e-15,-0.02526337748781311,0.05802925890487636,0.6484038679790322,ret_kurt_50(TRXUSDT)
volume_mom_ratio_20,5703,1.7560978437827954,5.374559288979384,1.3614265998587237e-23,0.03387006297265159,0.010630621607828981,2717,1.5127845611509996,3.569409796395619,2.6251323954262062e-16,0.03320874557076488,0.08436661483763228,5645,1.7917194151891875,4.864702879661028,2.612098423611062e-25,-0.023148797271345632,0.08242631436808838,0.37708480889838325,sym_vs_btc_ret_7d(BCHUSDT)
vwap_dev_50,5703,0.237527596212144,-0.26147579448819336,4.407132869381619e-21,-0.059617635271077246,6.817557944434607e-06,2717,0.12548396978615906,-0.5638960052573876,1.8411393307451397e-12,-0.14749633152342784,1.3022572570790904e-14,5645,-0.006158195327999917,0.0743865942300399,4.725422821980286e-18,-0.038635115636371294,0.00373925337680721,0.8809089921566859,ema_spread_atr_20(LDOUSDT)
