symbol,avg_pairwise_corr_vs_bundle,corr_vs_ew_bundle,max_single_member_corr,max_member,corr_DOT,corr_ETH,corr_BTC,corr_AAVE,is_years,triv_s5,triv_s21,triv_s50,trivial_baseline_min_horizon,gate1_pass
QTUMUSDT,0.658,0.7329,0.6927,ETH,0.6798,0.6927,0.6484,0.6111,5.09,0.497,0.077,0.278,0.077,True
1INCHUSDT,0.6585,0.739,0.6774,ETH,0.6736,0.6774,0.6088,0.6741,4.24,-0.338,0.496,-0.422,-0.422,True
IOTAUSDT,0.66,0.7324,0.6873,ETH,0.6745,0.6873,0.6551,0.6231,5.11,0.309,0.075,0.426,0.075,True
SNXUSDT,0.6618,0.7567,0.716,AAVE,0.6446,0.6866,0.6001,0.716,4.61,-0.037,-0.336,-0.008,-0.336,True
AVAXUSDT,0.6643,0.7462,0.6916,DOT,0.6916,0.686,0.6328,0.6466,4.5,0.738,0.95,1.203,0.738,False
COMPUSDT,0.6649,0.7651,0.7211,AAVE,0.6704,0.6787,0.5892,0.7211,4.73,-0.08,0.256,-0.456,-0.456,True
BATUSDT,0.6725,0.7545,0.7,ETH,0.6852,0.7,0.6586,0.6463,5.11,-0.219,-0.071,0.142,-0.219,True
ONEUSDT,0.6734,0.7444,0.708,DOT,0.708,0.6734,0.6563,0.6557,4.02,0.98,0.27,0.3,0.27,False
ONTUSDT,0.6752,0.7532,0.7032,ETH,0.7002,0.7032,0.6627,0.6348,5.11,0.214,-0.424,0.136,-0.424,True
RVNUSDT,0.6769,0.7441,0.6995,DOT,0.6995,0.6874,0.677,0.6435,4.08,-0.032,0.159,0.248,-0.032,True
XTZUSDT,0.6844,0.7639,0.7179,ETH,0.7098,0.7179,0.6653,0.6445,5.13,-0.234,-0.104,0.367,-0.234,True
DASHUSDT,0.6844,0.765,0.7215,ETH,0.6909,0.7215,0.6813,0.6439,5.13,0.47,-0.269,-0.03,-0.269,True
ETCUSDT,0.6846,0.7648,0.755,ETH,0.6761,0.755,0.671,0.6363,5.18,0.865,0.35,0.513,0.35,False
NEOUSDT,0.6852,0.7665,0.7166,ETH,0.6989,0.7166,0.6796,0.6455,5.1,0.418,0.365,0.456,0.365,False
EOSUSDT,0.6859,0.7609,0.7287,ETH,0.6992,0.7287,0.686,0.6297,5.21,0.543,-0.339,0.103,-0.339,True
ADAUSDT,0.6939,0.776,0.7297,ETH,0.7179,0.7297,0.6801,0.6478,5.14,0.745,0.74,0.919,0.74,False
VETUSDT,0.7008,0.789,0.7309,ETH,0.7189,0.7309,0.6917,0.6619,5.1,0.671,1.127,0.624,0.624,False
BALUSDT,0.7356,0.8263,0.8125,ETH,0.7174,0.8125,0.6987,0.7139,4.56,-0.001,-0.091,0.203,-0.091,True
