symbol,first_close,last_close,is_n_candles,is_expected_n_candles,is_coverage_pct,is_max_gap_hours,is_n_gaps_gt_1d,passes_listing_floor,v2_dead_path,is_ret_mean_8h,is_ret_std_8h,is_ret_skew,is_ret_kurt,is_sigma_annual_pct,is_mu_annual_pct,is_max_dd_pct,is_avg_daily_quote_vol_musdt
INJUSDT,2022-08-17,2025-03-23,2850,2850,100.0,8.0,0,True,False,5.5755,3.467,0.2753,2.9334,114.72,61.05,-83.07,148.55
IMXUSDT,2022-02-11,2025-03-23,3396,3411,99.56,80.0,2,True,False,-4.473,3.432,0.4344,5.9943,113.57,-48.98,-86.56,47.9
YFIUSDT,2020-08-31,2025-03-23,4983,4998,99.7,80.0,2,True,False,-3.7021,3.4268,-0.2341,12.5534,113.39,-40.54,-94.91,66.35
LDOUSDT,2022-09-22,2025-03-23,2741,2741,100.0,8.0,0,True,False,-2.0539,3.4005,0.2746,4.0379,112.52,-22.49,-77.44,111.49
VETUSDT,2020-02-14,2025-03-23,5579,5594,99.73,80.0,2,True,False,2.0351,3.3975,-0.0197,6.9224,112.43,22.28,-94.43,74.6
RVNUSDT,2021-02-23,2025-03-23,4455,4470,99.66,80.0,2,True,False,-6.0149,3.3902,0.1565,8.2086,112.19,-65.86,-95.72,31.81
ALGOUSDT,2020-06-16,2025-03-23,5225,5225,100.0,8.0,0,True,False,-0.3697,3.3485,-0.0163,4.5869,110.8,-4.05,-96.3,83.57
FILUSDT,2020-10-16,2025-03-23,4845,4860,99.69,80.0,2,True,False,-5.7429,3.3257,-0.1791,10.9657,110.05,-62.88,-98.86,256.52
EGLDUSDT,2020-09-14,2025-03-23,4956,4956,100.0,8.0,0,True,False,0.6906,3.317,0.2817,7.9217,109.76,7.56,-96.71,55.75
HBARUSDT,2021-03-17,2025-03-23,4389,4404,99.66,80.0,2,True,False,-1.3359,3.313,0.9344,12.7802,109.63,-14.63,-93.05,85.04
ICPUSDT,2021-05-11,2025-03-23,4161,4239,98.16,632.0,1,True,False,-10.2989,3.3076,0.5174,11.0095,109.45,-112.77,-99.3,108.28
NEOUSDT,2020-02-17,2025-03-23,5585,5585,100.0,8.0,0,True,False,-1.0761,3.1782,-0.0936,8.2534,105.17,-11.78,-95.3,53.6
MKRUSDT,2020-08-13,2025-03-23,5037,5052,99.7,80.0,2,True,False,0.7955,3.1589,0.6586,10.1011,104.53,8.71,-91.59,69.62
XTZUSDT,2020-02-06,2025-03-23,5618,5618,100.0,8.0,0,True,False,-2.0485,3.1457,-0.288,7.6296,104.09,-22.43,-93.21,70.83
ETCUSDT,2020-01-16,2025-03-23,5681,5681,100.0,8.0,0,True,False,1.4298,3.0953,0.2861,13.6065,102.43,15.66,-90.07,304.27
XLMUSDT,2020-01-20,2025-03-23,5654,5669,99.74,80.0,2,True,False,2.6213,2.9893,0.8245,14.6023,98.92,28.7,-90.92,119.0
DASHUSDT,2020-02-04,2025-03-23,5624,5624,100.0,8.0,0,True,False,-2.7795,2.9882,-0.3095,9.346,98.88,-30.44,-95.38,30.62
FLOWUSDT,2022-02-10,2025-03-23,3399,3414,99.56,80.0,2,True,False,-8.8311,2.9407,0.4977,10.9606,97.31,-96.7,-95.33,36.45
BCHUSDT,2020-01-01,2025-03-23,5727,5727,100.0,8.0,0,True,False,0.7936,2.8657,-0.0455,9.696,94.83,8.69,-94.25,242.38
TRXUSDT,2020-01-15,2025-03-23,5669,5684,99.74,80.0,2,True,False,4.6023,2.5451,0.6758,41.9226,84.22,50.39,-72.52,137.81
OPUSDT,2022-06-01,2025-03-23,3080,3080,100.0,8.0,0,True,True,-1.0142,3.6616,0.4196,8.3036,121.17,-11.1,-83.34,255.0
AVAXUSDT,2020-09-23,2025-03-23,4929,4929,100.0,8.0,0,True,True,3.2011,3.6149,0.2682,5.6059,119.62,35.05,-93.69,368.03
AAVEUSDT,2020-10-16,2025-03-23,4860,4860,100.0,8.0,0,True,True,3.0892,3.5502,0.0539,3.6073,117.48,33.83,-92.84,143.94
ATOMUSDT,2020-02-07,2025-03-23,5615,5615,100.0,8.0,0,True,True,-0.0316,3.3484,-0.2922,6.2407,110.8,-0.35,-91.92,160.02
