family,name,n,ic,t,ic_h1,t_h1,ic_h2,t_h2,abs_t,consistent
CONTROL-harvest,total_mom_6b@Euro(08-16),1443,-0.028461045465094047,-3.703276042697028,-0.043460895829316885,-3.935687452360323,-0.013523435143876286,-1.2671899837528362,3.703276042697028,True
CONTROL-harvest,total_mom_6b@US(16-24),1442,-0.00692876677098388,-0.8861251801677319,-0.00017168404281447822,-0.015479619862792863,-0.013667131818465832,-1.2394226842482503,0.8861251801677319,True
CONTROL,total_mom_9b,4325,-0.027970445526950286,-6.187472021004385,-0.03312974115631983,-5.090640784904754,-0.02283257752132986,-3.6378909855540087,6.187472021004385,True
CONTROL-harvest,total_mom_9b@Asia(00-08),1442,-0.049097993035506715,-6.248331766742444,-0.051095527279737804,-4.599484219861354,-0.04710599212713224,-4.234881717466483,6.248331766742444,True
CONTROL-harvest,total_mom_9b@Euro(08-16),1442,-0.02539376821441206,-3.2910852058392637,-0.04758247389094326,-4.204295458278278,-0.0033278216287606997,-0.31880021444025,3.2910852058392637,True
CONTROL-harvest,total_mom_9b@US(16-24),1441,-0.009406701722190923,-1.1930492306483882,-0.0006862351131276417,-0.06069236452592251,-0.018090933705454774,-1.6458945969452086,1.1930492306483882,True
CONTROL,total_mom_21b,4313,-0.024427250145564638,-5.418812927156695,-0.029117922043284224,-4.513832340804784,-0.019782034689862636,-3.1401793104382834,5.418812927156695,True
CONTROL-harvest,total_mom_21b@Asia(00-08),1438,-0.031831812869072225,-4.086606722111397,-0.03400640083233438,-3.129205724936599,-0.029675296273925816,-2.6575503123471287,4.086606722111397,True
CONTROL-harvest,total_mom_21b@Euro(08-16),1438,-0.026053633066296857,-3.336105611329844,-0.047018892039134966,-4.073096540977779,-0.005320354828981165,-0.5074790951350858,3.336105611329844,True
CONTROL-harvest,total_mom_21b@US(16-24),1437,-0.015390019918413048,-1.967065420118581,-0.006321636225111941,-0.5715927119842727,-0.024370482994189074,-2.2021620307221537,1.967065420118581,True
CONTROL,total_mom_63b,4271,-0.017756761941499388,-3.9794995188803424,-0.02119844879618892,-3.350319990789199,-0.01441513335715847,-2.290472285772919,3.9794995188803424,True
CONTROL-harvest,total_mom_63b@Asia(00-08),1424,-0.020473409647714796,-2.6188123134526835,-0.02933937407621618,-2.7003612826115395,-0.011853039801720372,-1.055501616372436,2.6188123134526835,True
CONTROL-harvest,total_mom_63b@Euro(08-16),1424,-0.02762568965629285,-3.617926149218139,-0.036116875091272566,-3.292685959785848,-0.019392880541602976,-1.8239893098948479,3.617926149218139,True
CONTROL-harvest,total_mom_63b@US(16-24),1423,-0.005162342124551659,-0.6683235769571644,0.0018725160817465634,0.17014117585003072,-0.011992585341470014,-1.105789991189346,0.6683235769571644,False
CONTROL,total_mom_126b,4208,-0.01475288178364029,-3.3333630018478098,-0.025217834507481073,-4.055666612097072,-0.004896412697641659,-0.7791741939444135,3.3333630018478098,True
CONTROL-harvest,total_mom_126b@Asia(00-08),1403,-0.015297385961751793,-1.9852881421465767,-0.03548603803646697,-3.4127219601459173,0.003744819111490637,0.33213113227683166,1.9852881421465767,False
CONTROL-harvest,total_mom_126b@Euro(08-16),1403,-0.0201863147918593,-2.634772281127786,-0.032577909706392676,-2.945523452019443,-0.00853170270073524,-0.8040239147613925,2.634772281127786,True
CONTROL-harvest,total_mom_126b@US(16-24),1402,-0.008770680733410828,-1.1491112045326493,-0.007574455480276243,-0.6997028494978568,-0.009897319475975263,-0.9194543883112595,1.1491112045326493,True
CONTROL,total_mom_252b,4082,-0.0054367323029262836,-1.2538890653719248,-0.014587779845118663,-2.334367899391896,0.0026501417364361516,0.4406876964570787,1.2538890653719248,False
CONTROL-harvest,total_mom_252b@Asia(00-08),1361,-0.005855508040433987,-0.7641027121322925,-0.014883724298105328,-1.3713189954537564,0.002134838481244656,0.19790388121647862,0.7641027121322925,False
CONTROL-harvest,total_mom_252b@Euro(08-16),1361,-0.009810260121563727,-1.306752605238259,-0.019070221974033224,-1.70067296995275,-0.0016389521521646448,-0.16247549350265966,1.306752605238259,True
CONTROL-harvest,total_mom_252b@US(16-24),1360,-0.0006409049941663267,-0.08708506099252125,-0.009808929400438461,-0.9428863565206675,0.007460479453481351,0.7191594483727526,0.08708506099252125,False
SLOT-FORM,slot0_3d,4327,-0.013218839055769137,-3.1270556762181823,-0.02434734386482902,-4.077735939632392,-0.0021262823471538375,-0.3557170290836431,3.1270556762181823,True
SLOT-FORM-harvest,slot0_3d@h0,1442,-0.006952971083950456,-0.9491288212521867,-0.019413487553455067,-1.8921367079711005,0.005473028719433646,0.5239849945628268,0.9491288212521867,False
SLOT-FORM-harvest,slot0_3d@h1,1443,-0.024056668872786048,-3.2667943677751117,-0.03561578670300324,-3.3861129998763055,-0.012545514187092583,-1.2180644006625019,3.2667943677751117,True
SLOT-FORM-harvest,slot0_3d@h2,1442,-0.008639361378520274,-1.188015196820752,-0.01801275733802877,-1.7580032282944122,0.0007080694952278083,0.0686285603426231,1.188015196820752,False
SLOT-FORM,slot1_3d,4326,-0.013876600029575116,-3.214459921503567,-0.013105734683849804,-2.1040817805681944,-0.014644619541075328,-2.4484595935665934,3.214459921503567,True
SLOT-FORM-harvest,slot1_3d@h0,1442,-0.02068849687127248,-2.728588267640023,-0.01975953162232888,-1.8002040738318472,-0.02161488880927718,-2.064065088875526,2.728588267640023,True
SLOT-FORM-harvest,slot1_3d@h1,1442,-0.016331877939317185,-2.1987594477096803,-0.02582247918529878,-2.414168001236533,-0.006893783477545723,-0.6688707402137015,2.1987594477096803,True
SLOT-FORM-harvest,slot1_3d@h2,1442,-0.004609425278135684,-0.6212849666485095,0.006247144610937351,0.5856239518384572,-0.015435921566407962,-1.4976569895183636,0.6212849666485095,False
SLOT-FORM,slot2_3d,4325,-0.013091299527726453,-2.9924505992336665,-0.011141751045167602,-1.81090323952801,-0.015032751131492949,-2.4161494842757207,2.9924505992336665,True
SLOT-FORM-harvest,slot2_3d@h0,1442,-0.05621301439448293,-7.55708950626185,-0.056138680302275486,-5.475769977472606,-0.056287142575077616,-5.218565778668382,7.55708950626185,True
SLOT-FORM-harvest,slot2_3d@h1,1442,0.013361401916192938,1.7613077237328971,0.00023810274816952567,0.021834993359072172,0.026412096386191325,2.5068258400421373,1.7613077237328971,True
SLOT-FORM-harvest,slot2_3d@h2,1441,0.0035892815657718796,0.47342369763229164,0.022537907074037248,2.1255868444419046,-0.015280610041489616,-1.4148729573715546,0.47342369763229164,False
SLOT-TILT,tilt0_3d,4325,0.0028855165211831286,0.6860759924516193,-0.0064617697411712095,-1.0832938076328966,0.012193981566942548,2.0578388364394136,0.6860759924516193,False
SLOT-TILT-harvest,tilt0_3d@h0,1442,0.026330019507631076,3.632972656474856,0.01402652659079272,1.3343798683253387,0.03859943072663886,3.872194268124624,3.632972656474856,True
SLOT-TILT-harvest,tilt0_3d@h1,1442,-0.009739424925080224,-1.3330393152610391,-0.010315043779680327,-0.996670276338216,-0.009166990683783582,-0.8880441830855319,1.3330393152610391,True
SLOT-TILT-harvest,tilt0_3d@h2,1441,-0.007941553389258366,-1.0929827781358357,-0.023125287578898576,-2.2907509345628005,0.0071790904921146415,0.6884390914126686,1.0929827781358357,False
SLOT-TILT,tilt1_3d,4325,-0.0009427205897926242,-0.22209008556007215,0.004341631187743113,0.7200432437106968,-0.00620512535948442,-1.0384009131356549,0.22209008556007215,False
SLOT-TILT-harvest,tilt1_3d@h0,1442,0.012757113750544028,1.7661671565736026,0.018635662279820393,1.8046164489166219,0.006894849289215801,0.6823198247025477,1.7661671565736026,True
SLOT-TILT-harvest,tilt1_3d@h1,1442,-0.013006008586942923,-1.7605577738587894,-0.011142738665486566,-1.0539954160359997,-0.014858969961115978,-1.4384878451315666,1.7605577738587894,True
SLOT-TILT-harvest,tilt1_3d@h2,1441,-0.002580402634813252,-0.3471241380586667,0.005512089516222247,0.5291819354101716,-0.010639269472201793,-1.0031080549504894,0.3471241380586667,False
SLOT-TILT,tilt2_3d,4325,0.0026812992499614255,0.6371623365726906,0.006106042769505796,1.0392605360812908,-0.000729220600143213,-0.121011492995464,0.6371623365726906,False
SLOT-TILT-harvest,tilt2_3d@h0,1442,-0.030516697774025763,-4.220064951721516,-0.025997685218250695,-2.582423268836547,-0.03502319228948012,-3.3718098094519355,4.220064951721516,True
SLOT-TILT-harvest,tilt2_3d@h1,1442,0.028939135046974453,3.9558830116147443,0.02400680181402991,2.332424167030409,0.03384418012925263,3.2537497923835574,3.9558830116147443,True
SLOT-TILT-harvest,tilt2_3d@h2,1441,0.00962627668875167,1.330234485660447,0.020353662238451323,2.020052520102677,-0.0010565352367802585,-0.1017842059230375,1.330234485660447,False
SLOT-FORM,slot0_7d,4315,-0.011626356155392419,-2.740723375375732,-0.02104247874539042,-3.5574471117108737,-0.0022927930158835605,-0.3773928237938423,2.740723375375732,True
SLOT-FORM-harvest,slot0_7d@h0,1438,-0.003955463751499707,-0.5413671642984709,-0.010027634544715855,-0.9930950816339611,0.002066245788587215,0.19564193097723592,0.5413671642984709,False
SLOT-FORM-harvest,slot0_7d@h1,1439,-0.030702702705530247,-4.148139553952356,-0.045789704191063624,-4.383807472649892,-0.015761771773798717,-1.5059377506209268,4.148139553952356,True
SLOT-FORM-harvest,slot0_7d@h2,1438,-0.0002076361214212092,-0.028393075241919266,-0.007310097500391792,-0.720861479179825,0.006835802032793385,0.6487759177726158,0.028393075241919266,False
SLOT-FORM,slot1_7d,4314,-0.016813626644293263,-3.97409256709931,-0.012107722315958587,-1.988191771193679,-0.021476098537664075,-3.654664726420286,3.97409256709931,True
SLOT-FORM-harvest,slot1_7d@h0,1438,-0.006477574979021518,-0.8847437927130899,-0.0026516165369122524,-0.2512000887053278,-0.010271738752636803,-1.0113109222546766,0.8847437927130899,True
SLOT-FORM-harvest,slot1_7d@h1,1438,-0.018550989485490877,-2.4990958001834516,-0.024613314163732393,-2.299833700624485,-0.012555744471738895,-1.2194558882854674,2.4990958001834516,True
SLOT-FORM-harvest,slot1_7d@h2,1438,-0.02541231546836739,-3.5126119674334366,-0.00907570215763303,-0.8742238609191169,-0.04161316744964967,-4.1397605288298935,3.5126119674334366,True
SLOT-FORM,slot2_7d,4313,-0.009141616481843943,-2.1237862151634297,-0.010387700327666866,-1.7038926049096321,-0.007907608206285105,-1.3006959491328907,2.1237862151634297,True
SLOT-FORM-harvest,slot2_7d@h0,1438,-0.05294946932580941,-7.250866511033301,-0.05054516751538977,-4.974857806147855,-0.055333790788774054,-5.272297580246694,7.250866511033301,True
SLOT-FORM-harvest,slot2_7d@h1,1438,0.014559953504294357,1.927074729897153,-0.0012723280512192067,-0.11872637341915582,0.030217050754905977,2.8428345937507187,1.927074729897153,False
SLOT-FORM-harvest,slot2_7d@h2,1437,0.010978658222091667,1.488414617919472,0.020710558873381413,1.9480045503795522,0.0013411111782243986,0.13115351925637517,1.488414617919472,True
SLOT-TILT,tilt0_7d,4313,-0.0010697494100384297,-0.26023685612237124,-0.0070698637098692806,-1.2306211100118936,0.004872218881349206,0.8288767564622349,0.26023685612237124,False
SLOT-TILT-harvest,tilt0_7d@h0,1438,0.017975929168710734,2.548657509802072,0.014691303206836497,1.4612557208236996,0.021233259069959983,2.1445027565453496,2.548657509802072,True
SLOT-TILT-harvest,tilt0_7d@h1,1438,-0.019409817418270164,-2.691236187169269,-0.022107647963240423,-2.1887706259737287,-0.0167418383869372,-1.6252063894696953,2.691236187169269,True
SLOT-TILT-harvest,tilt0_7d@h2,1437,-0.0017758510108763326,-0.2513972148811462,-0.013823681571688815,-1.4321643147542713,0.010155172328432426,0.9861835100182844,0.2513972148811462,False
