config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,stage,cell,aw,vw,neut,power,cadence,phase,quantity,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
deskclosed|trades|a378|v504|N|p1.0|c21|ph4,0.4112256410589865,0.3414486987366951,0.3414486987366951,0.04349138095598937,0.034678298188159484,0.1215368979187159,0.17690317433296,0.18309341200030582,0.18940221720321407,11.29588241080059,51.24189442969092,0.006355311644938442,6992,0.41780109792224907,-0.1886508545777211,0.03037001935154353,A,deskclosed,378,504,True,1.0,21,4,trades,1,1,-0.8431775262501979,0.9748237706945212,1.3728613748672958,0.3655972571236097,-0.8431775262501979,0.6702105139090655,3
weekend|trades|a126|v378|R|p1.0|c21|ph4,0.6511407426178888,0.5453073468002352,0.5453073468002352,0.07368936987876729,0.06014757060655085,0.12036168787679064,0.19887677826706196,0.20111452476210034,0.29907124151127223,16.89344379174701,53.77050713438416,0.009402378913071684,6896,0.46228648844507203,-0.10267189592545267,0.03260067669698971,A,weekend,126,378,False,1.0,21,4,trades,1,1,0.15069451653761215,1.327000701896144,1.3789512192114528,-0.35868442677450296,-0.35868442677450296,0.7388476092168781,3
weekend|trades|a126|v189|N|p1.0|c21|ph4,0.4736310383493245,0.35178782971425065,0.35178782971425065,0.05047957069382658,0.03538116499270827,0.1189790109920413,0.1592552375881079,0.17081112470563686,0.20713618655507085,19.270666220456693,36.63011937789013,0.010821317954521499,6810,0.39052567965099577,-0.11107186266685026,0.03390680082957965,A,weekend,126,189,True,1.0,21,4,trades,1,1,-0.060441262169522454,0.7100909283679484,1.03013498476071,-0.026258180993723915,-0.060441262169522454,0.34191637368711225,2
weekend|trades|a126|v252|N|p1.0|c21|ph4,0.5352201605494962,0.41374383234162415,0.41374383234162415,0.05818184616575528,0.043029280748728915,0.11892382753706399,0.14708641892775032,0.1577417485908713,0.27278308458677164,19.217250859066468,40.527143918901885,0.010784784381226542,6933,0.40782072001504566,-0.09949323483270708,0.03334041766649335,A,weekend,126,252,True,1.0,21,4,trades,1,1,-0.034447922685058766,0.9146292779802662,0.9871943700016036,0.04402722604088392,-0.034447922685058766,0.47932825201057505,3
weekend|trades|a126|v378|N|p1.0|c21|ph4,0.5000011611693947,0.38061521487760425,0.38061521487760425,0.05352742505107155,0.03877399046991448,0.11835070041559177,0.165609753739413,0.16800201186815666,0.2307947984595758,18.804686875194,38.929974137861436,0.010558329002265002,6955,0.4163717827749706,-0.12655388358918312,0.03377141688494924,A,weekend,126,378,True,1.0,21,4,trades,1,1,-0.1458220069838167,1.1743797487575782,0.9140518332453712,-0.11585665070940356,-0.1458220069838167,0.39909759126798383,2
weekend|trades|a126|v504|N|p1.0|c21|ph4,0.37027423086251066,0.2530463442010474,0.2530463442010474,0.03762398675294465,0.023273510804652897,0.11890714234306303,0.18625295581545187,0.18834755354201427,0.12356683358492006,18.55853649050977,31.151177677104062,0.01050054344705507,6894,0.3764236307329533,-0.1475513603921384,0.03335148205118125,A,weekend,126,504,True,1.0,21,4,trades,1,1,-0.12675082955759154,0.8806247494666714,1.0561916129066549,-0.4906259127309349,-0.4906259127309349,0.3769369599545399,2
weekend|trades|a189|v378|R|p1.0|c21|ph4,0.5744202721914806,0.4869116704038202,0.4869116704038202,0.06500389375540205,0.05365143140428641,0.12284582887178601,0.22311668880750113,0.22571044055394773,0.23770026443000547,14.28335663000742,56.60889196323232,0.008107328205259313,6034,0.4740861391434116,-0.15398301203878423,0.03585641328926351,A,weekend,189,378,False,1.0,21,4,trades,1,1,-0.5097256545643717,2.562665909254577,1.0042922076594296,-0.6745871856210192,-0.6745871856210192,0.24728327654752896,2
weekend|trades|a189|v189|N|p1.0|c21|ph4,0.5384250925352219,0.4352834074629986,0.4352834074629986,0.05993500173613664,0.046699786529637244,0.12198217591892443,0.1746230516746844,0.1782729720030063,0.26195662755232313,16.737257557786048,46.47089698670181,0.009477697835694871,6256,0.4810387790691887,-0.1731170496822762,0.03594270090423999,A,weekend,189,189,True,1.0,21,4,trades,1,1,-0.5614595384063398,2.0349575598695813,0.8685205391601286,-0.20010842384944752,-0.5614595384063398,0.33420605765534056,2
weekend|trades|a189|v252|N|p1.0|c21|ph4,0.48975860788449066,0.3887023900853974,0.3887023900853974,0.0540609228925073,0.041051855497289624,0.12302189280324662,0.17622694403548922,0.17988139165007888,0.2282162436076062,16.53683440788705,43.62661559710845,0.009389082606391078,6234,0.46443633954548424,-0.17882273944300156,0.03675731298124604,A,weekend,189,252,True,1.0,21,4,trades,1,1,-0.6029193253752114,2.1661588221826475,0.7713638674386564,-0.3694054813768748,-0.6029193253752114,0.2009791930308908,2
weekend|trades|a189|v378|N|p1.0|c21|ph4,0.4599510666558664,0.3604558806306896,0.3604558806306896,0.05020314085117539,0.03744533349359447,0.12303376554950185,0.1759056044859757,0.1795109818470758,0.20859633827580473,16.26345855357041,42.026411387415884,0.009254204524672575,6533,0.4630657976860999,-0.192476760523002,0.03645958239592787,A,weekend,189,378,True,1.0,21,4,trades,1,1,-0.6707863821960838,2.232529501660787,0.8014094283439608,-0.4515710014821486,-0.6707863821960838,0.17491921343090608,2
weekend|trades|a189|v504|N|p1.0|c21|ph4,0.3677152046687452,0.27000108731830974,0.27000108731830974,0.03855172883150071,0.02607157998939713,0.12382982450636595,0.1897696053273773,0.19268453064210533,0.13530707370496084,16.09048932917832,35.472007889933586,0.009229232199339634,6812,0.4054979135060162,-0.17953872484514072,0.03697707625713792,A,weekend,189,504,True,1.0,21,4,trades,1,1,-0.6754551878047286,2.0429234621451196,0.7390962993871236,-0.5828562847768857,-0.6754551878047286,0.07812000730511898,2
weekend|trades|a252|v378|R|p1.0|c21|ph4,0.45119692780849485,0.3689836826313903,0.3689836826313903,0.047994896743847715,0.03773117586259134,0.11987933103171307,0.2141830137320958,0.21680458930614954,0.17403310503409677,13.115302803679334,48.64741304147357,0.007400486701270242,6510,0.40368170104317114,-0.15109350280046552,0.03088890819856355,A,weekend,252,378,False,1.0,21,4,trades,1,1,-0.43874110690358037,1.9432955547387438,1.100458648716728,-0.7265307229091739,-0.7265307229091739,0.33085877090657384,2
