config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,quantity,W,variant,power,cadence,phase,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
trades|W252|neut_rv378|p1.0|c21|ph8,1.1212047024076275,1.047232213840481,1.047232213840481,0.13194676588057486,0.1222123999721283,0.11660823703414731,0.11815206332287809,0.11978314308368421,1.0202804570485091,11.52623224248415,120.79373050319602,0.0069062360771687484,4310,0.6844849294570511,-0.13328805978391517,0.03566934002002058,trades,252,neut_rv378,1.0,21,8,2,2,0.46230146522800114,1.6654821220112213,1.009663897956931,1.1767528895532067,0.46230146522800114,1.0932083937550687,4
trades|W252|neut_rv378|p1.0|c21|ph9,1.0744394603238356,0.9983374939435251,0.9983374939435251,0.12555252434434538,0.11569009005551512,0.1163904451947444,0.12415548311980118,0.1258508926438271,0.919263166316442,11.732754722937315,113.82669604988895,0.007054828402910863,4430,0.7124994090955267,-0.18378748588967336,0.035046203444368186,trades,252,neut_rv378,1.0,21,9,3,0,0.26907563855804145,1.4300963520509433,0.7881012726681192,1.5347902694572968,0.26907563855804145,1.1090988123595313,4
trades|W252|neut_rv378|p1.0|c21|ph10,0.8588375400245969,0.7827063719643469,0.7827063719643469,0.09793289776581426,0.08829071962336998,0.11671925440438198,0.12986103900071289,0.13150328616179086,0.6713955384715202,11.7590402649727,92.46808601905033,0.007167437379552619,4567,0.6745400067466502,-0.24407413194810365,0.03420820267174638,trades,252,neut_rv378,1.0,21,10,3,1,0.3872325602502315,1.039444263688203,0.674406181221674,1.0832044962512877,0.3872325602502315,0.8569252224549385,4
trades|W252|neut_rv378|p1.0|c21|ph11,0.8602039959368434,0.7847747545602101,0.7847747545602101,0.09983721074110918,0.09008491923337125,0.1188373616960112,0.16400009120270054,0.1656946274103951,0.5436803874771841,11.865263518018008,93.16511835769722,0.007239247392781064,4648,0.6600367510893783,-0.22240813667785958,0.03486405884676548,trades,252,neut_rv378,1.0,21,11,3,2,0.25901870115302955,1.225067433739519,0.647496687184451,1.0886920451592705,0.25901870115302955,0.8680943661718608,4
trades|W252|neut_rv378|p1.0|c21|ph12,0.8323077361051464,0.7541417402940792,0.7541417402940792,0.09692270059817565,0.08677059094702244,0.11976936953179933,0.1615982456276588,0.1638642913452315,0.5295271485610796,12.386320093845786,87.43226977921807,0.007560218882696349,4723,0.6745670460067863,-0.24583195131517457,0.03592847119459087,trades,252,neut_rv378,1.0,21,12,4,0,-0.02909965157046074,1.2125156632821275,0.782885036641742,1.1795655582948255,-0.02909965157046074,0.9812252974682838,3
trades|W252|neut_rv378|p1.0|c21|ph13,0.7942988423364792,0.71785654597375,0.71785654597375,0.09158026058047652,0.08175203687228616,0.1192822733657978,0.17522120112030137,0.1774255827159602,0.46076803367844993,12.049580933090372,85.60046465866091,0.007363867776449529,4563,0.6671281475680586,-0.2587870913359468,0.03575988495593214,trades,252,neut_rv378,1.0,21,13,4,1,-0.2818579737084077,1.2509658816695644,1.1710249431405144,1.0257675549571856,-0.2818579737084077,1.0983962490488501,3
trades|W252|neut_rv378|p1.0|c21|ph14,0.9683504074918761,0.8900109960296456,0.8900109960296456,0.11663782206136908,0.10615433256079965,0.1215592067114909,0.16989417085059078,0.17209427477176542,0.6168382574120114,12.5780338711967,100.35329592238188,0.00764140967754912,5001,0.680549376783315,-0.18083783178029306,0.03696200023435087,trades,252,neut_rv378,1.0,21,14,4,2,0.06670090955296397,1.2625358000045446,1.2392375972745466,1.2568120576820891,0.06670090955296397,1.2480248274783179,4
trades|W252|neut_rv378|p1.0|c21|ph15,0.7788702633053889,0.695354041973125,0.695354041973125,0.08989036211127766,0.07912103490652567,0.11976093613707814,0.16548644369198406,0.16793034250095884,0.4711538946934138,13.214649875135294,77.60072917309257,0.008170611881655881,5223,0.6477822808022702,-0.24180994012222806,0.035580219197908484,trades,252,neut_rv378,1.0,21,15,5,0,-0.33600774213017937,0.8666764900621184,0.7216509336764911,1.6291762578786912,-0.33600774213017937,0.7941637118693048,3
trades|W252|neut_rv378|p1.0|c21|ph16,0.9541183203345459,0.873050450913772,0.873050450913772,0.11024948825142578,0.09987914360936734,0.11677084062982092,0.1600587283787337,0.1624153574307401,0.6149612031113467,12.51543510204381,96.10352802788591,0.007674351500756573,4438,0.7419726766936492,-0.265804610551291,0.03416762591805119,trades,252,neut_rv378,1.0,21,16,5,1,-0.08425215835263093,1.1619900969449042,1.2468743915385059,1.4450842428909396,-0.08425215835263093,1.204432244241705,3
trades|W252|neut_rv378|p1.0|c21|ph17,0.8082667078455547,0.7330052196816457,0.7330052196816457,0.09247266446376501,0.08289344562443812,0.11805961411292631,0.19048487516162182,0.19260513389489575,0.4303802497272628,11.739410534977369,88.38157664231093,0.0072747789388501235,4343,0.7079147052165158,-0.2971595547390677,0.036479892935621455,trades,252,neut_rv378,1.0,21,17,5,2,-0.3021985182788539,1.3490709743840554,0.7989665085199593,1.304227660729287,-0.3021985182788539,1.0515970846246232,3
trades|W252|neut_rv378|p1.0|c21|ph18,0.7335759698689412,0.6589635777675796,0.6589635777675796,0.0805044742171388,0.07132129856002933,0.11449474374324131,0.19569249474623296,0.19761291414325088,0.3609141582130005,11.383270816036948,81.12759024062885,0.007106299386044355,4158,0.6355209360572527,-0.26991719842096623,0.035159802616366156,trades,252,neut_rv378,1.0,21,18,6,0,-0.5877117159572703,1.5079323975899157,0.7497425857533989,1.2611446997873352,-0.5877117159572703,1.005443642770367,3
trades|W252|neut_rv378|p1.0|c21|ph19,0.6822874350874494,0.6067347777590911,0.6067347777590911,0.07385808813123629,0.0646576306049691,0.1139683216261411,0.18960333185546063,0.19099290760722998,0.33853419697623105,11.473402700372883,75.22327200842146,0.007137295858375566,4139,0.6434439492219728,-0.30176404258693623,0.03562502118133943,trades,252,neut_rv378,1.0,21,19,6,1,-0.6045948575733916,1.450307055229647,0.7496423052040109,1.14974766323931,-0.6045948575733916,0.9496949842216604,3
trades|W252|neut_rv378|p1.0|c21|ph20,0.6801978743975206,0.6018581981204372,0.6018581981204372,0.07252298826309622,0.06312001646793397,0.11220419003098651,0.16236645748203726,0.16396088413969967,0.3849699688991296,11.74706892241734,72.68939948498918,0.007265067535974897,4165,0.5889218138568059,-0.2508759858276054,0.03241987455963928,trades,252,neut_rv378,1.0,21,20,6,2,-0.5268585379354748,1.2379499542949968,1.1081865687131014,0.8661386474095554,-0.5268585379354748,0.9871626080613284,3
trades|W252|neut_rv_size|p1.0|c21|ph0,0.9699324928704068,0.8815362339103874,0.8815362339103874,0.12041415750330353,0.10812116305784536,0.12533331930116734,0.14506040314615465,0.14608640416642804,0.7401179026534802,14.709000821023967,89.81827960829817,0.008720327332829122,4672,0.8927787980658028,-0.36975326941250186,0.04375694613201506,trades,252,neut_rv_size,1.0,21,0,0,0,-0.3358664357108201,1.3771941648281696,1.0334560358781852,1.6102069290692103,-0.3358664357108201,1.2053251003531775,3
trades|W252|neut_rv_size|p1.0|c21|ph1,0.9230576952395912,0.8283989692130501,0.8283989692130501,0.11194468341513919,0.09910595907149022,0.12318893506626555,0.14609826878998355,0.1471471841361287,0.6735158382630373,15.476723021438557,80.79890055109678,0.009192841902985107,4746,0.8976883071204381,-0.4026264755685228,0.04215276495177118,trades,252,neut_rv_size,1.0,21,1,0,1,-0.44756435887618695,1.0925034458920855,0.932491032669121,1.846336962723802,-0.44756435887618695,1.0124972392806033,3
trades|W252|neut_rv_size|p1.0|c21|ph2,0.9413309391700694,0.8518455861739901,0.8518455861739901,0.11524136572941868,0.10299548545235648,0.12405585011825922,0.13797402041588291,0.1389165566960039,0.7414197983451694,14.71214406031372,86.55943698804411,0.008763737543502027,4640,0.8655900994721366,-0.3614335952939167,0.042733117589487175,trades,252,neut_rv_size,1.0,21,2,0,2,-0.36602634449207366,1.6250032566885706,0.7865372644835895,1.5090747760577208,-0.36602634449207366,1.147806020270655,3
trades|W252|neut_rv_size|p1.0|c21|ph3,0.9588208833074133,0.8665226228586664,0.8665226228586664,0.1131379257852485,0.1009679543617017,0.11920697192306608,0.11752564567885015,0.11838523715817528,0.8528762266767921,14.637649823617277,85.45634619576659,0.008675290280672005,4434,0.8803294767783072,-0.385118051481296,0.037997793803149056,trades,252,neut_rv_size,1.0,21,3,1,0,-0.012483350706101926,1.7137235791028527,0.31507611904755994,1.4558416775226315,-0.012483350706101926,0.8854588982850957,3
