config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,pass,aw,vw,power,cadence,phase,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
a189|v504|p1.0|c21|ph4,0.6226936196468036,0.5368057008055417,0.5368057008055417,0.0665413436038711,0.0561746817736104,0.11390094903825615,0.14263473793825432,0.14492488476851406,0.38761239564438654,13.040615029960348,61.724339706230246,0.008276344634667279,4712,0.4815927169990094,-0.16293128035069243,0.03795632180867952,windows,189,504,1.0,21,4,1,1,-0.6905855548300178,1.794673141856993,1.451727386940629,0.039858360212994236,-0.6905855548300178,0.7457928735768117,3
a252|v189|p1.0|c21|ph4,0.7063341785255619,0.619668691129842,0.619668691129842,0.07701451036377249,0.06640696295672943,0.11433602921566718,0.13910483715621624,0.13994610073627867,0.47451813667799136,13.215230959288427,68.55382219825408,0.007909857203767186,4497,0.632321653891264,-0.2736629175636403,0.034360513365738636,windows,252,189,1.0,21,4,1,1,-0.6460364015037673,1.2541943009720244,1.5254808300363825,0.7425774744860854,-0.6460364015037673,0.9983858877290549,3
a252|v252|p1.0|c21|ph4,0.6722896894339364,0.587376319451854,0.587376319451854,0.0729757259989019,0.06260526941625644,0.1145831829061336,0.139229596812247,0.1401235091551707,0.4467863372371605,12.967563205766796,66.89712859880134,0.007768070329021228,4832,0.6058345675322285,-0.262402508847985,0.035244730675263285,windows,252,252,1.0,21,4,1,1,-0.6296748653480784,1.5298563054012266,1.4661030230053433,0.41657892580639283,-0.6296748653480784,0.9413409744058681,3
a252|v315|p1.0|c21|ph4,1.0000143202304894,0.9141679052264684,0.9141679052264684,0.1120355912633253,0.10133670538336959,0.11254396466470791,0.13904467781759866,0.14057545473058286,0.7208705501083704,12.908695580017408,94.9138436104129,0.007635958440839722,4936,0.5720063034177925,-0.08695586369121436,0.031312722939688384,windows,252,315,1.0,21,4,1,1,0.6510315119774462,1.6712385731418944,1.3634444036153774,0.2192757542626605,0.2192757542626605,1.007237957796412,4
a252|v378|p1.0|c21|ph4,0.9632505773311334,0.8804409881868117,0.8804409881868117,0.10748936730050529,0.09720475398737327,0.11259365589201895,0.14091834543320247,0.14249744831275568,0.6821508394594318,12.452261998729062,94.8394800373534,0.007480735921061942,4590,0.6241430387594927,-0.15660990261048466,0.03220392374566475,windows,252,378,1.0,21,4,1,1,0.16771516947897494,1.574285121028807,1.2660955711974453,0.7443851603743381,0.16771516947897494,1.0052403657858917,4
a252|v441|p1.0|c21|ph4,0.5768015329261943,0.49617201310761555,0.49617201310761555,0.06038797541047347,0.05080241204740399,0.11270190487461902,0.17072879353279535,0.17264055014913282,0.29426697264066365,12.106758022523172,61.4647067499759,0.0075777464627635,4417,0.4368806152012234,-0.14228338531468754,0.0360015580549709,windows,252,441,1.0,21,4,1,1,-0.9614391092145468,1.5803846001619606,1.2820937250560462,0.4577633005128045,-0.9614391092145468,0.8699285127844254,3
a252|v504|p1.0|c21|ph4,0.40170495883885526,0.32348709379635704,0.32348709379635704,0.04063807913319639,0.031246269857875042,0.11598633718201501,0.19109395664790962,0.1932165827169382,0.16171629483609462,12.094490657416578,45.96003424384108,0.007745114563017103,4777,0.46518545460273164,-0.2451245420267577,0.03901520448534559,windows,252,504,1.0,21,4,1,1,-1.0701985335794109,1.5419512421156738,1.0805350298627692,0.15526478364718693,-1.0701985335794109,0.6178999067549781,3
a315|v189|p1.0|c21|ph4,0.7862746007761646,0.7087859052939977,0.7087859052939977,0.08844859810856165,0.07864955203407864,0.11644041361485312,0.18144331575378592,0.19028423859463972,0.41332667705403,12.065944736934505,83.17510473697298,0.0072070202553241106,4256,0.6405179243107629,-0.24320776433292618,0.031061026276869942,windows,315,189,1.0,21,4,1,1,0.8871693375671861,-0.9497947473056839,2.1605610210223363,0.8917276853436409,-0.9497947473056839,0.8894485114554135,3
a315|v252|p1.0|c21|ph4,0.6505509038019652,0.5755328950007345,0.5755328950007345,0.07230639460181476,0.06283383943997989,0.1180680098561201,0.18954581726343667,0.19797672868642358,0.3173799256957253,11.830196985402406,72.14119442781708,0.007106743896362202,4340,0.6170128890459006,-0.27914237904081707,0.03438985186267481,windows,315,252,1.0,21,4,1,1,0.6090887108060176,-0.7112535541930708,2.0554547813920667,0.6069832384209428,-0.7112535541930708,0.6080359746134802,3
a315|v315|p1.0|c21|ph4,0.5200584107973701,0.4449534490230758,0.4449534490230758,0.05542184435644071,0.046187175879394804,0.11690863450775595,0.18869316771323186,0.19690343411513578,0.23456765031526913,11.716706742384378,59.17995845336469,0.007039724777056633,4414,0.5559821267859006,-0.28147400477644924,0.0343428826956424,windows,315,315,1.0,21,4,1,1,0.5851716738472849,-0.7457515149751883,2.0930910349449814,0.156979926940958,-0.7457515149751883,0.3710758003941214,3
a315|v378|p1.0|c21|ph4,0.40884460633037273,0.3371410032937895,0.3371410032937895,0.041846378244807525,0.03312724490178498,0.1170987005988996,0.20374631307804347,0.21030082321870536,0.15752313469231563,11.204185696148496,50.051351005707566,0.006884628364387559,4277,0.6010322449748857,-0.3790229869444813,0.03749986873514966,windows,315,378,1.0,21,4,1,1,0.1434072571564075,-0.6830478760035121,1.8260483522667008,0.35315953111874454,-0.6830478760035121,0.24828339413757602,3
a315|v441|p1.0|c21|ph4,0.10466616091240923,0.034803776963605856,0.034803776963605856,0.0054005956143410305,-0.002728429539015309,0.11619333256648899,0.22366347261841013,0.23041891415659888,-0.011841170022878395,10.815989134314101,18.75091477924997,0.006932213363371867,4132,0.3750285171255011,-0.2947381054027253,0.04208130150577683,windows,315,441,1.0,21,4,1,1,-0.694518398961986,-0.7255724602529188,1.825381892445923,0.14530270184144006,-0.7255724602529188,-0.274607848560273,2
a315|v504|p1.0|c21|ph4,-0.054478350996131866,-0.12376480448140387,-0.12376480448140387,-0.013159678502627559,-0.02112216477067752,0.11692106044468861,0.24573799623522508,0.2526367318773727,-0.08360686355351528,10.798675734922485,1.3691633016123814,0.007050318391211655,4447,0.3948048886509956,-0.3889515893346456,0.04147155426720442,windows,315,504,1.0,21,4,1,1,-1.1425214559682915,-0.7607726814435789,1.7820963530078822,0.09284772794412612,-1.1425214559682915,-0.3339624767497264,2
a378|v189|p1.0|c21|ph4,0.5363745299679278,0.46466984002400435,0.46466984002400435,0.05678497289216122,0.04807612519035964,0.11543242885283472,0.17370771143657615,0.1833980558495799,0.2621408660394464,11.034201075342969,63.591256461591314,0.006777483764215962,3848,0.48606831950657414,-0.2082804464729708,0.03242477892811826,windows,378,189,1.0,21,4,1,1,0.4390406234629609,-0.6380404282238032,1.7302161236948257,0.5529505150019468,-0.6380404282238032,0.49599556923245386,3
