config,sharpe_1x,sharpe_2x,sharpe_3x,ret_1x,ret_2x,vol_1x,dd_1x,dd_2x,calmar_2x,turnover,gross_edge,cost_share,trades,long_gross,short_gross,top5,stage,cell,aw,vw,neut,power,cadence,phase,quantity,weekday,slot,F1,F2,F3,F4,worst,median_fold,npos
deskclosed|volume|a252|v378|N|p0.6|c21|ph10,0.6852356419959742,0.5998712110503451,0.5998712110503451,0.0764260778157928,0.06571191219236372,0.11756832955607076,0.10347789694788312,0.10697029445943074,0.6143005637633862,13.337391242779919,67.6393023563763,0.007507778209649793,8032,0.5995498550984946,-0.24240451065105573,0.026537627968474062,B,deskclosed,252,378,True,0.6,21,10,volume,3,1,0.4696032740125964,1.6533583836672254,-0.15682398988286392,0.3850505137985631,-0.15682398988286392,0.42732689390557976,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph11,0.5273482995091892,0.4411316661099583,0.4411316661099583,0.05678851996898415,0.04612849897887927,0.11793227715701068,0.11158269926951103,0.11493864201799375,0.4013315119179659,13.503968693665971,53.202911943472714,0.007670115860992577,8349,0.5517433763811197,-0.2673157295883865,0.02658481245776316,B,deskclosed,252,378,True,0.6,21,11,volume,3,2,0.006280542458651332,1.4549151587737008,0.3575919050744232,0.0707770320509717,0.006280542458651332,0.21418446856269743,4
deskclosed|volume|a252|v378|N|p0.6|c21|ph12,0.38678642065097707,0.2979969465973358,0.2979969465973358,0.039704405212561245,0.028794915361475715,0.11898043836876625,0.12178435462948833,0.12536456316675704,0.22968943243692705,14.05788926121249,39.806687026005136,0.00802104811304377,8431,0.5274951703426471,-0.3059556889159942,0.028594211103565973,B,deskclosed,252,378,True,0.6,21,12,volume,4,0,-0.526104968903671,1.3333863445487357,0.29775401052137723,0.2984550694042705,-0.526104968903671,0.2981045399628239,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph13,0.33613865362668777,0.24947512266286462,0.24947512266286462,0.03346908978389562,0.02288040761383825,0.11901644641247253,0.137468962841912,0.14098042003252287,0.16229493151290053,13.728189321213016,36.180836115703464,0.007868121388859273,8449,0.5371059957832675,-0.34046827064506247,0.027789658518026682,B,deskclosed,252,378,True,0.6,21,13,volume,4,1,-0.7613507774819044,1.2753976495958776,0.6335629092211774,0.21443612031620576,-0.7613507774819044,0.4239995147686916,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph14,0.4217695696824793,0.3353409781737428,0.3353409781737428,0.04411434964734795,0.03342982596958466,0.11919345056118494,0.10736311269812915,0.10803123460254827,0.30944593100851325,13.707978417279456,43.68785588708134,0.007834038046975413,8290,0.5306468132776092,-0.29355905760962653,0.028823102473713478,B,deskclosed,252,378,True,0.6,21,14,volume,4,2,-0.40756491540546474,1.1247975630919564,0.5007572638824141,0.3688085531415929,-0.40756491540546474,0.4347829085120035,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph15,0.46002994232446437,0.369085148149083,0.369085148149083,0.04888575585833421,0.03760249355258982,0.11921361797986751,0.10003896283878533,0.1072443616604184,0.3506244334938132,14.40564850502027,45.11522048982339,0.008283227576254746,7986,0.5543591938356096,-0.29706446988186497,0.028175693650235638,B,deskclosed,252,378,True,0.6,21,15,volume,5,0,-0.37097047864660776,0.9614574093566994,0.6031138237838325,0.5242129144381863,-0.37097047864660776,0.5636633691110093,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph16,0.4243095021253568,0.3360892157639114,0.3360892157639114,0.04447599194482654,0.03356199238497437,0.11937093033030698,0.12405529172922625,0.1292310046011953,0.25970542044880107,13.893134814983206,43.472923052052856,0.007967148394770248,7885,0.5959260127619228,-0.35681803024045794,0.02983976786291733,B,deskclosed,252,378,True,0.6,21,16,volume,5,1,-0.7350726491771813,1.1326364795221733,0.823318219882065,0.5304034862115417,-0.7350726491771813,0.6768608530468033,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph17,0.3528376699680837,0.26928202496056897,0.26928202496056897,0.03545383240258482,0.025254337459734266,0.11875781293583253,0.1255208138399837,0.13160039102573984,0.19190169013095673,13.185777385090239,38.84214734725747,0.00766044759834129,7683,0.5408641754879374,-0.3381033954399028,0.029124435787222423,B,deskclosed,252,378,True,0.6,21,17,volume,5,2,-0.6178725313691036,1.1340825701642958,0.5415133802177233,0.33283497181377447,-0.6178725313691036,0.4371741760157489,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph18,0.4610799812415511,0.3765481046388297,0.3765481046388297,0.0482195640893206,0.037922925768320015,0.11700989122550043,0.13263419701721846,0.13815708537971394,0.2744913564446718,13.146664897076239,48.28301264103699,0.007594661103881428,7568,0.5570718761677493,-0.30577624635629763,0.030085190154741454,B,deskclosed,252,378,True,0.6,21,18,volume,6,0,-0.700379658647495,1.4979162676780093,0.6018327176452468,0.5011985598979959,-0.700379658647495,0.5515156387716214,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph19,0.47397079033298567,0.39083595371315843,0.39083595371315843,0.05006474950808526,0.039858504868782285,0.11770471015045246,0.11361441357256852,0.117614794452785,0.3388902310651318,13.017284034126552,50.12693747275649,0.007493240381183658,7361,0.5824650757601841,-0.3241400176206628,0.03067824132653774,B,deskclosed,252,378,True,0.6,21,19,volume,6,1,-0.34297654246390896,1.2644675784252017,0.6109734161016167,0.3281775238021008,-0.34297654246390896,0.4695754699518587,3
deskclosed|volume|a252|v378|N|p0.6|c21|ph20,0.5420233537401189,0.45711185917413294,0.45711185917413294,0.05863682090209488,0.04809861329974674,0.11798783523722003,0.11116252170440233,0.11319754827800921,0.42490861358249765,13.325499359283828,55.36910573752207,0.007641111519316764,7379,0.6184716010334929,-0.3263753488478539,0.031244994960034536,B,deskclosed,252,378,True,0.6,21,20,volume,6,2,-0.3092995133182551,1.0683140300784038,0.7511705539193729,0.6076709519363604,-0.3092995133182551,0.6794207529278666,3
deskclosed|volume|a252|v378|N|p1.0|c21|ph0,0.6549812151762556,0.5671935100118024,0.5671935100118024,0.07372541135242461,0.06252651253013686,0.11953714538586803,0.111642785027941,0.11474484714974575,0.5449178249245278,13.966620862038926,63.507365383778826,0.007877997032039367,6751,0.5652681278289449,-0.21411994694979447,0.033920918421624334,B,deskclosed,252,378,True,1.0,21,0,volume,0,0,-0.49183247913798567,1.5238036498055825,1.2071387888080651,0.5622165783352979,-0.49183247913798567,0.8846776835716815,3
deskclosed|volume|a252|v378|N|p1.0|c21|ph1,0.8295257875717561,0.7357743260199575,0.7357743260199575,0.09705230335097759,0.08474986172544341,0.12042244423230702,0.10416410079851612,0.10737157691287702,0.7893137472891059,15.037158562718135,73.82462376971098,0.008362937549305284,6777,0.5694463427315198,-0.1299634198145242,0.03337272374686079,B,deskclosed,252,378,True,1.0,21,1,volume,0,1,-0.1424551452803397,1.8321269013084869,1.2440153159772982,0.4908396344611069,-0.1424551452803397,0.8674274752192026,3
