feature,in_19col,ic_full,n_full,n_subperiods,frac_same_sign,mean_abs_ic,ic_dispersion,worst_signed_ic,recent_ic,recent_same_sign,stability_score,ic_2020-01-01,ic_2020-07-01,ic_2020-12-31,ic_2021-07-01,ic_2021-12-31,ic_2022-07-01,ic_2022-12-31,ic_2023-07-01,ic_2023-12-31,ic_2024-06-30,ic_2024-12-30,adf_p,stationary
vol_natr_7,False,0.0469,5712,11,1.0,0.0794,0.0493,0.0005,0.1115,True,0.0794,0.0523,0.1515,0.0398,0.1627,0.0711,0.0005,0.0516,0.0943,0.0433,0.0948,0.1115,6.0801183654007455e-12,True
vol_bb_bandwidth_30,False,0.0446,5689,11,0.818,0.0951,0.0961,-0.1637,0.1932,True,0.0778,0.1418,0.0866,0.064,0.0391,0.1735,-0.1637,0.0537,0.0718,0.0554,-0.0031,0.1932,2.148903960702876e-15,True
vol_natr_14,False,0.045,5705,11,0.909,0.0832,0.0552,-0.0145,0.094,True,0.07562,0.0785,0.1456,0.0424,0.1627,0.1075,-0.0145,0.0219,0.1087,0.0271,0.112,0.094,3.084726138502152e-11,True
mr_pct_from_high_50,False,-0.0021,5669,11,0.818,0.0922,0.1045,-0.0606,-0.3352,True,0.07546,-0.0915,-0.0058,-0.0445,-0.0732,-0.0954,-0.1215,0.0297,-0.1208,0.0606,-0.0364,-0.3352,2.058432484549102e-15,True
vol_garman_klass_30,False,0.0375,5689,11,0.727,0.1003,0.0881,-0.0733,0.0761,True,0.07296,0.0905,0.1164,0.0624,0.1471,0.2034,-0.0383,-0.0307,0.108,-0.0733,0.1572,0.0761,2.2720547180528965e-18,True
vol_parkinson_10,False,0.0487,5709,11,0.909,0.0785,0.0557,-0.021,0.0671,True,0.07134,0.0532,0.1657,0.0223,0.1505,0.1104,-0.021,0.0365,0.0583,0.0648,0.1136,0.0671,4.741683693436111e-11,True
mr_pct_from_high_20,False,-0.0272,5699,11,0.818,0.0831,0.0853,-0.0409,-0.1745,True,0.06799,-0.2245,-0.0802,-0.0131,-0.0469,-0.0332,-0.1193,0.0243,-0.1455,0.0409,-0.0117,-0.1745,3.8667119472348956e-20,True
ent_volume_20,False,-0.0226,5698,11,0.727,0.0923,0.122,-0.2533,-0.0154,True,0.06713,0.092,-0.0157,-0.2159,-0.0945,0.2533,-0.0443,-0.0745,-0.0481,-0.085,0.0767,-0.0154,9.52191845239061e-23,True
vol_natr_21,False,0.0403,5698,11,0.818,0.0811,0.0597,-0.0059,0.0841,True,0.06638,0.0962,0.1334,0.0512,0.155,0.1362,0.0004,-0.0032,0.117,-0.0059,0.1099,0.0841,2.937444679441968e-10,True
mr_pct_from_low_50,False,0.057,5669,11,0.727,0.0907,0.1018,-0.1605,-0.1605,False,0.06598,0.1424,0.1363,-0.0549,0.0888,0.0747,-0.1285,0.0077,0.0508,0.09,0.0631,-0.1605,1.1352392646179195e-13,True
trend_aroon_up_14,False,-0.0205,5704,11,0.727,0.0904,0.1162,-0.1587,-0.1118,True,0.06576,-0.2426,-0.017,0.0618,-0.0245,0.0334,-0.2122,0.1587,-0.0316,-0.0115,-0.0894,-0.1118,4.580945638636829e-27,True
mom_stoch_d_21,False,-0.0037,5694,11,0.818,0.0799,0.1145,-0.0921,-0.2667,True,0.0654,-0.103,-0.0147,-0.0023,-0.0595,0.0919,-0.2285,0.0921,-0.0012,-0.0049,-0.0142,-0.2667,4.988185967521007e-21,True
vol_cmf_14,False,-0.0198,5705,11,0.727,0.0898,0.0932,-0.0705,-0.0741,True,0.06528,-0.0339,-0.1006,-0.1264,-0.0993,0.0003,-0.1961,0.0705,-0.2157,0.056,-0.0146,-0.0741,9.610151292866845e-21,True
vol_cmf_20,False,-0.0115,5699,11,0.727,0.088,0.1007,-0.0688,-0.0194,True,0.06401,-0.0186,-0.1756,-0.1643,-0.0397,0.0068,-0.2053,0.0418,-0.2024,0.0688,-0.0255,-0.0194,2.4078609966152195e-16,True
mom_stoch_k_14,False,-0.0129,5703,11,0.727,0.0866,0.094,-0.0915,-0.1292,True,0.06299,-0.1215,-0.0293,-0.0388,-0.1195,0.0663,-0.2045,0.0691,-0.0481,0.0915,-0.0348,-0.1292,1.5680475252685106e-26,True
vol_state_z_natr_30,False,0.052,5599,11,0.727,0.0852,0.0913,-0.0798,0.0301,True,0.06199,-0.0192,0.138,-0.0563,0.1067,0.0813,-0.0798,0.0602,0.0857,0.0376,0.2428,0.0301,2.177928639493855e-17,True
mom_stoch_k_21,False,-0.0039,5696,11,0.727,0.0849,0.1133,-0.097,-0.2562,True,0.06177,-0.1121,-0.0223,-0.017,-0.081,0.0935,-0.2215,0.097,-0.0167,0.0149,-0.0018,-0.2562,6.1056152535861455e-24,True
vol_bb_bandwidth_20,False,0.038,5699,11,0.727,0.0835,0.0861,-0.1544,0.0777,True,0.06072,0.1376,0.0809,-0.0169,0.0127,0.0924,-0.1544,0.1088,0.1208,0.1005,-0.016,0.0777,8.166324012737848e-21,True
mom_stoch_d_14,False,-0.0114,5701,11,0.727,0.0834,0.0943,-0.0793,-0.1296,True,0.06068,-0.1217,-0.0297,-0.0208,-0.0948,0.0622,-0.2231,0.0716,-0.0318,0.0793,-0.0531,-0.1296,1.0406393701611296e-23,True
vol_hist_20,False,0.0301,5698,11,0.818,0.0739,0.0791,-0.0729,0.0012,True,0.06047,0.2106,0.0525,0.0537,0.154,0.0752,-0.0729,0.0193,-0.013,0.0498,0.1106,0.0012,1.390755639882067e-07,True
trend_minus_di_21,False,-0.0545,5698,11,0.727,0.0796,0.0974,-0.2039,0.0743,False,0.05786,-0.0222,-0.115,-0.1271,-0.057,0.0467,0.2039,-0.0714,-0.0661,-0.0867,-0.0047,0.0743,2.1743232516928344e-15,True
stat_skew_30,False,0.0582,5688,11,0.727,0.0793,0.0785,-0.0684,0.1548,True,0.05765,0.0654,0.062,0.0939,0.1811,0.1186,0.0254,-0.0103,-0.0436,0.0485,-0.0684,0.1548,2.6549234575111164e-21,True
vol_bb_bandwidth_10,False,0.0327,5709,11,0.727,0.0792,0.0901,-0.1077,0.0128,True,0.05758,0.0019,0.15,0.0518,0.1814,-0.0357,-0.0647,0.1116,0.0621,0.0912,-0.1077,0.0128,3.3182542943522384e-17,True
basis_zscore_30,False,-0.0455,5688,11,0.818,0.0681,0.0598,-0.0589,-0.0673,True,0.05571,-0.1464,-0.1033,0.0265,0.0589,-0.0699,-0.0118,-0.0639,-0.1061,-0.0309,-0.064,-0.0673,4.333524566678035e-28,True
stat_skew_50,False,0.0532,5668,11,0.727,0.0758,0.0899,-0.1397,-0.1397,False,0.05511,-0.0128,0.0503,0.0327,0.1284,0.0398,0.1344,0.0362,0.0323,0.1921,-0.035,-0.1397,1.1716483607175433e-15,True
vol_mfi_21,False,0.0222,5697,11,0.727,0.0739,0.1136,-0.2852,-0.2852,False,0.05375,0.0252,0.0415,0.0327,0.0142,0.0815,-0.1791,0.0476,-0.0203,0.068,0.0177,-0.2852,1.1110066582616262e-26,True
vol_taker_buy_ratio,True,0.0498,5718,11,0.818,0.0644,0.0597,-0.0256,-0.0066,False,0.05273,0.1667,0.1415,0.0111,0.0557,0.0946,-0.0256,0.0814,0.0415,0.0619,0.0224,-0.0066,4.8780507927784784e-20,True
mom_stoch_d_9,False,-0.0138,5706,11,0.727,0.0716,0.0782,-0.0796,-0.0612,True,0.05209,-0.1137,-0.0109,-0.066,-0.1223,0.0696,-0.1571,0.043,-0.028,0.0796,-0.0364,-0.0612,1.321476827362357e-24,True
mom_stoch_k_9,False,-0.0131,5708,11,0.727,0.0714,0.0787,-0.0762,-0.0617,True,0.0519,-0.096,-0.007,-0.0911,-0.1382,0.0762,-0.1369,0.0532,-0.0393,0.0739,-0.0116,-0.0617,1.4936790261611007e-27,True
trend_minus_di_14,False,-0.0467,5705,11,0.727,0.0709,0.0926,-0.2101,0.0596,False,0.05154,-0.0128,-0.0879,-0.1184,-0.0389,0.0168,0.2101,-0.0967,-0.0591,-0.0726,-0.0066,0.0596,1.2234704685317767e-18,True
vol_bb_bandwidth_15,False,0.0291,5704,11,0.727,0.0681,0.0801,-0.1172,0.0024,True,0.04956,0.0039,0.1411,-0.0075,0.0879,0.0194,-0.1172,0.0951,0.1079,0.1234,-0.044,0.0024,5.56541024410808e-18,True
mr_rsi_extreme_7,False,-0.0376,5718,11,0.727,0.0671,0.0856,-0.1744,0.0628,False,0.04881,-0.0281,-0.0378,-0.0286,-0.0033,-0.074,0.1744,-0.1335,-0.0415,-0.0785,0.0759,0.0628,6.342151711353805e-25,True
trend_minus_di_7,False,-0.038,5712,11,0.727,0.0668,0.0938,-0.218,0.051,False,0.0486,0.0074,-0.0588,-0.0856,-0.0091,-0.0162,0.218,-0.1381,-0.0777,-0.0673,-0.0059,0.051,6.739014460856105e-24,True
mr_pct_from_high_10,False,-0.0328,5709,11,0.727,0.0604,0.0577,-0.0288,-0.0231,True,0.04393,-0.1034,-0.1136,-0.0741,-0.1574,0.0028,-0.0728,-0.0213,-0.0599,0.0288,0.0071,-0.0231,3.1459873558255908e-21,True
vol_hist_5,False,0.0173,5713,11,0.727,0.0573,0.0562,-0.0317,0.0861,True,0.0417,0.1205,0.1154,0.0001,0.02,-0.0317,0.0766,0.0649,-0.0208,-0.0174,0.0773,0.0861,1.4655816060082537e-14,True
vol_range_spike_24,False,0.018,5695,11,0.818,0.05,0.0575,-0.0837,0.1269,True,0.04087,-0.0576,0.0556,0.0112,0.0549,-0.0837,0.0307,0.0392,0.0193,0.0633,0.0071,0.1269,4.5542732340209563e-29,True
vol_volume_rel_20,False,0.0089,5699,11,0.818,0.0495,0.0628,-0.1218,0.118,True,0.0405,-0.0544,0.0238,0.0259,0.0796,-0.1218,0.0392,0.0295,0.0149,0.0294,0.0081,0.118,2.503268323497573e-27,True
mr_pct_from_low_5,False,0.0206,5714,11,0.727,0.0544,0.0637,-0.077,0.0045,True,0.03958,0.0276,0.1026,-0.077,-0.0562,0.066,-0.0534,0.1005,0.0047,0.0228,0.0836,0.0045,1.858715799001919e-17,True
vol_range_spike_36,False,0.0232,5683,11,0.727,0.0527,0.0594,-0.079,0.1398,True,0.03832,-0.0366,0.048,-0.0128,0.0521,-0.079,0.0076,0.0636,0.0289,0.0816,0.0295,0.1398,2.8159736173418365e-25,True
cusum_norm_2s,False,-0.0131,5717,11,0.727,0.0521,0.0591,-0.0759,-0.05,True,0.03787,-0.0974,-0.0908,-0.0671,-0.0177,0.0332,-0.0039,-0.0076,-0.103,0.026,0.0759,-0.05,8.833949221383004e-18,True
vol_hist_10,False,0.0171,5708,11,0.727,0.0507,0.0497,-0.036,0.05,True,0.03686,0.0767,0.1384,0.028,0.0767,-0.003,-0.0094,0.0122,-0.036,0.0555,0.0717,0.05,3.4181810370432665e-11,True
vol_volume_pctchg_20,False,0.034,5698,11,0.727,0.0503,0.0551,-0.0605,-0.0289,False,0.03657,0.03,0.0357,0.0415,0.0313,-0.0259,-0.0605,0.101,0.0379,0.1315,0.0288,-0.0289,1.8498040253711405e-29,True
vol_volume_rel_50,False,0.0245,5669,11,0.727,0.0502,0.0558,-0.0852,0.1235,True,0.03653,0.024,0.0483,-0.0071,0.0818,-0.0852,-0.0105,0.0778,0.0109,0.0492,0.0342,0.1235,1.0783352701397158e-19,True
hurst_100,False,0.0209,5619,11,0.727,0.0501,0.0634,-0.0589,-0.0422,False,0.03642,0.1403,-0.0344,0.0923,0.0158,0.0051,-0.0589,0.0362,0.0087,0.1044,0.0125,-0.0422,1.537209962973959e-23,True
rev_vol_gate_signed,False,-0.0179,5665,11,0.727,0.0498,0.0552,-0.0661,-0.046,True,0.03624,0.0661,-0.0679,-0.0127,0.0566,-0.0992,0.0396,-0.0826,-0.0164,-0.0207,-0.0403,-0.046,7.622541717453848e-30,True
mom_macd_hist_5_13_3,False,0.0041,5704,11,0.727,0.0495,0.0663,-0.132,0.0082,True,0.03599,-0.0133,0.0069,-0.0939,-0.132,0.0846,0.0289,0.0705,0.025,0.0194,0.0617,0.0082,0.0,True
vol_volume_pctchg_5,False,0.0127,5713,11,0.727,0.0424,0.0567,-0.0835,0.149,True,0.03081,-0.0053,-0.0251,0.0484,0.0204,-0.0835,0.0512,0.0313,0.0137,0.0079,0.0303,0.149,5.335980986277659e-24,True
interact_ret1_x_ret3,False,0.0228,5715,11,0.727,0.033,0.0341,-0.0345,-0.0019,False,0.02401,0.0151,0.0513,0.0221,0.0507,-0.0345,0.0017,0.0687,0.0357,0.0696,-0.0118,-0.0019,4.323135992814603e-23,True
btc_funding_rate_8h_impulse,False,-0.0164,5628,11,0.727,0.0217,0.0288,-0.0354,0.0354,False,0.01581,-0.0723,-0.0207,-0.004,-0.0496,-0.0164,0.0012,-0.0286,-0.0029,-0.0035,0.0046,0.0354,0.0,True
