feature,in_19col,ic_full,n_full,n_subperiods,frac_same_sign,mean_abs_ic,ic_dispersion,worst_signed_ic,recent_ic,recent_same_sign,stability_score,ic_2020-01-01,ic_2020-07-01,ic_2020-12-31,ic_2021-07-01,ic_2021-12-31,ic_2022-07-01,ic_2022-12-31,ic_2023-07-01,ic_2023-12-31,ic_2024-06-30,ic_2024-12-30
vol_mfi_10,False,0.0407,5708,11,0.636,0.0858,0.0989,-0.1561,-0.1187,False,0.0546,0.0558,0.0497,0.0679,-0.0429,0.0865,-0.1561,0.0924,0.0461,0.1725,-0.0553,-0.1187
funding_rate_zscore_30,True,-0.052,5626,11,0.636,0.0857,0.0942,-0.0882,0.0882,False,0.05453,-0.018,-0.0614,0.0413,0.0504,-0.096,-0.1854,-0.0789,-0.1914,0.0248,-0.1068,0.0882
mr_zscore_100,False,0.0629,5619,11,0.636,0.0853,0.1139,-0.2226,-0.2226,False,0.05429,0.0359,0.1794,0.0546,0.0371,-0.0129,-0.147,0.0137,0.1177,0.0666,-0.051,-0.2226
long_short_zscore_30,False,0.019,4186,10,0.4,0.1355,0.1797,-0.3029,-0.0107,False,0.0542,,-0.3029,0.1593,-0.0211,0.2803,-0.232,0.1748,-0.0579,0.0617,-0.0543,-0.0107
vol_mfi_21,False,0.0222,5697,11,0.727,0.0739,0.1136,-0.2852,-0.2852,False,0.05375,0.0252,0.0415,0.0327,0.0142,0.0815,-0.1791,0.0476,-0.0203,0.068,0.0177,-0.2852
vol_taker_buy_ratio,True,0.0498,5718,11,0.818,0.0644,0.0597,-0.0256,-0.0066,False,0.05273,0.1667,0.1415,0.0111,0.0557,0.0946,-0.0256,0.0814,0.0415,0.0619,0.0224,-0.0066
stat_autocorr_lag5,True,0.0173,5668,11,0.545,0.0964,0.1243,-0.2427,-0.0699,False,0.05259,0.1728,0.0074,0.087,0.1061,-0.008,0.0395,-0.2427,-0.083,0.1703,-0.0739,-0.0699
mom_stoch_d_9,False,-0.0138,5706,11,0.727,0.0716,0.0782,-0.0796,-0.0612,True,0.05209,-0.1137,-0.0109,-0.066,-0.1223,0.0696,-0.1571,0.043,-0.028,0.0796,-0.0364,-0.0612
interact_stoch_x_adx,False,-0.0124,5703,11,0.636,0.0816,0.0895,-0.1098,-0.1313,True,0.05192,-0.0869,0.006,-0.0351,-0.1075,0.0298,-0.2015,0.0495,-0.0704,0.1098,-0.0697,-0.1313
mom_stoch_k_9,False,-0.0131,5708,11,0.727,0.0714,0.0787,-0.0762,-0.0617,True,0.0519,-0.096,-0.007,-0.0911,-0.1382,0.0762,-0.1369,0.0532,-0.0393,0.0739,-0.0116,-0.0617
trend_minus_di_14,False,-0.0467,5705,11,0.727,0.0709,0.0926,-0.2101,0.0596,False,0.05154,-0.0128,-0.0879,-0.1184,-0.0389,0.0168,0.2101,-0.0967,-0.0591,-0.0726,-0.0066,0.0596
mom_rsi_30,False,0.0555,5717,11,0.636,0.0801,0.1115,-0.2395,-0.2395,False,0.05097,0.0339,0.0989,0.0377,0.0357,-0.0344,-0.2083,0.0367,0.0517,0.0762,-0.028,-0.2395
vol_atr_14,False,-0.0348,5705,11,0.545,0.0917,0.1114,-0.2097,0.0256,False,0.05003,-0.0324,0.1622,-0.1131,-0.0709,0.2097,-0.0338,-0.0908,0.0921,-0.115,0.0635,0.0256
vol_atr_21,False,-0.0388,5698,11,0.545,0.0914,0.1221,-0.2578,0.0146,False,0.04988,-0.01,0.1522,-0.0941,-0.0919,0.2578,-0.0042,-0.1219,0.0795,-0.1403,0.0395,0.0146
mom_willr_14,False,-0.0095,5705,11,0.636,0.0783,0.0879,-0.0978,-0.1198,True,0.04981,-0.1059,-0.0139,-0.044,-0.1339,0.0474,-0.1687,0.0683,-0.0594,0.0978,0.0017,-0.1198
vol_bb_bandwidth_15,False,0.0291,5704,11,0.727,0.0681,0.0801,-0.1172,0.0024,True,0.04956,0.0039,0.1411,-0.0075,0.0879,0.0194,-0.1172,0.0951,0.1079,0.1234,-0.044,0.0024
mr_rsi_extreme_7,False,-0.0376,5718,11,0.727,0.0671,0.0856,-0.1744,0.0628,False,0.04881,-0.0281,-0.0378,-0.0286,-0.0033,-0.074,0.1744,-0.1335,-0.0415,-0.0785,0.0759,0.0628
trend_minus_di_7,False,-0.038,5712,11,0.727,0.0668,0.0938,-0.218,0.051,False,0.0486,0.0074,-0.0588,-0.0856,-0.0091,-0.0162,0.218,-0.1381,-0.0777,-0.0673,-0.0059,0.051
trend_aroon_down_14,False,-0.0024,5704,11,0.636,0.0763,0.1161,-0.2623,0.238,False,0.04857,0.0223,-0.0196,-0.0101,0.0611,-0.0813,0.2623,-0.0163,-0.0576,-0.0646,-0.0062,0.238
vol_atr_10,False,-0.033,5709,11,0.545,0.0882,0.1033,-0.175,0.0295,False,0.04813,-0.0562,0.175,-0.1111,-0.0515,0.1656,-0.0526,-0.0761,0.0923,-0.0925,0.068,0.0295
