symbol,feature,ic_vs_tb_label,ic_vs_fwd_ret_3,third_1,third_2,third_3,sign_stable
DOGEUSDT,btc_funding_rate_zscore_30,-0.06526,-0.01992,-0.05956,-0.11057,-0.02585,True
DOGEUSDT,basis_zscore_30,0.02419,0.01835,0.01637,-0.01443,0.06939,True
DOGEUSDT,basis_momentum_3,0.04211,0.00364,0.04461,0.04917,0.03191,True
DOGEUSDT,basis_extreme_flag,0.0147,0.0114,0.035,0.00507,-0.03496,False
NEARUSDT,funding_rate_zscore_30,-0.03831,0.00563,-0.12767,-0.1221,0.13053,False
NEARUSDT,funding_momentum_3,0.00941,0.02351,-0.04133,-0.0003,0.06748,False
NEARUSDT,funding_accel_3,0.02285,0.016,0.0101,0.00606,0.03723,True
NEARUSDT,funding_sign_persist_9,-0.03395,-0.00726,-0.05274,-0.02462,-0.10303,True
NEARUSDT,funding_price_divergence_6,-0.05619,-0.01818,-0.03645,-0.08707,-0.05695,True
NEARUSDT,btc_funding_rate_zscore_30,-0.0581,-0.05045,-0.01734,-0.13579,-0.02389,True
NEARUSDT,basis_zscore_30,-0.01488,0.01522,-0.06511,-0.04294,0.05912,False
NEARUSDT,basis_momentum_3,0.01307,0.013,-0.02775,0.02192,0.06889,False
NEARUSDT,basis_extreme_flag,0.04324,0.03857,0.06157,0.01671,-0.08423,False
BCHUSDT,funding_rate_zscore_30,-0.001,-0.00855,-0.02747,-0.03799,0.06414,False
BCHUSDT,funding_momentum_3,0.01463,-0.00438,0.02077,0.00406,0.01476,True
BCHUSDT,funding_accel_3,0.00257,-0.01921,0.00434,-0.01168,0.01526,True
BCHUSDT,funding_sign_persist_9,-0.08919,-0.04156,-0.1694,-0.10596,0.00648,True
BCHUSDT,funding_price_divergence_6,-0.03292,-0.00285,-0.04246,-0.11538,0.05603,False
BCHUSDT,btc_funding_rate_zscore_30,-0.01519,-0.03825,-0.02931,-0.00438,-0.01159,True
BCHUSDT,basis_zscore_30,-0.01964,0.00025,-0.055,-0.03284,0.0266,False
BCHUSDT,basis_momentum_3,-0.02949,0.01266,-0.03366,-0.04117,-0.01773,True
BCHUSDT,basis_extreme_flag,0.00282,-0.00634,-0.03796,-0.05757,0.07645,False
LDOUSDT,funding_rate_zscore_30,0.07959,0.01285,0.11561,0.13259,0.03135,True
LDOUSDT,funding_momentum_3,0.01557,0.03731,-0.04504,0.03414,0.03028,False
LDOUSDT,funding_accel_3,0.0192,0.0017,-0.08587,0.06982,0.04191,False
LDOUSDT,funding_sign_persist_9,0.09703,-0.02369,-0.09149,0.05933,0.10432,False
LDOUSDT,funding_price_divergence_6,-0.04987,-0.04326,-0.14839,0.0682,-0.12197,False
LDOUSDT,btc_funding_rate_zscore_30,0.09884,-0.00101,-0.05795,0.16928,0.12661,False
LDOUSDT,basis_zscore_30,-0.04808,-0.03485,-0.2422,0.0531,0.01456,False
LDOUSDT,basis_momentum_3,-0.01451,0.01732,-0.11485,0.01202,0.06947,False
LDOUSDT,basis_extreme_flag,0.0492,0.01304,-0.29129,0.18832,0.04191,False
TRXUSDT,funding_rate_zscore_30,-0.0514,-0.04229,-0.06118,-0.04092,-0.0515,True
TRXUSDT,funding_momentum_3,-0.00752,-0.00872,-0.04315,-0.01322,0.03283,False
TRXUSDT,funding_accel_3,0.01058,0.00737,-0.01524,0.00038,0.04297,True
TRXUSDT,funding_sign_persist_9,-0.09309,-0.05228,0.02597,-0.08878,-0.23481,False
TRXUSDT,funding_price_divergence_6,-0.06625,-0.01623,-0.04525,0.00304,-0.17892,True
TRXUSDT,btc_funding_rate_zscore_30,-0.03184,-0.04484,-0.04708,0.04771,-0.09533,False
TRXUSDT,basis_zscore_30,-0.02794,-0.03262,-0.00709,-0.04745,-0.03488,True
TRXUSDT,basis_momentum_3,0.00825,-0.01782,-0.0098,0.00141,0.02614,True
TRXUSDT,basis_extreme_flag,-0.08119,-0.04267,-0.03583,-0.0726,-0.08104,True
