symbol,fold,model,auc,acc,ic,n_test
TRXUSDT,2,L_lgbm,0.471631996850187,0.4712230215827338,-0.04994611909094685,556
TRXUSDT,2,M_mlp,0.4583371612310519,0.5449640287769785,-0.10087371899753232,556
TRXUSDT,2,C_logistic,0.4450292013911674,0.5287769784172662,-0.08943204599792436,556
TRXUSDT,2,T_temporal_mlp,0.44089507185510857,0.5233812949640287,,556
TRXUSDT,3,L_lgbm,0.4952547322313187,0.5089928057553957,-0.04758998980940353,556
TRXUSDT,3,M_mlp,0.45812692287636225,0.4748201438848921,-0.13882228827913573,556
TRXUSDT,3,C_logistic,0.5098685925848672,0.5017985611510791,-0.05866278402958658,556
TRXUSDT,3,T_temporal_mlp,0.4452078010116285,0.460431654676259,,556
TRXUSDT,4,L_lgbm,0.3790733524600694,0.35071942446043164,-0.22362097327883787,556
TRXUSDT,4,M_mlp,0.4408712656475257,0.43345323741007197,-0.07426077382550265,556
TRXUSDT,4,C_logistic,0.3736850368974721,0.5215827338129496,-0.17117631432240787,556
TRXUSDT,4,T_temporal_mlp,0.4089838564638376,0.42805755395683454,,556
TRXUSDT,5,L_lgbm,0.4960780994300547,0.47302158273381295,0.040216558324785774,556
TRXUSDT,5,M_mlp,0.46308052592968796,0.5089928057553957,-0.05331672165300415,556
TRXUSDT,5,C_logistic,0.45361435584899273,0.5161870503597122,-0.029637467181866134,556
TRXUSDT,5,T_temporal_mlp,0.45235878336436997,0.4370503597122302,,556
TRXUSDT,6,L_lgbm,0.4558412220309811,0.5071942446043165,-0.08309448660752194,556
TRXUSDT,6,M_mlp,0.5445352839931152,0.5197841726618705,0.111316736314476,556
TRXUSDT,6,C_logistic,0.4598752151462994,0.539568345323741,-0.1749020037693946,556
TRXUSDT,6,T_temporal_mlp,0.5835439974182445,0.5593525179856115,,556
TRXUSDT,7,L_lgbm,0.567964170453797,0.5611510791366906,0.07937134678434994,556
TRXUSDT,7,M_mlp,0.4527168543766054,0.4856115107913669,-0.11540784549322064,556
TRXUSDT,7,C_logistic,0.48190739643021807,0.5701438848920863,-0.13953238980943924,556
TRXUSDT,7,T_temporal_mlp,0.46060725811763154,0.4748201438848921,,556
