symbol,train_month,n_trials,n_candles,n_paths,rank,pbo,n_eff,frac_pos,path_q50,error
MKRUSDT,2025-06,50,1618,45,50,0.2,27,0.4102222222222222,-0.02697089990967804,
MKRUSDT,2025-07,50,1528,45,43,0.0,24,0.4737777777777778,-0.0133528376865006,
MKRUSDT,2025-08,50,1435,45,50,0.996,26,0.3448888888888889,-0.08477672743263905,
MKRUSDT,2025-09,50,1342,45,46,0.0,25,0.42088888888888887,-0.024695450797779447,
MKRUSDT,2025-10,50,1252,45,50,0.3674,26,0.37155555555555553,-0.038495354762056566,
MKRUSDT,2025-11,50,1159,45,46,0.0,23,0.5026666666666667,0.0008589933435108112,
MKRUSDT,2025-12,50,1069,45,50,0.0586,22,0.38755555555555554,-0.05178138789603133,
MKRUSDT,2026-01,50,976,45,45,0.0,22,0.5893333333333334,0.04877666554915684,
MKRUSDT,2026-02,50,883,45,50,0.2376,25,0.584,0.041250777713255235,
MKRUSDT,2026-03,50,799,45,47,0.0,23,0.6062222222222222,0.06534102252632376,
MKRUSDT,2026-04,50,706,45,50,0.0,26,0.4826666666666667,-0.004168672220475318,
MKRUSDT,2026-05,50,616,45,50,0.0,20,0.5035555555555555,0.0027143921708525087,
TRXUSDT,2022-01,50,1790,45,50,0.6934,26,0.48844444444444446,-0.004208705972867184,
TRXUSDT,2022-02,50,1825,45,50,0.0,28,0.5702222222222222,0.027124456091245756,
TRXUSDT,2022-03,50,1815,45,50,0.0004,27,0.5764444444444444,0.03368260270640713,
TRXUSDT,2022-04,50,1815,45,50,0.0,26,0.6297777777777778,0.055120846625326014,
TRXUSDT,2022-05,50,1810,45,50,0.0,24,0.5742222222222222,0.03060098911132198,
TRXUSDT,2022-06,50,1810,45,50,0.0,24,0.6177777777777778,0.05264492251027398,
TRXUSDT,2022-07,50,1810,45,48,0.0002,26,0.6262222222222222,0.06300402252917103,
TRXUSDT,2022-08,50,1810,45,50,0.4114,22,0.5515555555555556,0.030676673266874618,
TRXUSDT,2022-09,50,1810,45,50,0.5764,26,0.452,-0.016873447716621897,
TRXUSDT,2022-10,50,1810,45,49,0.8468,22,0.4817777777777778,0.0,
TRXUSDT,2022-11,50,1810,45,50,0.6206,29,0.43333333333333335,-0.024644763408870854,
TRXUSDT,2022-12,50,1810,45,50,0.418,26,0.4915555555555556,-0.001934632746897238,
TRXUSDT,2023-01,50,1810,45,48,0.9994,25,0.604,0.052558833122763673,
TRXUSDT,2023-02,50,1810,45,50,0.0,25,0.6755555555555556,0.07437804932202755,
TRXUSDT,2023-03,50,1810,45,50,0.0,29,0.6151111111111112,0.04509040560674017,
TRXUSDT,2023-04,50,1810,45,50,0.998,27,0.5653333333333334,0.028682038798887734,
TRXUSDT,2023-05,50,1810,45,49,0.0046,27,0.676,0.07625060506298945,
TRXUSDT,2023-06,50,1810,45,50,0.0,24,0.5888888888888889,0.039121372719977565,
TRXUSDT,2023-07,50,1810,45,50,0.0,31,0.6253333333333333,0.03538811322107943,
TRXUSDT,2023-08,50,1810,45,50,0.0,24,0.5013333333333333,0.000605351475953958,
TRXUSDT,2023-09,50,1810,45,49,0.1142,23,0.5862222222222222,0.037469759921399566,
TRXUSDT,2023-10,50,1810,45,50,0.0162,23,0.46444444444444444,-0.010009594531012038,
TRXUSDT,2023-11,50,1810,45,49,0.0,24,0.4911111111111111,0.0,
TRXUSDT,2023-12,50,1810,45,50,0.0,26,0.4,-0.038329376985753796,
TRXUSDT,2024-01,50,1810,45,49,0.0,24,0.492,0.0,
TRXUSDT,2024-02,50,1810,45,50,0.004,27,0.6248888888888889,0.04799439606040652,
TRXUSDT,2024-03,50,1820,45,49,0.0,28,0.5724444444444444,0.028650709037816253,
TRXUSDT,2024-04,50,1820,45,50,0.0,26,0.4751111111111111,-0.010459596649366168,
TRXUSDT,2024-05,50,1825,45,49,0.0,28,0.42133333333333334,-0.022279520323115466,
TRXUSDT,2024-06,50,1825,45,39,0.4018,20,0.40044444444444444,-0.04272341141940374,
TRXUSDT,2024-07,50,1825,45,50,0.0,28,0.5702222222222222,0.02735002984999827,
TRXUSDT,2024-08,50,1825,45,47,0.0,27,0.42088888888888887,-0.03335110422991912,
TRXUSDT,2024-09,50,1825,45,49,0.0174,28,0.4688888888888889,-0.003565952038142248,
TRXUSDT,2024-10,50,1825,45,50,0.0,26,0.5204444444444445,0.007609216434845649,
TRXUSDT,2024-11,50,1825,45,48,0.0,29,0.5208888888888888,0.008625774156070493,
TRXUSDT,2024-12,50,1825,45,46,0.0,26,0.5008888888888889,0.0006156220833149252,
