symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,slippage_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence
BTCUSDT,1,19130.500000,18701.413478,0.3300,1665590399999,1665676799999,stop_loss,-2.2429,0.1000,0.0400,-2.3829,-0.7864,18701.413478,19988.673044,1666195199999,0.300000
BTCUSDT,1,19164.600000,19151.000000,0.3300,1665791999999,1666396800000,timeout,-0.0710,0.1000,0.0400,-0.2110,-0.0696,18572.672966,20348.454068,1666396799999,0.300000
BTCUSDT,-1,19180.600000,19501.039330,0.3300,1666540799999,1666569599999,stop_loss,-1.6706,0.1000,0.0400,-1.8106,-0.5975,19501.039330,18539.721341,1667145599999,0.250000
BTCUSDT,1,19318.100000,20061.817629,0.3300,1666655999999,1666742399999,take_profit,3.8498,0.1000,0.0400,3.7098,1.2243,18946.241185,20061.817629,1667260799999,0.200000
BTCUSDT,-1,20554.000000,21062.172245,0.3300,1666886399999,1667059199999,stop_loss,-2.4724,0.1000,0.0400,-2.6124,-0.8621,21062.172245,19537.655510,1667491199999,0.800000
BTCUSDT,-1,20667.600000,21167.283152,0.3300,1667145599999,1667577599999,stop_loss,-2.4177,0.1000,0.0400,-2.5577,-0.8440,21167.283152,19668.233696,1667750399999,0.800000
BTCUSDT,-1,21289.700000,20172.283086,0.3300,1667663999999,1667894399999,take_profit,5.2486,0.1000,0.0400,5.1086,1.6858,21848.408457,20172.283086,1668268799999,0.900000
BTCUSDT,-1,17058.300000,16689.700000,0.3300,1668211199999,1668816000000,timeout,2.1608,0.1000,0.0400,2.0208,0.6669,18467.920104,14239.059792,1668815999999,0.350000
BTCUSDT,-1,16692.900000,15609.385985,0.3300,1668902399999,1669075199999,take_profit,6.4909,0.1000,0.0400,6.3509,2.0958,17234.657008,15609.385985,1669507199999,0.350000
BTCUSDT,-1,16595.800000,17169.503184,0.3300,1669247999999,1669852799999,stop_loss,-3.4569,0.1000,0.0400,-3.5969,-1.1870,17169.503184,15448.393632,1669852799999,0.250000
BTCUSDT,1,16947.100000,17203.700000,0.3300,1669967999999,1670572800000,timeout,1.5141,0.1000,0.0400,1.3741,0.4535,16521.597521,17798.104958,1670572799999,0.050000
BTCUSDT,1,17144.600000,17758.393890,0.3300,1670659199999,1670947199999,take_profit,3.5801,0.1000,0.0400,3.4401,1.1352,16837.703055,17758.393890,1671263999999,0.350000
BTCUSDT,1,17686.000000,17264.930427,0.3300,1671091199999,1671148799999,stop_loss,-2.3808,0.1000,0.0400,-2.5208,-0.8319,17264.930427,18528.139146,1671695999999,0.050000
BTCUSDT,1,16738.000000,16284.272894,0.3300,1671263999999,1671494399999,stop_loss,-2.7108,0.1000,0.0400,-2.8508,-0.9408,16284.272894,17645.454212,1671868799999,0.200000
BTCUSDT,1,16887.200000,16698.200000,0.3300,1671580799999,1672185600000,timeout,-1.1192,0.1000,0.0400,-1.2592,-0.4155,16492.587709,17676.424582,1672185599999,0.350000
BTCUSDT,1,16539.000000,16842.200000,0.3300,1672271999999,1672876800000,timeout,1.8332,0.1000,0.0400,1.6932,0.5588,16294.933312,17027.133376,1672876799999,0.250000
BTCUSDT,-1,16785.600000,16981.701249,0.3300,1672991999999,1673049599999,stop_loss,-1.1683,0.1000,0.0400,-1.3083,-0.4317,16981.701249,16393.397501,1673596799999,0.100000
BTCUSDT,-1,16936.500000,17113.438953,0.3300,1673135999999,1673222399999,stop_loss,-1.0447,0.1000,0.0400,-1.1847,-0.3910,17113.438953,16582.622094,1673740799999,0.050000
BTCUSDT,-1,17194.700000,17396.081121,0.3300,1673337599999,1673395199999,stop_loss,-1.1712,0.1000,0.0400,-1.3112,-0.4327,17396.081121,16791.937758,1673942399999,0.250000
BTCUSDT,-1,20954.200000,21646.084877,0.3300,1674201599999,1674259199999,stop_loss,-3.3019,0.1000,0.0400,-3.4419,-1.1358,21646.084877,19570.430246,1674806399999,0.800000
BTCUSDT,-1,22627.400000,23388.778506,0.3300,1674604799999,1674691199999,stop_loss,-3.3649,0.1000,0.0400,-3.5049,-1.1566,23388.778506,21104.642988,1675209599999,0.800000
BTCUSDT,-1,23001.900000,23769.987954,0.3300,1674777599999,1675036799999,stop_loss,-3.3392,0.1000,0.0400,-3.4792,-1.1481,23769.987954,21465.724091,1675382399999,0.700000
BTCUSDT,-1,22819.900000,23532.597912,0.3300,1675123199999,1675295999999,stop_loss,-3.1231,0.1000,0.0400,-3.2631,-1.0768,23532.597912,21394.504177,1675727999999,0.900000
BTCUSDT,-1,23493.100000,21987.077789,0.3300,1675382399999,1675987199999,take_profit,6.4105,0.1000,0.0400,6.2705,2.0693,24246.111106,21987.077789,1675987199999,0.350000
BTCUSDT,-1,21857.200000,22359.878655,0.3300,1676275199999,1676476799999,stop_loss,-2.2998,0.1000,0.0400,-2.4398,-0.8051,22359.878655,20851.842690,1676879999999,0.450000
BTCUSDT,-1,24522.800000,23108.700000,0.3300,1676707199999,1677312000000,timeout,5.7665,0.1000,0.0400,5.6265,1.8567,25513.381808,22541.636384,1677311999999,0.450000
BTCUSDT,-1,23142.700000,23869.175986,0.3300,1677398399999,1677513599999,stop_loss,-3.1391,0.1000,0.0400,-3.2791,-1.0821,23869.175986,21689.748028,1678003199999,0.750000
