sharpe1,sharpe2,sharpe3,ann1,ann2,vol,dd1,dd2,turn,edge_bps,cost_share,trades,long_gross,short_gross,req_min_scale,f1,f2,f3,f4,worst_fold,median_fold,pos_folds,calmar2,pq2,G,kinds,weights,purge,cadence,phase,w,nb,hold,k
1.2216357104505493,1.04630481618788,0.8708936648057001,0.13925169173505192,0.11711239151102415,0.11186100869567621,0.0954328025712049,0.10233017406560074,26.170894307646595,59.55621399171109,0.01473771426586095,85083,83911.87378302185,-11337.095571031245,1.0,0.4453044224795324,1.306951288212111,0.945506576124561,1.584014014572043,0.4453044224795324,1.126228932168336,4,1.1444560959697672,0.7058823529411765,69.71849395474864,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,63,5
1.3578024685178005,1.1781788499399688,0.9984205863302558,0.15511272538594434,0.13233052565928238,0.11073462878260137,0.08996358030140472,0.10210122727958648,26.565666102908573,63.94461378794666,0.014914379909018161,85993,91489.69980990046,-8451.627423861384,1.0,0.3724244955737948,1.536912502334651,1.2226140540317227,1.6991211946501017,0.3724244955737948,1.3797632781831868,4,1.2960718414962655,0.7058823529411765,69.07877984097674,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,63,6
1.1964309993124613,1.0438005711346015,0.8910968823169835,0.13934500677536477,0.11958468003701017,0.11453991891100143,0.13668773621487706,0.1409016597207684,23.329817704455607,66.04738001676557,0.013116047814801069,79626,73114.10702141908,-2755.2909610569914,0.7420289855072475,0.2793335650066833,1.2735546115145306,1.0373532481366632,1.7671488428149047,0.2793335650066833,1.155453929825597,4,0.8487102300568843,0.7058823529411765,56.639044817411985,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,72,3
1.3186814678211847,1.1599466641735015,1.0011301203595382,0.15410585714499603,0.13346231976679102,0.11360488625876773,0.12606049950961007,0.13028549261570188,24.069078173223517,69.54368226393008,0.013455862042600067,83873,82271.24877157845,-2351.4113892989226,0.9352112676056338,0.39823753287969893,1.5013580686879504,1.1057410536813748,1.7818872789874576,0.39823753287969893,1.3035495611846626,4,1.0243835832164345,0.7647058823529411,64.63328829332448,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,72,4
1.408562256795258,1.2435762529611807,1.0784923373253517,0.16394845992708929,0.1425612154972833,0.11227974463096035,0.10009288125175309,0.10994566017356966,24.732266069412265,71.2632052277873,0.01381694381226665,85300,89975.25232540473,-3040.0772538995043,1.0,0.4605402842507155,1.57840675814441,1.1759603462699242,1.891820878581768,0.4605402842507155,1.3771835522071671,4,1.2966515938166536,0.7058823529411765,70.68212663862381,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,72,5
1.5462199671857695,1.3776235575708873,1.2088804908684585,0.18046815685491513,0.1584699825266953,0.11133113709742115,0.09890968071896811,0.11045542685014254,25.08752679616264,75.93534386172348,0.013983466339819263,86011,99208.36697765897,-793.4049999014896,1.0,0.38320291867270234,1.8058383858218146,1.4080392661558334,2.068233197301061,0.38320291867270234,1.606938825988824,4,1.4346962122711748,0.7058823529411765,69.6744829656189,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,72,6
1.3210210685243293,1.1761961222699715,1.0312915359164123,0.1556906625333041,0.13666004078764282,0.11452088100428195,0.13020139110807738,0.13421288242061924,22.141654476002692,75.63313663850273,0.012364371873787493,81224,75609.07663046275,4274.184931911997,0.7950617283950624,0.3700404193451903,1.567356303872073,1.110665589578133,1.8611239207976127,0.3700404193451903,1.339010946725103,4,1.018233408916398,0.7058823529411765,61.947319209515555,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,84,3
1.4508025132008429,1.3007969909483386,1.1506964953525645,0.171788041806761,0.15193505685674435,0.11375342042903291,0.12389958999372641,0.12791925419568706,22.788063435347528,79.72383505685067,0.01262349754501699,84414,85421.0747125415,5095.544869301964,0.9642857142857142,0.3941623962114266,1.8002256307459759,1.2575926977767111,1.9313700334657347,0.3941623962114266,1.5289091642613435,4,1.1877418908674893,0.7058823529411765,65.20521376500453,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,84,4
1.5545952724227168,1.3995052424252894,1.2443048625147368,0.1838018627451985,0.16326591738988405,0.11264030068879856,0.10341649254920371,0.11450388080055596,23.338059029408022,82.34171760827847,0.012913634883340349,85488,93109.63645613819,6021.229726015055,1.0,0.4518365642369895,1.8231241793267188,1.4467682418447447,2.041351769432795,0.4518365642369895,1.6349462105857318,4,1.4258548814975303,0.7058823529411765,71.10528516475595,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,84,5
1.678662597433743,1.5202764228067318,1.3617321816873278,0.1990705367289738,0.17794343770863041,0.11190174046088344,0.10516338170547734,0.11661260999264622,23.707938701352962,86.53657821401924,0.013094909752810918,86070,103319.68397950508,7033.678148862044,1.0,0.36324830982229017,2.029995765793974,1.6548106866508365,2.217518351730766,0.36324830982229017,1.8424032262224053,4,1.5259364979469356,0.7647058823529411,70.16282678584528,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,84,6
1.3502823454030457,1.2095694492013436,1.0687921956179063,0.15945914215398527,0.1409218078161527,0.11444473385126949,0.12619084899276733,0.130106451208592,21.49387890846094,79.21402441768483,0.011992289166510364,81844,77314.87469574144,4774.337973057336,0.8337349397590368,0.4152117111025411,1.6713824508091324,1.0936811893936107,1.8593169870229702,0.4152117111025411,1.3825318201013714,4,1.0831269818452054,0.7058823529411765,64.49891785312778,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,90,3
1.4876937816817561,1.3418134652522438,1.1958454340780074,0.17650867907787116,0.15714217725243995,0.1136258845660533,0.12254632921185493,0.1272272287539029,22.135361753363213,83.68337119603815,0.0122422705344005,84565,85951.28902414066,7452.904583409363,0.9444444444444445,0.39184802786863376,1.9250935137994085,1.270042370158367,1.9636033470399639,0.39184802786863376,1.5975679419788877,4,1.235130080184344,0.6470588235294118,64.44703270600952,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,90,4
1.5899010991878342,1.4387683993536151,1.2875305130653516,0.18823811049246975,0.16817535666454808,0.11248069875045975,0.10555948251380398,0.11662755778481493,22.71073440113633,86.06752971423003,0.012531605055559334,85536,92811.286121196,9143.7724847346,1.0,0.4144997372323392,1.9565283891114222,1.4714706971040197,2.083232466267961,0.4144997372323392,1.7139995431077208,4,1.4419864383582655,0.7058823529411765,69.86333899198927,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,90,5
1.713099093480722,1.5588432687001381,1.404434454501269,0.20348382735257675,0.18284590070371554,0.11178982163092022,0.11127852083869416,0.12252104441199563,23.06953770229044,90.32796144053776,0.012721965169733394,86080,102530.92125765243,10757.893528953395,1.0,0.3004312766832201,2.170970517087114,1.6973812930657397,2.257096438891096,0.3004312766832201,1.934175905076427,4,1.4923632228343435,0.7647058823529411,67.41415676410337,bigp+imbsml,1.0+1.0,ret+size+liq,1,0,54,54,90,6
