symbol,direction,entry_price,exit_price,weight_factor,open_time,close_time,exit_reason,pnl_pct,fee_pct,net_pnl_pct,weighted_pnl,stop_loss_price,take_profit_price,timeout_time,confidence,component_id
LINKUSDT,1,7.603000,7.042633,1.0000,1679615999999,1679759999999,stop_loss,-1.47406,0.1000,-1.49406,-1.49406,7.042633,8.723735,1680220799999,0.877888,C-LINK
BTCUSDT,-1,28284.100000,28015.000000,1.0000,1679615999999,1680220800000,timeout,0.19028,0.1000,0.17028,0.17028,29672.251687,25507.796626,1680220799999,0.841421,C-BTC
LTCUSDT,1,92.670000,93.440000,1.0000,1679731199999,1680336000000,timeout,0.16618,0.1000,0.14618,0.14618,85.231184,107.547631,1680335999999,0.885883,C-LTC
ETHUSDT,1,1751.290000,1794.000000,0.3300,1679903999999,1680508800000,timeout,0.48776,0.1000,0.46776,0.15436,1683.674448,1886.521104,1680508799999,0.681342,C-ETH
LINKUSDT,1,6.864000,7.239000,0.3300,1679961599999,1680566400000,timeout,1.09266,0.1000,1.07266,0.35398,6.440964,7.710071,1680566399999,0.932450,C-LINK
DOTUSDT,1,5.864000,6.402000,0.8171,1679990399999,1680595200000,timeout,1.83492,0.1000,1.81492,1.48302,5.539779,6.512442,1680595199999,0.787967,C-DOT
ETHUSDT,-1,1869.110000,1928.641153,0.3300,1680652799999,1680681599999,stop_loss,-0.637,0.1000,-0.657,-0.2168,1928.641153,1750.047693,1681257599999,0.820274,C-ETH
ETHUSDT,-1,1850.010000,1909.010732,0.3300,1680854399999,1681171199999,stop_loss,-0.63784,0.1000,-0.65784,-0.21708,1909.010732,1732.008535,1681459199999,0.727811,C-ETH
LINKUSDT,1,7.367000,7.297000,0.3300,1680652799999,1681257600000,timeout,-0.19004,0.1000,-0.21004,-0.06932,7.009525,8.081950,1681257599999,0.786746,C-LINK
DOTUSDT,-1,6.531000,6.294000,1.0000,1680681599999,1681286400000,timeout,0.72576,0.1000,0.70576,0.70576,6.828800,5.935400,1681286399999,0.721116,C-DOT
ETHUSDT,1,1888.890000,1984.693111,0.3300,1681257599999,1681401599999,take_profit,1.01438,0.1000,0.99438,0.32814,1840.988445,1984.693111,1681862399999,0.745769,C-ETH
LINKUSDT,1,7.251000,7.783421,0.3300,1681372799999,1681459199999,take_profit,1.46854,0.1000,1.44854,0.47802,6.984790,7.783421,1681977599999,0.751477,C-LINK
LTCUSDT,-1,92.030000,95.883185,1.0000,1681343999999,1681459199999,stop_loss,-0.83738,0.1000,-0.85738,-0.85738,95.883185,84.323630,1681948799999,0.821411,C-LTC
DOTUSDT,-1,6.411000,6.656099,1.0000,1681372799999,1681459199999,stop_loss,-0.76462,0.1000,-0.78462,-0.78462,6.656099,5.920801,1681977599999,0.677641,C-DOT
LINKUSDT,1,7.706000,8.399785,0.3300,1681545599999,1681804799999,take_profit,1.80064,0.1000,1.78064,0.5876,7.359108,8.399785,1682150399999,0.850752,C-LINK
DOTUSDT,-1,6.808000,6.264290,1.0000,1681603199999,1681919999999,take_profit,1.59726,0.1000,1.57726,1.57726,7.079855,6.264290,1682207999999,0.669570,C-DOT
BTCUSDT,-1,29831.100000,28526.560347,1.0000,1681718399999,1681977599999,take_profit,0.87462,0.1000,0.85462,0.85462,30483.369827,28526.560347,1682323199999,0.757467,C-BTC
LINKUSDT,1,8.026000,7.514875,0.3300,1681919999999,1682035199999,stop_loss,-1.27368,0.1000,-1.29368,-0.42692,7.514875,9.048250,1682524799999,0.714409,C-LINK
BTCUSDT,1,28142.300000,27276.238633,0.3300,1682063999999,1682121599999,stop_loss,-0.61548,0.1000,-0.63548,-0.20972,27276.238633,29874.422733,1682668799999,0.865442,C-BTC
BTCUSDT,1,27704.600000,26921.117655,0.3300,1682236799999,1682380799999,stop_loss,-0.5656,0.1000,-0.5856,-0.19324,26921.117655,29271.564690,1682841599999,0.787654,C-BTC
ETHUSDT,-1,1844.770000,1911.667748,0.3300,1682323199999,1682524799999,stop_loss,-0.72526,0.1000,-0.74526,-0.24594,1911.667748,1710.974504,1682927999999,0.681570,C-ETH
LINKUSDT,1,7.084000,7.088000,0.3300,1682150399999,1682755200000,timeout,0.0113,0.1000,-0.0087,-0.00288,6.594257,8.063485,1682755199999,0.807292,C-LINK
DOTUSDT,-1,5.943000,5.992000,0.3300,1682179199999,1682784000000,timeout,-0.1649,0.1000,-0.1849,-0.06102,6.263729,5.301542,1682783999999,0.700328,C-DOT
LTCUSDT,-1,90.980000,88.170000,1.0000,1682467199999,1683072000000,timeout,0.61772,0.1000,0.59772,0.59772,95.721541,81.496918,1683071999999,0.838876,C-LTC
ETHUSDT,-1,1899.140000,1884.600000,0.3300,1682611199999,1683216000000,timeout,0.15312,0.1000,0.13312,0.04394,1989.795284,1717.829432,1683215999999,0.700790,C-ETH
LINKUSDT,1,6.919000,6.593333,0.3300,1683014399999,1683532799999,stop_loss,-0.94138,0.1000,-0.96138,-0.31726,6.593333,7.570334,1683619199999,0.749752,C-LINK
LTCUSDT,-1,88.090000,80.302077,1.0000,1683187199999,1683532799999,take_profit,1.76818,0.1000,1.74818,1.74818,91.983962,80.302077,1683791999999,0.816500,C-LTC
BTCUSDT,1,28610.000000,27957.700000,0.3300,1682927999999,1683532800000,timeout,-0.456,0.1000,-0.476,-0.15708,27641.636264,30546.727471,1683532799999,0.846443,C-BTC
DOTUSDT,-1,5.838000,5.384000,0.3300,1682927999999,1683532800000,timeout,1.55532,0.1000,1.53532,0.50666,6.114376,5.285248,1683532799999,0.781236,C-DOT
ETHUSDT,1,1895.290000,1825.126231,0.3300,1683417599999,1683590399999,stop_loss,-0.7404,0.1000,-0.7604,-0.25094,1825.126231,2035.617538,1684022399999,0.848970,C-ETH
BTCUSDT,-1,27385.800000,28228.048086,0.3300,1683647999999,1683734399999,stop_loss,-0.6151,0.1000,-0.6351,-0.20958,28228.048086,25701.303828,1684252799999,0.798751,C-BTC
LINKUSDT,1,6.592000,6.267590,0.3300,1683619199999,1683763199999,stop_loss,-0.98426,0.1000,-1.00426,-0.3314,6.267590,7.240821,1684223999999,0.814814,C-LINK
DOTUSDT,-1,5.372000,5.298000,0.3300,1683619199999,1684224000000,timeout,0.2755,0.1000,0.2555,0.08432,5.625806,4.864387,1684223999999,0.803250,C-DOT
BTCUSDT,-1,26956.400000,26809.400000,0.3300,1683849599999,1684454400000,timeout,0.10906,0.1000,0.08906,0.0294,27867.383851,25134.432297,1684454399999,0.752569,C-BTC
LINKUSDT,1,6.374000,6.526000,0.3300,1683878399999,1684483200000,timeout,0.47694,0.1000,0.45694,0.15078,6.042613,7.036773,1684483199999,0.925456,C-LINK
ETHUSDT,1,1818.150000,1806.410000,0.3300,1684079999999,1684684800000,timeout,-0.12914,0.1000,-0.14914,-0.04922,1761.354895,1931.740211,1684684799999,0.830433,C-ETH
DOTUSDT,-1,5.296000,5.282000,0.3300,1684310399999,1684915200000,timeout,0.05288,0.1000,0.03288,0.01084,5.494129,4.899741,1684915199999,0.767747,C-DOT
ETHUSDT,-1,1853.360000,1782.358621,0.3300,1684886399999,1684943999999,take_profit,0.7662,0.1000,0.7462,0.24624,1888.860689,1782.358621,1685491199999,0.857493,C-ETH
