candidate,column,mode,cut_q,kill_pct,retained_trades,full,frac_pos,dispersion,worst,recent1,recent2,recent3,d_recent3,win_rate,incumbent_recent3,incumbent_frac_pos,incumbent_full
FUND: large |funding impulse| (flip),btc_funding_rate_8h_impulse,abs_high,0.75,31.03,1900,1.0272,0.8,2.1513,-3.8033,3.464,2.497,1.799,-0.065,0.5574,1.864,0.7,1.0021
FUND: large |funding impulse| (flip),btc_funding_rate_8h_impulse,abs_high,0.8,25.52,2052,1.0517,0.8,2.2139,-3.7087,4.098,2.798,2.089,0.225,0.5556,1.864,0.7,1.0021
FUND: large |funding impulse| (flip),btc_funding_rate_8h_impulse,abs_high,0.85,20.04,2203,1.0434,0.7,2.0657,-3.6882,2.988,2.218,1.777,-0.087,0.5524,1.864,0.7,1.0021
FUND: large |funding impulse| (flip),btc_funding_rate_8h_impulse,abs_high,0.9,13.58,2381,0.9386,0.7,2.0862,-3.828,2.988,2.17,1.733,-0.131,0.5422,1.864,0.7,1.0021
FUND: large |funding impulse| (flip),btc_funding_rate_8h_impulse,abs_high,0.95,7.01,2562,0.9206,0.7,2.1279,-3.9005,3.185,2.219,1.793,-0.071,0.5418,1.864,0.7,1.0021
OI: extreme |OI-delta z90| (build/unwind),oi_delta_30_z90,abs_high,0.7,21.09,2174,1.2406,0.8,1.954,-3.7343,1.083,1.018,1.144,-0.72,0.5566,1.864,0.7,1.0021
OI: extreme |OI-delta z90| (build/unwind),oi_delta_30_z90,abs_high,0.75,17.68,2268,1.1946,0.7,1.9461,-3.6857,0.618,0.833,0.998,-0.866,0.5525,1.864,0.7,1.0021
OI: extreme |OI-delta z90| (build/unwind),oi_delta_30_z90,abs_high,0.8,14.37,2359,1.1542,0.7,2.0034,-3.8087,1.7,1.379,1.345,-0.519,0.5494,1.864,0.7,1.0021
OI: extreme |OI-delta z90| (build/unwind),oi_delta_30_z90,abs_high,0.85,10.53,2465,1.1071,0.7,2.0102,-3.7344,1.7,1.418,1.377,-0.487,0.546,1.864,0.7,1.0021
OI: extreme |OI-delta z90| (build/unwind),oi_delta_30_z90,abs_high,0.9,6.5,2576,1.0364,0.7,2.0476,-3.8468,1.7,1.451,1.353,-0.511,0.5411,1.864,0.7,1.0021
OI: extreme |OI-delta z90| (build/unwind),oi_delta_30_z90,abs_high,0.95,2.9,2675,0.9894,0.7,2.1161,-3.9183,2.4,1.801,1.586,-0.278,0.5413,1.864,0.7,1.0021
OI: extreme |OI-delta-5 z30| (fast unwind),btc_oi_delta_5_z30,abs_high,0.7,25.44,2054,1.1833,0.667,2.2105,-3.9889,1.431,1.595,1.728,-0.136,0.5555,1.864,0.7,1.0021
OI: extreme |OI-delta-5 z30| (fast unwind),btc_oi_delta_5_z30,abs_high,0.75,21.02,2176,1.1837,0.667,2.211,-4.0271,1.466,1.542,1.74,-0.124,0.5565,1.864,0.7,1.0021
OI: extreme |OI-delta-5 z30| (fast unwind),btc_oi_delta_5_z30,abs_high,0.8,16.95,2288,1.1395,0.7,2.1142,-4.0128,1.722,1.586,1.561,-0.303,0.5551,1.864,0.7,1.0021
OI: extreme |OI-delta-5 z30| (fast unwind),btc_oi_delta_5_z30,abs_high,0.85,12.27,2417,1.119,0.7,2.1863,-3.9151,3.052,2.242,1.987,0.123,0.5556,1.864,0.7,1.0021
OI: extreme |OI-delta-5 z30| (fast unwind),btc_oi_delta_5_z30,abs_high,0.9,8.53,2520,1.0707,0.7,2.1444,-4.0235,2.384,1.816,1.68,-0.184,0.5532,1.864,0.7,1.0021
OI: extreme |OI-delta-5 z30| (fast unwind),btc_oi_delta_5_z30,abs_high,0.95,4.28,2637,1.0065,0.7,2.1545,-3.9962,2.666,1.941,1.704,-0.16,0.548,1.864,0.7,1.0021
OI: extreme |OI-price divergence|,oi_price_divergence_30,abs_high,0.7,21.81,2154,0.9989,0.7,2.1843,-3.8372,1.799,1.584,1.59,-0.274,0.545,1.864,0.7,1.0021
OI: extreme |OI-price divergence|,oi_price_divergence_30,abs_high,0.75,17.97,2260,1.0505,0.7,2.302,-3.7887,3.588,2.497,2.199,0.335,0.5535,1.864,0.7,1.0021
OI: extreme |OI-price divergence|,oi_price_divergence_30,abs_high,0.8,14.77,2348,1.1036,0.7,2.2958,-3.8643,3.588,2.547,2.227,0.363,0.5583,1.864,0.7,1.0021
OI: extreme |OI-price divergence|,oi_price_divergence_30,abs_high,0.85,12.01,2424,1.1302,0.7,2.2967,-3.975,3.588,2.559,2.235,0.371,0.5623,1.864,0.7,1.0021
OI: extreme |OI-price divergence|,oi_price_divergence_30,abs_high,0.9,8.57,2519,1.0821,0.7,2.1565,-3.7884,2.843,2.091,1.866,0.002,0.5597,1.864,0.7,1.0021
OI: extreme |OI-price divergence|,oi_price_divergence_30,abs_high,0.95,3.41,2661,1.0073,0.7,2.1302,-3.765,2.843,2.034,1.775,-0.089,0.5502,1.864,0.7,1.0021
