symbol,feature,n,ic,p_value,abs_ic
AVAXUSDT,max_dd_window_50,4618,-0.009636207393336309,0.51267717715824,0.009636207393336309
AVAXUSDT,ema_spread_atr_20,4618,0.04628361477138907,0.0016547603680731181,0.04628361477138907
AVAXUSDT,ret_kurt_50,4618,-0.06839084682144006,3.2913288959943816e-06,0.06839084682144006
AVAXUSDT,ret_skew_200,4618,0.0935167797908493,1.92446730128115e-10,0.0935167797908493
AVAXUSDT,range_realized_vol_50,4618,0.017600636428252978,0.23176081526221412,0.017600636428252978
AVAXUSDT,hurst_diff_100_50,4618,0.015077013808169195,0.30566885000294647,0.015077013808169195
AVAXUSDT,ret_kurt_200,4618,0.009496389082250358,0.5188136501191782,0.009496389082250358
AVAXUSDT,hurst_100,4618,0.032779254772770404,0.02591132274084561,0.032779254772770404
AVAXUSDT,btc_ret_14d,4618,0.06984345478263501,2.0262367451151143e-06,0.06984345478263501
AVAXUSDT,ret_skew_50,4618,0.06171190010923687,2.7101109827611402e-05,0.06171190010923687
AVAXUSDT,vwap_dev_20,4618,0.06480720340154875,1.0458454429361535e-05,0.06480720340154875
AVAXUSDT,ret_autocorr_lag1_50,4618,-0.0586967455960339,6.575376078630068e-05,0.0586967455960339
AVAXUSDT,sym_vs_btc_ret_7d,4618,0.036788466931293055,0.012413663300318904,0.036788466931293055
AVAXUSDT,regime_momentum_signed_5d,4618,0.059186504287878396,5.709415945740768e-05,0.059186504287878396
HBARUSDT,max_dd_window_50,4051,0.06639259352375305,2.3464597606523807e-05,0.06639259352375305
HBARUSDT,ema_spread_atr_20,4051,0.06586971611451732,2.7202568583250088e-05,0.06586971611451732
HBARUSDT,ret_kurt_50,4051,0.0035124979409317156,0.8231516038177179,0.0035124979409317156
HBARUSDT,ret_skew_200,4051,-0.054680837068108376,0.000498004048053978,0.054680837068108376
HBARUSDT,range_realized_vol_50,4051,-0.020947201734158972,0.18254128266059683,0.020947201734158972
HBARUSDT,hurst_diff_100_50,4051,-0.04088687844822405,0.00925113560783184,0.04088687844822405
HBARUSDT,ret_kurt_200,4051,-0.007564280107362405,0.630299338132006,0.007564280107362405
HBARUSDT,hurst_100,4051,-0.010854421335984021,0.4897769953085854,0.010854421335984021
HBARUSDT,btc_ret_14d,4051,0.06466705231992724,3.806268778245917e-05,0.06466705231992724
HBARUSDT,ret_skew_50,4051,0.027237313295047326,0.08302947382215163,0.027237313295047326
HBARUSDT,vwap_dev_20,4051,0.08016005610877026,3.2449945540678287e-07,0.08016005610877026
HBARUSDT,ret_autocorr_lag1_50,4051,-0.0029376919999807155,0.8517238644601022,0.0029376919999807155
HBARUSDT,sym_vs_btc_ret_7d,4051,0.03733378426106145,0.017487435372287113,0.03733378426106145
HBARUSDT,regime_momentum_signed_5d,4051,0.07413635742380872,2.3166467232496373e-06,0.07413635742380872
ICPUSDT,max_dd_window_50,3644,0.03851959048698261,0.020054771523006124,0.03851959048698261
ICPUSDT,ema_spread_atr_20,3644,0.006882921381124053,0.6778829754661949,0.006882921381124053
ICPUSDT,ret_kurt_50,3644,0.014180337861354888,0.39213426270140467,0.014180337861354888
ICPUSDT,ret_skew_200,3644,-0.025338891318915854,0.12618589230756705,0.025338891318915854
ICPUSDT,range_realized_vol_50,3644,-0.06234409258688769,0.00016601138579306945,0.06234409258688769
ICPUSDT,hurst_diff_100_50,3644,0.05380837200158104,0.0011564392439890171,0.05380837200158104
ICPUSDT,ret_kurt_200,3644,0.030138974831743767,0.068889323220709,0.030138974831743767
ICPUSDT,hurst_100,3644,0.027915669177993176,0.09200883156145039,0.027915669177993176
ICPUSDT,btc_ret_14d,3644,0.016725452901120534,0.3127994156201757,0.016725452901120534
ICPUSDT,ret_skew_50,3644,0.01675884278507235,0.3118342299478273,0.01675884278507235
ICPUSDT,vwap_dev_20,3644,0.07585720847674424,4.557337797200546e-06,0.07585720847674424
ICPUSDT,ret_autocorr_lag1_50,3644,-0.015570623502447497,0.34739004714292765,0.015570623502447497
ICPUSDT,sym_vs_btc_ret_7d,3644,0.06168665730608779,0.0001945267789258397,0.06168665730608779
ICPUSDT,regime_momentum_signed_5d,3644,0.0663100047306796,6.178804880463798e-05,0.0663100047306796
ALGOUSDT,max_dd_window_50,4864,0.03572214754135641,0.012720406648695469,0.03572214754135641
ALGOUSDT,ema_spread_atr_20,4864,0.033337355191430655,0.020067936899630864,0.033337355191430655
ALGOUSDT,ret_kurt_50,4864,-0.015321832739735418,0.2853540096629198,0.015321832739735418
ALGOUSDT,ret_skew_200,4864,-0.004643557568141729,0.7461112016323186,0.004643557568141729
ALGOUSDT,range_realized_vol_50,4864,-0.015282405853553943,0.2865955956937026,0.015282405853553943
ALGOUSDT,hurst_diff_100_50,4864,-0.027383895438343558,0.05617373758680698,0.027383895438343558
ALGOUSDT,ret_kurt_200,4864,-0.051587515695496466,0.00031906492216057455,0.051587515695496466
ALGOUSDT,hurst_100,4864,0.014479123123718358,0.3126860451079074,0.014479123123718358
ALGOUSDT,btc_ret_14d,4864,0.057697080272777486,5.667300963773408e-05,0.057697080272777486
ALGOUSDT,ret_skew_50,4864,0.0061667816433937555,0.6672104844313194,0.0061667816433937555
ALGOUSDT,vwap_dev_20,4864,0.059402373218797155,3.391335881163259e-05,0.059402373218797155
ALGOUSDT,ret_autocorr_lag1_50,4864,-0.07129230390426855,6.452699728818433e-07,0.07129230390426855
ALGOUSDT,sym_vs_btc_ret_7d,4864,0.02083710913580487,0.146219900249314,0.02083710913580487
ALGOUSDT,regime_momentum_signed_5d,4864,0.04626504650501593,0.0012486242292922651,0.04626504650501593
