symbol,slice,feature,importance,rank
ALGOUSDT,slice_2024Q1,ret_skew_200,58.0,3
ALGOUSDT,slice_2024Q1,range_realized_vol_50,42.0,7
ALGOUSDT,slice_2024Q1,hurst_diff_100_50,19.0,14
ALGOUSDT,slice_2024Q1,ret_kurt_200,78.0,1
ALGOUSDT,slice_2024Q1,hurst_100,26.0,12
ALGOUSDT,slice_2024Q1,btc_ret_14d,34.0,9
ALGOUSDT,slice_2024Q1,ret_skew_50,54.0,5
ALGOUSDT,slice_2024Q1,vwap_dev_20,34.0,9
ALGOUSDT,slice_2024Q1,ret_autocorr_lag1_50,48.0,6
ALGOUSDT,slice_2024Q1,sym_vs_btc_ret_7d,37.0,8
ALGOUSDT,slice_2024Q1,regime_momentum_signed_5d,24.0,13
ALGOUSDT,slice_2025Q1,max_dd_window_50,61.0,2
ALGOUSDT,slice_2025Q1,ema_spread_atr_20,36.0,9
ALGOUSDT,slice_2025Q1,ret_kurt_50,59.0,3
ALGOUSDT,slice_2025Q1,ret_skew_200,63.0,1
ALGOUSDT,slice_2025Q1,range_realized_vol_50,55.0,5
ALGOUSDT,slice_2025Q1,hurst_diff_100_50,18.0,14
ALGOUSDT,slice_2025Q1,ret_kurt_200,56.0,4
ALGOUSDT,slice_2025Q1,hurst_100,30.0,11
ALGOUSDT,slice_2025Q1,btc_ret_14d,33.0,10
ALGOUSDT,slice_2025Q1,ret_skew_50,37.0,8
ALGOUSDT,slice_2025Q1,vwap_dev_20,24.0,12
ALGOUSDT,slice_2025Q1,ret_autocorr_lag1_50,54.0,6
ALGOUSDT,slice_2025Q1,sym_vs_btc_ret_7d,41.0,7
ALGOUSDT,slice_2025Q1,regime_momentum_signed_5d,23.0,13
