symbol,feature,horizon_bars,ic,n_obs
TRXUSDT,of_oi_logdelta_1,3,-0.025403242850860777,2191
TRXUSDT,of_oi_logdelta_1,9,-0.040235598199717795,2191
TRXUSDT,of_oi_logdelta_1,21,-0.016414406030989325,2191
TRXUSDT,of_oi_logdelta_3,3,-0.03332725888932909,2191
TRXUSDT,of_oi_logdelta_3,9,-0.06772014493773128,2191
TRXUSDT,of_oi_logdelta_3,21,-0.020007606730200897,2191
TRXUSDT,of_oi_logdelta_9,3,-0.09687097005594605,2191
TRXUSDT,of_oi_logdelta_9,9,-0.09654268715544656,2191
TRXUSDT,of_oi_logdelta_9,21,-0.06382433529348581,2191
TRXUSDT,of_oi_logdelta_z30,3,-0.005617528825459022,2191
TRXUSDT,of_oi_logdelta_z30,9,-0.02513229337299391,2191
TRXUSDT,of_oi_logdelta_z30,21,-0.014023218859658768,2191
TRXUSDT,of_retail_lsr,3,-0.0003409382377563118,2192
TRXUSDT,of_retail_lsr,9,-0.027799106225475406,2192
TRXUSDT,of_retail_lsr,21,-0.06322990577630833,2192
TRXUSDT,of_retail_lsr_z30,3,0.018893846058485073,2192
TRXUSDT,of_retail_lsr_z30,9,0.014106343209401151,2192
TRXUSDT,of_retail_lsr_z30,21,0.006754197871448174,2192
TRXUSDT,of_top_acct_lsr,3,-0.005206140990077516,2192
TRXUSDT,of_top_acct_lsr,9,-0.03839943941648116,2192
TRXUSDT,of_top_acct_lsr,21,-0.07881094050042049,2192
TRXUSDT,of_top_acct_lsr_z30,3,0.008327028577465877,2192
TRXUSDT,of_top_acct_lsr_z30,9,-0.0020123356827297326,2192
TRXUSDT,of_top_acct_lsr_z30,21,-0.021238517518578623,2192
TRXUSDT,of_top_pos_lsr,3,-0.03347947924791351,2192
TRXUSDT,of_top_pos_lsr,9,-0.06713738348760634,2192
TRXUSDT,of_top_pos_lsr,21,-0.12885268380744247,2192
TRXUSDT,of_top_pos_lsr_z30,3,0.005863355521063287,2192
TRXUSDT,of_top_pos_lsr_z30,9,-0.02228427031247529,2192
TRXUSDT,of_top_pos_lsr_z30,21,-0.03164300555762986,2192
TRXUSDT,of_taker_lsr,3,-0.0068996647745819765,2192
TRXUSDT,of_taker_lsr,9,0.007353542189191821,2192
TRXUSDT,of_taker_lsr,21,0.03562481147795603,2192
TRXUSDT,of_taker_lsr_z30,3,-0.022332937160888813,2192
TRXUSDT,of_taker_lsr_z30,9,-0.027447010843468764,2192
TRXUSDT,of_taker_lsr_z30,21,-0.015565424398807596,2192
TRXUSDT,of_retail_top_divergence,3,0.020236275379989527,2192
TRXUSDT,of_retail_top_divergence,9,0.003146822710992187,2192
TRXUSDT,of_retail_top_divergence,21,-0.024268269056248005,2192
TRXUSDT,of_retail_top_divergence_z30,3,0.012291759025350315,2192
TRXUSDT,of_retail_top_divergence_z30,9,0.024733677443705242,2192
TRXUSDT,of_retail_top_divergence_z30,21,0.05295987321417066,2192
