symbol,feature,horizon_bars,ic,n_obs
TRXUSDT,of_oi_logdelta_1,21,-0.005250028283834581,3605
TRXUSDT,of_oi_logdelta_3,3,-0.03336992839170438,3602
TRXUSDT,of_oi_logdelta_3,9,-0.05475457746278622,3602
TRXUSDT,of_oi_logdelta_3,21,-0.026639712290767444,3602
TRXUSDT,of_oi_logdelta_9,3,-0.06075890093795162,3596
TRXUSDT,of_oi_logdelta_9,9,-0.04273735281693851,3596
TRXUSDT,of_oi_logdelta_9,21,-0.04648399373006997,3596
TRXUSDT,of_oi_logdelta_z30,3,-0.007164548201816351,3591
TRXUSDT,of_oi_logdelta_z30,9,-0.014203763740704983,3591
TRXUSDT,of_oi_logdelta_z30,21,0.0078061701919095415,3591
TRXUSDT,of_retail_lsr,3,-0.008553987272311459,2674
TRXUSDT,of_retail_lsr,9,-0.05735794425510436,2674
TRXUSDT,of_retail_lsr,21,-0.09775136830484239,2674
TRXUSDT,of_retail_lsr_z30,3,0.020265576610061828,2623
TRXUSDT,of_retail_lsr_z30,9,0.01380341276788926,2623
TRXUSDT,of_retail_lsr_z30,21,-0.009952606903176724,2623
TRXUSDT,of_top_acct_lsr,3,-0.010917468864735802,2671
TRXUSDT,of_top_acct_lsr,9,-0.061207094190399464,2671
TRXUSDT,of_top_acct_lsr,21,-0.10444905589309031,2671
TRXUSDT,of_top_acct_lsr_z30,3,0.012037317783899468,2623
TRXUSDT,of_top_acct_lsr_z30,9,0.006005917108903791,2623
TRXUSDT,of_top_acct_lsr_z30,21,-0.024965421652007942,2623
TRXUSDT,of_top_pos_lsr,3,-0.01840830823705928,2671
TRXUSDT,of_top_pos_lsr,9,-0.039257625429827046,2671
TRXUSDT,of_top_pos_lsr,21,-0.09552328039415997,2671
TRXUSDT,of_top_pos_lsr_z30,3,0.01588957529754733,2623
TRXUSDT,of_top_pos_lsr_z30,9,0.0005869156648890713,2623
TRXUSDT,of_top_pos_lsr_z30,21,-0.005320535570716284,2623
TRXUSDT,of_taker_lsr,3,-0.000531543275977017,2673
TRXUSDT,of_taker_lsr,9,0.012868742092947433,2673
TRXUSDT,of_taker_lsr,21,0.044200636022837685,2673
TRXUSDT,of_taker_lsr_z30,3,-0.01731983745583406,2623
TRXUSDT,of_taker_lsr_z30,9,-0.036088614889990836,2623
TRXUSDT,of_taker_lsr_z30,21,-0.03321575192985929,2623
TRXUSDT,of_retail_top_divergence,3,0.00973709651342605,2671
TRXUSDT,of_retail_top_divergence,9,-0.029755187865116394,2671
TRXUSDT,of_retail_top_divergence,21,-0.055166210777583574,2671
TRXUSDT,of_retail_top_divergence_z30,3,0.007770622638743878,2623
TRXUSDT,of_retail_top_divergence_z30,9,0.019985716136750844,2623
TRXUSDT,of_retail_top_divergence_z30,21,0.028289666370823672,2623
