date,ret_1x,ret_2x_gt,turnover,gross_scalar_applied,regime_state,n_held,funding_ret,hedge_funding_ret,price_ret
2026-07-09T00:00:00Z,-0.006462413963930822,-0.006456559249911867,0.0,1.0,NORMAL,20,-1.4362145342559107e-05,-2.17699816167346e-06,-0.00647677610927338
2026-07-09T08:00:00Z,0.0022718638071333296,0.0020927899992152863,0.23681182962832656,1.0,NORMAL,20,-5.257602508651028e-05,0.0,0.002219287782046819
2026-07-09T16:00:00Z,0.005017999679661765,0.005015255866315469,0.0,1.0,NORMAL,20,-6.266995402995027e-05,-4.706127263506497e-06,0.004955329725631815
2026-07-10T00:00:00Z,-0.004973605163433247,-0.004970899195872614,0.0,1.0,NORMAL,20,-0.0001826274160979544,-9.867388955768613e-06,-0.005156232579531201
2026-07-10T08:00:00Z,0.0064575716015980306,0.006354213774115578,0.13154107015382066,1.0,NORMAL,20,-5.136951398830126e-05,0.0,0.006406202087609729
2026-07-10T16:00:00Z,-0.017533636161277896,-0.017522435894805972,0.0,1.0,NORMAL,20,-0.00012666499963617312,-6.7514758773802815e-06,-0.01766030116091407
2026-07-11T00:00:00Z,0.016453706256828224,0.016443008383205317,0.0,1.0,NORMAL,20,-0.00016084479455878085,-1.8516563687918208e-05,0.016292861462269444
2026-07-11T08:00:00Z,-0.005378763168486846,-0.005431596305213947,0.07489023875367515,1.0,NORMAL,20,-0.00010445382863655453,-8.417784092467858e-07,-0.0054832169971234
2026-07-11T16:00:00Z,-0.005354317430634506,-0.005351328583559255,0.0,1.0,NORMAL,20,-0.00012589411892185003,-3.7340977594438177e-06,-0.005480211549556357
2026-07-12T00:00:00Z,0.011675025812146547,0.011668473603437377,0.0,1.0,NORMAL,20,-0.00012204967541242398,-4.201768269389713e-06,0.011552976136734122
2026-07-12T08:00:00Z,0.005643391295836651,0.005559923530657914,0.1069454537957592,1.0,NORMAL,20,-4.201427060197645e-05,0.0,0.005601377025234675
