symbol,feature,pearson,n
LTCUSDT,interact_stoch_x_adx,0.2877,5657
LTCUSDT,mom_macd_hist_12_26_9,0.259,5654
LTCUSDT,mom_macd_line_12_26_9,0.178,5657
LTCUSDT,mom_roc_10,0.3323,5657
LTCUSDT,mom_rsi_14,0.3702,5657
LTCUSDT,mom_stoch_d_14,0.2733,5657
LTCUSDT,mom_stoch_k_14,0.2983,5657
LTCUSDT,mom_willr_14,0.3054,5657
LTCUSDT,mr_pct_from_high_20,0.332,5657
LTCUSDT,mr_pct_from_low_20,0.1278,5657
LTCUSDT,mr_rsi_extreme_14,-0.2105,5657
LTCUSDT,oi_delta_30_z90,0.1509,3279
LTCUSDT,stat_autocorr_lag5,0.0134,5637
LTCUSDT,stat_kurtosis_20,-0.0553,5657
LTCUSDT,stat_log_return_1,0.176,5657
LTCUSDT,stat_return_5,0.311,5657
LTCUSDT,stat_skew_20,0.2276,5657
LTCUSDT,trend_adx_14,-0.0782,5657
LTCUSDT,trend_aroon_osc_14,0.2752,5657
LTCUSDT,trend_aroon_osc_50,0.1307,5637
LTCUSDT,trend_ema_cross_5_12,0.3487,5657
LTCUSDT,trend_minus_di_14,-0.3706,5657
LTCUSDT,trend_plus_di_14,0.3263,5657
LTCUSDT,trend_supertrend_14_3,0.2199,5657
LTCUSDT,vol_atr_14,-0.0882,5657
LTCUSDT,vol_bb_bandwidth_20,-0.0918,5657
LTCUSDT,vol_cmf_14,0.1769,5657
LTCUSDT,vol_mfi_14,0.2962,5657
LTCUSDT,vol_natr_14,-0.1641,5657
LTCUSDT,vol_range_spike_24,-0.0393,5657
LTCUSDT,vol_range_spike_72,-0.0646,5616
LTCUSDT,vol_taker_buy_ratio,0.0681,5657
LTCUSDT,vol_volume_pctchg_5,-0.0154,5657
LTCUSDT,vol_volume_rel_20,0.0369,5657
DOTUSDT,cal_dow_norm,0.0201,4995
DOTUSDT,cal_hour_norm,-0.0156,4995
DOTUSDT,funding_rate_zscore_30,0.2541,4975
DOTUSDT,funding_rate_zscore_90,0.2306,4935
DOTUSDT,interact_natr_x_adx,-0.1162,4995
DOTUSDT,interact_ret1_x_natr,0.0937,4995
DOTUSDT,interact_ret1_x_ret3,-0.0336,4995
DOTUSDT,interact_rsi_x_adx,0.282,4995
DOTUSDT,interact_rsi_x_natr,0.29,4995
DOTUSDT,interact_stoch_x_adx,0.2644,4995
DOTUSDT,mom_macd_hist_12_26_9,0.1889,4992
DOTUSDT,mom_macd_line_12_26_9,0.134,4995
DOTUSDT,mom_roc_10,0.2753,4995
DOTUSDT,mom_rsi_14,0.3242,4995
DOTUSDT,mom_stoch_d_14,0.2656,4995
DOTUSDT,mom_stoch_k_14,0.2811,4995
DOTUSDT,mom_willr_14,0.277,4995
DOTUSDT,mr_pct_from_high_20,0.2894,4995
DOTUSDT,mr_pct_from_low_20,0.0876,4995
DOTUSDT,mr_rsi_extreme_14,-0.1762,4995
DOTUSDT,oi_delta_30_z90,0.0418,3294
DOTUSDT,stat_autocorr_lag5,0.0268,4975
DOTUSDT,stat_kurtosis_20,-0.0456,4995
DOTUSDT,stat_log_return_1,0.1442,4995
DOTUSDT,stat_return_5,0.2594,4995
DOTUSDT,stat_skew_20,0.1769,4995
DOTUSDT,trend_adx_14,-0.0403,4995
DOTUSDT,trend_aroon_osc_14,0.2578,4995
DOTUSDT,trend_aroon_osc_50,0.1033,4975
DOTUSDT,trend_ema_cross_5_12,0.2993,4995
DOTUSDT,trend_minus_di_14,-0.3395,4995
DOTUSDT,trend_plus_di_14,0.2799,4995
DOTUSDT,trend_supertrend_14_3,0.197,4995
DOTUSDT,vol_atr_14,-0.0703,4995
DOTUSDT,vol_bb_bandwidth_20,-0.0573,4995
DOTUSDT,vol_cmf_14,0.2101,4995
DOTUSDT,vol_mfi_14,0.2836,4995
DOTUSDT,vol_natr_14,-0.1372,4995
DOTUSDT,vol_range_spike_24,-0.1055,4995
DOTUSDT,vol_range_spike_72,-0.1041,4954
DOTUSDT,vol_taker_buy_ratio,0.071,4995
DOTUSDT,vol_volume_pctchg_5,-0.0627,4995
DOTUSDT,vol_volume_rel_20,-0.0419,4995
